,y,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
1,2016.0,0.86,0.0,755.81,0.0,0.0,0.0,103.84,0.0,0.0,0.0
2,2017.0,0.86,0.0,1290.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.86,0.0,1399.63,0.0,0.0,0.0,41.87,0.0,0.0,0.0
4,2019.0,0.86,0.0,1418.92,0.0,0.0,0.0,103.84,0.0,0.0,0.0
5,2020.0,0.86,0.0,1418.92,0.0,0.0,0.06,103.84,0.0,0.0,0.0
6,2021.0,0.82,0.0,1418.92,0.0,0.0,0.15,98.64,0.0,0.0,0.0
7,2022.0,0.78,0.0,1418.92,0.0,0.0,0.2,93.45,0.0,0.0,0.0
8,2023.0,0.73,0.0,1979.47,0.0,0.0,0.3,88.26,0.0,0.0,0.0
9,2024.0,0.69,0.0,2296.05,0.0,0.0,0.43,83.07,0.0,0.0,0.0
10,2025.0,0.66,0.0,3206.22,0.0,0.0,0.53,51.92,0.15,13.06,0.0
11,2026.0,0.61,0.0,3445.12,0.0,0.0,0.53,18.84,0.0,13.52,0.0
12,2027.0,0.57,0.0,3522.81,0.0,0.0,0.53,41.53,0.0,13.98,0.0
13,2028.0,0.53,0.0,3522.81,0.02,0.01,0.53,36.34,0.0,14.47,0.0
14,2029.0,0.48,0.0,3522.81,0.04,0.01,0.53,31.15,0.0,14.97,0.0
15,2030.0,0.43,2.97,3522.81,0.06,0.01,0.53,25.96,0.0,15.45,0.01
16,2031.0,0.39,2.97,3522.81,0.13,0.01,0.53,20.77,0.0,15.9,0.01
17,2032.0,0.35,2.97,3522.81,0.19,0.02,0.53,15.58,0.0,16.36,0.01
18,2033.0,0.31,2.76,3522.81,0.25,0.02,0.53,10.38,0.0,16.86,0.01
19,2034.0,0.27,3.0,3522.81,0.31,0.03,0.53,5.19,0.0,17.34,0.01
20,2035.0,0.22,2.54,3491.33,0.37,0.04,0.53,0.0,0.0,18.05,0.01
21,2036.0,0.17,2.47,3442.97,0.44,0.05,0.53,0.0,0.0,18.6,0.01
22,2037.0,0.13,2.43,3404.37,0.5,0.06,0.53,0.0,0.0,19.16,0.01
23,2038.0,0.09,2.9,3408.59,0.56,0.06,0.53,0.0,0.0,19.74,0.01
24,2039.0,0.04,3.26,3408.55,0.62,0.07,0.53,0.0,0.0,20.33,0.01
25,2040.0,0.0,4.48,3507.43,0.68,0.07,0.53,0.0,0.0,20.94,0.02
26,2041.0,0.0,4.23,3486.14,0.81,0.07,0.53,0.0,0.0,21.42,0.02
27,2042.0,0.0,4.26,3474.48,0.93,0.07,0.53,0.0,0.0,21.91,0.02
28,2043.0,0.0,4.31,3447.41,1.05,0.07,0.53,0.0,0.0,22.42,0.02
29,2044.0,0.0,4.2,3365.79,1.18,0.08,0.53,0.0,0.0,22.93,0.02
30,2045.0,0.0,4.28,3313.72,1.3,0.09,0.47,0.0,0.0,23.45,0.02
31,2046.0,0.0,4.45,3289.47,1.43,0.1,0.38,0.0,0.0,23.99,0.02
32,2047.0,0.0,4.38,3204.75,1.55,0.11,0.33,0.0,0.0,24.53,0.02
33,2048.0,0.0,4.35,3106.84,1.67,0.13,0.23,0.0,0.0,25.09,0.02
34,2049.0,0.0,4.34,2997.32,1.8,0.15,0.1,0.0,0.0,25.67,0.02
35,2050.0,0.0,3.96,2795.62,1.92,0.18,0.0,0.0,0.0,26.25,0.02
36,2051.0,0.0,3.89,2755.55,2.04,0.18,0.0,0.0,0.0,26.71,0.02
37,2052.0,0.0,3.84,2710.06,2.17,0.18,0.0,0.0,0.0,27.19,0.02
38,2053.0,0.0,3.81,2607.7,2.27,0.19,0.0,0.0,0.0,27.66,0.02
39,2054.0,0.0,3.76,2543.56,2.37,0.2,0.0,0.0,0.0,28.15,0.02
40,2055.0,0.0,3.71,2475.27,2.47,0.2,0.0,0.0,0.0,28.65,0.01
41,2056.0,0.0,3.67,2379.58,2.54,0.22,0.0,0.0,0.0,29.15,0.01
42,2057.0,0.0,3.4,2319.73,2.6,0.24,0.0,0.0,0.0,29.66,0.01
43,2058.0,0.0,3.18,2259.57,2.66,0.26,0.0,0.0,0.0,30.17,0.01
44,2059.0,0.0,3.01,2196.09,2.72,0.28,0.0,0.0,0.0,30.7,0.01
45,2060.0,0.0,0.7,1991.19,2.9,0.29,0.0,0.0,0.0,31.23,0.0
46,2061.0,0.0,0.97,1995.01,3.06,0.28,0.0,0.0,0.0,31.67,0.01
47,2062.0,0.0,0.86,1997.95,3.23,0.27,0.0,0.0,0.0,32.1,0.0
48,2063.0,0.0,0.7,1951.17,3.4,0.25,0.0,0.0,0.0,32.55,0.0
49,2064.0,0.0,0.7,1933.96,3.57,0.24,0.0,0.0,0.0,32.99,0.0
50,2065.0,0.0,0.45,1826.99,3.75,0.24,0.0,0.0,0.0,33.45,0.0
51,2066.0,0.0,0.54,2060.99,3.87,0.23,0.0,0.0,0.0,33.9,0.0
52,2067.0,0.0,0.53,2496.04,3.97,0.21,0.0,0.0,0.0,34.36,0.0
53,2068.0,0.0,0.27,2076.59,3.88,0.26,0.0,0.0,0.0,34.83,0.0
54,2069.0,0.0,0.17,2332.2,4.22,0.21,0.0,0.0,0.0,35.3,0.0
55,2070.0,0.0,0.0,2349.88,4.35,0.21,0.0,0.0,0.0,35.78,0.0
