,y,Solar PV (utility),Solar PV (roof top)
1,2016.0,0.0,0.002
2,2017.0,0.0,0.001
3,2027.0,0.06479194959430722,0.0
4,2028.0,0.5,0.0
5,2029.0,0.5,0.0
6,2030.0,0.5,0.0
7,2031.0,1.5,0.0
8,2032.0,1.5,0.0
9,2033.0,1.5,0.0
10,2034.0,1.5,0.0
11,2035.0,1.5,0.0
12,2036.0,1.5,0.0
13,2037.0,1.5,0.0
14,2038.0,1.5,0.0
15,2039.0,1.5,0.0
16,2040.0,1.5,0.0
17,2041.0,3.0,0.0
18,2042.0,3.0,0.0
19,2043.0,3.0,0.0
20,2044.0,3.0,0.0
21,2045.0,3.0,0.0
22,2046.0,3.0,0.0
23,2047.0,3.0,0.0
24,2048.0,3.0,0.0
25,2049.0,3.0,0.0
26,2050.0,3.0,0.0
27,2051.0,3.0,0.0
28,2052.0,3.0,0.0
29,2053.0,3.0,0.0
30,2054.0,3.0,0.0
31,2055.0,3.0,0.0
32,2056.0,3.0,0.0
33,2057.0,3.0,0.0
34,2058.0,3.0,0.0
35,2059.0,3.0,0.0
36,2060.0,3.0,2.88386455409406
37,2061.0,3.0,2.3212459299325983
38,2062.0,3.0,2.6018130276240776
39,2063.0,3.0,2.6630715816489756
40,2064.0,3.0,2.7256977167950147
41,2065.0,3.0,2.789792284818525
42,2066.0,3.0,2.855387587876612
43,2067.0,3.0,2.92265708805877
44,2068.0,3.0,2.7079645335590983
45,2069.0,3.0,3.0
46,2070.0,3.0,3.0
