,y,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal
1,2016.0,0.142,0.0,1.791,0.012,0.322,0.196,0.008
2,2017.0,0.142,0.0,3.661,0.013,0.322,0.196,0.008
3,2018.0,0.142,0.0,3.661,0.013,0.322,0.196,0.008
4,2019.0,0.142,0.0,3.661,0.013,0.322,0.196,0.008
5,2020.0,0.142,0.0,3.661,0.013,0.322,0.196,0.128
6,2021.0,0.135,0.0,3.661,0.012,0.314,0.186,0.298
7,2022.0,0.127,0.0,3.661,0.012,0.305,0.177,0.398
8,2023.0,0.12,0.0,10.749,0.011,0.297,0.167,0.598
9,2024.0,0.113,0.0,10.749,0.011,0.288,0.157,0.848
10,2025.0,0.106,0.0,11.774,0.01,0.279,0.098,1.048
11,2026.0,0.099,0.0,11.774,0.01,0.271,0.088,1.048
12,2027.0,0.092,0.0,11.774,0.074,0.262,0.078,1.048
13,2028.0,0.085,0.0,11.774,0.574,0.557,0.069,1.047
14,2029.0,0.078,0.0,11.774,1.073,0.548,0.059,1.047
15,2030.0,0.071,1.016,11.774,1.573,0.539,0.049,1.046
16,2031.0,0.064,1.016,11.774,3.072,0.908,0.039,1.046
17,2032.0,0.057,1.016,11.774,4.572,1.407,0.029,1.046
18,2033.0,0.05,1.016,11.774,6.072,2.079,0.02,1.045
19,2034.0,0.042,1.016,11.774,7.571,2.477,0.01,1.045
20,2035.0,0.035,1.016,11.774,9.07,3.266,0.0,1.044
21,2036.0,0.028,1.016,11.774,10.567,4.114,0.0,1.044
22,2037.0,0.021,1.016,11.774,12.066,4.972,0.0,1.043
23,2038.0,0.014,1.161,11.774,13.565,5.573,0.0,1.043
24,2039.0,0.007,1.291,11.774,15.065,6.314,0.0,1.043
25,2040.0,0.0,1.965,11.774,16.565,6.353,0.0,1.042
26,2041.0,0.0,1.965,11.774,19.565,6.353,0.0,1.042
27,2042.0,0.0,2.047,11.774,22.565,6.353,0.0,1.041
28,2043.0,0.0,2.167,11.774,25.565,6.486,0.0,1.041
29,2044.0,0.0,2.167,11.774,28.565,6.928,0.0,1.04
30,2045.0,0.0,2.167,11.774,31.565,7.577,0.0,0.92
31,2046.0,0.0,2.167,11.774,34.565,8.348,0.0,0.75
32,2047.0,0.0,2.167,11.774,37.565,9.476,0.0,0.65
33,2048.0,0.0,2.167,11.774,40.565,11.06,0.0,0.45
34,2049.0,0.0,2.167,11.774,43.565,12.972,0.0,0.2
35,2050.0,0.0,2.167,11.774,46.565,15.531,0.0,0.0
36,2051.0,0.0,2.167,11.774,49.565,15.569,0.0,0.0
37,2052.0,0.0,2.167,11.774,52.5,15.733,0.0,0.0
38,2053.0,0.0,2.167,11.646,55.0,16.465,0.0,0.0
39,2054.0,0.0,2.167,11.646,57.5,17.117,0.0,0.0
40,2055.0,0.0,2.167,11.646,60.0,17.854,0.0,0.0
41,2056.0,0.0,2.167,11.646,61.5,19.429,0.0,0.0
42,2057.0,0.0,2.167,11.646,63.0,21.092,0.0,0.0
43,2058.0,0.0,2.167,11.646,64.5,22.848,0.0,0.0
44,2059.0,0.0,2.167,11.646,66.0,24.698,0.0,0.0
45,2060.0,0.0,1.151,11.646,70.384,26.647,0.0,0.0
46,2061.0,0.0,1.151,11.603,74.205,25.79,0.0,0.0
47,2062.0,0.0,1.151,11.603,78.307,24.924,0.0,0.0
48,2063.0,0.0,1.151,11.603,82.47,24.314,0.0,0.0
49,2064.0,0.0,1.089,11.603,86.696,23.565,0.0,0.0
50,2065.0,0.0,0.528,11.603,90.985,23.736,0.0,0.0
51,2066.0,0.0,0.528,11.603,93.841,23.736,0.0,0.0
52,2067.0,0.0,0.445,11.571,96.764,23.949,0.0,0.0
53,2068.0,0.0,0.182,11.571,99.471,24.753,0.0,0.0
54,2069.0,0.0,0.113,11.571,102.471,25.204,0.0,0.0
55,2070.0,0.0,0.0,11.571,105.471,25.794,0.0,0.0
