,y,Solar PV (utility),Solar PV (roof top)
1,2016.0,0.00916,0.003
2,2017.0,0.00916,0.004
3,2018.0,0.00916,0.004
4,2019.0,0.00916,0.004
5,2020.0,0.008702,0.004
6,2021.0,0.008244,0.004
7,2022.0,0.007786,0.004
8,2023.0,0.007328,0.004
9,2024.0,0.00687,0.004
10,2025.0,0.006412,0.004
11,2026.0,0.005954,0.004
12,2027.0,0.07028794959430722,0.004
13,2028.0,0.5698299495943072,0.004
14,2029.0,1.0693719495943073,0.004
15,2030.0,1.5689139495943072,0.004
16,2031.0,3.0684559495943073,0.004
17,2032.0,4.567997949594307,0.004
18,2033.0,6.067539949594307,0.004
19,2034.0,7.567081949594307,0.004
20,2035.0,9.066623949594307,0.003
21,2036.0,10.566165949594307,0.001
22,2037.0,12.065707949594307,0.0
23,2038.0,13.565249949594307,0.0
24,2039.0,15.064791949594307,0.0
25,2040.0,16.56479194959431,0.0
26,2041.0,19.56479194959431,0.0
27,2042.0,22.56479194959431,0.0
28,2043.0,25.56479194959431,0.0
29,2044.0,28.56479194959431,0.0
30,2045.0,31.56479194959431,0.0
31,2046.0,34.56479194959431,0.0
32,2047.0,37.56479194959431,0.0
33,2048.0,40.56479194959431,0.0
34,2049.0,43.56479194959431,0.0
35,2050.0,46.56479194959431,0.0
36,2051.0,49.56479194959431,0.0
37,2052.0,52.5,0.0
38,2053.0,55.0,0.0
39,2054.0,57.5,0.0
40,2055.0,60.0,0.0
41,2056.0,61.5,0.0
42,2057.0,63.0,0.0
43,2058.0,64.5,0.0
44,2059.0,66.0,0.0
45,2060.0,67.5,2.88386455409406
46,2061.0,69.0,5.205110484026658
47,2062.0,70.5,7.806923511650735
48,2063.0,72.0,10.469995093299712
49,2064.0,73.5,13.195692810094727
50,2065.0,75.0,15.985485094913251
51,2066.0,75.0,18.840872682789865
52,2067.0,75.0,21.763529770848635
53,2068.0,75.0,24.471494304407734
54,2069.0,75.0,27.471494304407734
55,2070.0,75.0,30.471494304407734
