,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
0,2021.0,-3.2175,3.25
1,2022.0,-3.2175,3.25
2,2023.0,-3.2175,3.25
3,2024.0,-3.2175,3.25
4,2025.0,-3.2175,3.25
5,2026.0,-3.2175,3.25
6,2027.0,-3.2175,3.25
7,2028.0,-3.2175,3.25
8,2029.0,-3.2175,3.25
9,2030.0,-3.2175,22.3945
10,2031.0,-3.2175,22.3621
11,2032.0,-3.2175,22.3298
12,2033.0,-3.2175,20.9406
13,2034.0,-3.2175,22.4345
14,2035.0,-3.2175,19.4645
15,2036.0,-3.2175,18.9854
16,2037.0,-3.2175,18.7192
17,2038.0,-3.2175,21.7009
18,2039.0,-3.2175,24.5087
19,2040.0,-3.2175,37.7318
20,2041.0,-3.2175,35.9786
21,2042.0,-3.2175,37.2045
22,2043.0,-3.2175,38.5656
23,2044.0,-3.2175,37.7904
24,2045.0,-3.2175,38.1915
25,2046.0,-3.2175,38.899
26,2047.0,-3.2175,37.493
27,2048.0,-3.2175,36.7446
28,2049.0,-3.2175,35.8347
29,2050.0,-3.2175,31.8345
30,2051.0,-3.2175,31.3055
31,2052.0,-3.2175,31.3353
32,2053.0,-3.2175,31.1954
33,2054.0,-3.2175,30.7815
34,2055.0,0.0,27.0496
35,2056.0,0.0,26.3797
36,2057.0,0.0,24.6979
37,2058.0,0.0,23.2541
38,2059.0,0.0,22.1696
39,2060.0,0.0,7.9858
40,2061.0,0.0,9.5689
41,2062.0,0.0,8.8514
42,2063.0,0.0,7.5799
43,2064.0,0.0,7.7285
44,2065.0,0.0,3.6284
45,2066.0,0.0,4.145
46,2067.0,0.0,3.8699
47,2068.0,0.0,1.623
48,2069.0,0.0,1.0094
