,y,Solar PV (utility),Solar PV (roof top)
1,2016.0,0.0591,0.0194
2,2017.0,0.0591,0.0258
3,2018.0,0.0591,0.0258
4,2019.0,0.0591,0.0258
5,2020.0,0.0562,0.0258
6,2021.0,0.0532,0.0258
7,2022.0,0.0503,0.0258
8,2023.0,0.0473,0.0258
9,2024.0,0.0443,0.0258
10,2025.0,0.0414,0.0258
11,2026.0,0.0384,0.0258
12,2027.0,0.4537,0.0258
13,2028.0,3.6782,0.0258
14,2029.0,6.9026,0.0258
15,2030.0,10.1271,0.0258
16,2031.0,19.8064,0.0258
17,2032.0,29.4857,0.0258
18,2033.0,39.165,0.0258
19,2034.0,48.8443,0.0258
20,2035.0,58.5235,0.0194
21,2036.0,68.2028,0.0065
22,2037.0,77.8821,0.0
23,2038.0,87.5614,0.0
24,2039.0,97.2407,0.0
25,2040.0,106.923,0.0
26,2041.0,126.2875,0.0
27,2042.0,145.652,0.0
28,2043.0,165.0165,0.0
29,2044.0,184.381,0.0
30,2045.0,203.7455,0.0
31,2046.0,223.11,0.0
32,2047.0,242.4745,0.0
33,2048.0,261.839,0.0
34,2049.0,281.2035,0.0
35,2050.0,300.568,0.0
36,2051.0,319.9325,0.0
37,2052.0,338.8788,0.0
38,2053.0,355.0158,0.0
39,2054.0,371.1529,0.0
40,2055.0,387.29,0.0
41,2056.0,396.9723,0.0
42,2057.0,406.6545,0.0
43,2058.0,416.3368,0.0
44,2059.0,426.019,0.0
45,2060.0,435.7013,18.6149
46,2061.0,445.3835,33.5981
47,2062.0,455.0658,50.3924
48,2063.0,464.748,67.5821
49,2064.0,474.4303,85.176
50,2065.0,484.1125,103.1836
51,2066.0,484.1125,121.6147
52,2067.0,479.9523,140.48
53,2068.0,448.7056,157.9594
54,2069.0,484.1125,177.3239
55,2070.0,483.9024,196.6884
