,y,Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link
1,2016.0,-3.7274,0.0,3.5097
2,2017.0,-5.3927,0.0,-5.6441
3,2018.0,-5.3927,0.0,-2.9797
4,2019.0,-3.3704,-5.051,5.9918
5,2020.0,-3.3704,0.02059999999999995,5.9918
6,2021.0,-2.6374,3.6882,2.2469
7,2022.0,-1.267,7.5745,0.0
8,2023.0,-5.3927,-4.4378,-5.9918
9,2024.0,-5.3927,-17.2848,-5.9918
10,2025.0,-5.3927,-51.831,-5.764
11,2026.0,-5.3927,-53.4536,-5.9918
12,2027.0,-5.3927,-50.2094,-5.9918
13,2028.0,-5.3927,-49.1394,-5.1325
14,2029.0,-5.3927,-42.8588,-5.9918
15,2030.0,-4.382,-59.708,5.3598
16,2031.0,-4.8319,-59.9184,3.2842
17,2032.0,-5.0219,-59.9184,0.18489999999999995
18,2033.0,-5.2152,-59.9184,-2.9036
19,2034.0,-4.8829,-59.9184,-4.6075
20,2035.0,-4.8829,-59.9184,-2.7794
21,2036.0,-4.8829,-59.9003,-3.2788000000000004
22,2037.0,-4.8829,-59.5569,-3.6265
23,2038.0,-4.8829,-59.1064,-3.9635
24,2039.0,-4.8829,-58.9465,-3.6710000000000003
25,2040.0,-4.8829,-59.9184,-2.6642
26,2041.0,-4.9497,-59.9184,-2.6307
27,2042.0,-5.0916,-59.9184,-3.3821000000000003
28,2043.0,-5.3284,-59.9184,-3.7388000000000003
29,2044.0,-5.332,-59.9184,-3.1515000000000004
30,2045.0,-5.2151,-59.9184,-2.3441
31,2046.0,-4.8829,-59.9184,-1.8437
32,2047.0,-4.8829,-59.9184,-1.4979999999999998
33,2048.0,-4.8829,-59.9184,-1.4979999999999998
34,2049.0,-4.8829,-59.9184,-1.4979999999999998
35,2050.0,-5.3927,-59.9184,-1.7877999999999998
36,2051.0,-5.3927,-59.9184,-1.4979999999999998
37,2052.0,-5.3927,-59.9184,-1.4979999999999998
38,2053.0,-5.3927,-59.9184,-1.4979999999999998
39,2054.0,-5.3927,-59.9184,-1.4979999999999998
40,2055.0,-5.3927,-59.9184,-1.4979999999999998
41,2056.0,-5.3927,-59.9184,-1.7514999999999998
42,2057.0,-5.3927,-59.9184,-1.817
43,2058.0,-5.3927,-59.9184,-1.6745
44,2059.0,-5.3927,-59.9184,-1.6745
45,2060.0,-4.8829,-59.9184,-2.8723
46,2061.0,-4.8917,-59.9184,-2.8343
47,2062.0,-5.121,-59.9184,-2.0144
48,2063.0,-5.3927,-59.9184,-0.6604000000000001
49,2064.0,-5.3927,-59.9184,-0.7691000000000003
50,2065.0,-5.3927,-59.9184,-2.0495
51,2066.0,-5.3927,-59.9184,-1.9683
52,2067.0,-5.3153,-59.9184,-0.5745999999999998
53,2068.0,-5.1084,-59.9184,-1.1347999999999998
54,2069.0,-5.2761,-59.9184,-2.6121999999999996
55,2070.0,-5.3927,-59.9184,-3.1724000000000006
