,y,Coal,Oil,Hydro,Solar PV,Solar FPV,Biomass,Geothermal,power_trade
0,2015.0,0.0,20.11,27.73,0.07,0.0,3.42,0.0,-4.41
1,2016.0,0.0,25.63,27.73,0.07,0.0,3.42,0.0,-4.96
2,2017.0,0.0,12.61,30.34,0.08,0.0,3.42,0.0,5.05
3,2018.0,0.0,10.88,30.34,0.08,0.0,3.42,0.0,6.7
4,2019.0,0.0,11.72,30.34,0.08,0.0,3.42,0.0,5.99
5,2020.0,0.0,10.88,30.34,0.08,0.0,3.42,0.0,6.66
6,2021.0,0.0,10.37,30.34,0.07,0.0,3.25,0.0,11.13
7,2022.0,0.0,15.18,30.34,0.07,0.0,3.08,0.0,10.58
8,2023.0,0.0,35.18,30.34,0.07,0.0,2.91,0.0,-4.7
9,2024.0,2.97,39.25,40.78,0.07,0.0,2.74,2.68,-19.28
10,2025.0,2.97,17.68,51.84,0.06,0.0,1.71,5.36,-6.14
11,2026.0,2.97,7.63,51.84,0.06,0.0,1.54,8.04,6.08
12,2027.0,2.97,7.08,51.84,0.06,0.0,1.37,10.72,9.8
13,2028.0,2.97,6.53,59.57,0.06,0.0,1.2,10.72,9.03
14,2029.0,2.97,5.98,59.57,0.05,0.0,1.03,10.72,16.16
15,2030.0,2.97,5.45,80.96,0.81,0.0,0.86,10.72,1.89
16,2031.0,2.97,4.91,80.96,9.34,0.0,0.68,10.72,3.4
17,2032.0,2.97,4.36,80.96,19.83,0.0,0.51,10.72,3.45
18,2033.0,2.97,4.03,80.96,31.07,0.0,0.34,10.72,3.17
19,2034.0,2.97,4.12,80.96,43.14,0.0,0.17,10.72,2.6
20,2035.0,2.97,3.57,80.96,43.55,0.0,0.0,10.72,3.33
21,2036.0,2.97,2.66,80.96,54.62,0.0,0.0,10.72,3.57
22,2037.0,3.34,1.7,80.96,66.53,0.0,0.0,10.72,3.57
23,2038.0,12.22,1.14,80.96,79.75,0.0,0.0,10.72,-5.52
24,2039.0,12.22,0.57,80.96,93.17,0.0,0.0,10.72,-5.18
25,2040.0,21.5,0.0,80.96,106.6,0.0,0.0,10.72,-12.69
26,2041.0,21.5,0.0,80.96,119.36,0.0,0.0,10.72,-13.35
27,2042.0,21.5,0.0,80.66,132.87,0.0,0.0,10.72,-13.73
28,2043.0,20.06,0.0,80.66,146.19,0.0,0.0,10.72,-11.98
29,2044.0,25.77,0.0,80.5,155.55,0.0,0.0,10.72,-11.92
30,2045.0,27.18,0.0,80.5,165.4,0.62,0.0,10.72,-7.88
31,2046.0,28.62,0.0,77.4,175.71,0.62,0.0,10.72,0.26
32,2047.0,28.79,0.0,77.4,186.56,4.78,0.0,10.72,2.95
33,2048.0,101.85,0.0,77.4,208.86,22.22,0.0,10.72,-87.84
34,2049.0,107.19,0.0,77.4,213.4,22.22,0.0,10.72,-77.43
35,2050.0,107.19,0.0,77.4,229.61,22.22,0.0,10.72,-72.83
36,2051.0,107.19,0.0,77.4,239.78,22.22,0.0,10.72,-69.67
37,2052.0,107.19,0.0,77.4,251.23,22.22,0.0,10.72,-67.35
38,2053.0,107.12,0.0,77.4,262.31,22.22,0.0,10.72,-63.96
39,2054.0,104.22,0.0,77.4,273.52,24.47,0.0,10.72,-59.59
40,2055.0,104.22,0.0,77.4,293.4,24.47,0.0,10.72,-64.41
41,2056.0,104.22,0.0,77.4,306.01,24.47,0.0,10.72,-60.93
42,2057.0,101.6,0.0,77.4,334.16,24.47,0.0,10.72,-69.05
43,2058.0,126.02,0.0,77.4,361.28,24.47,0.0,10.72,-101.18
44,2059.0,133.32,0.0,77.4,385.23,24.47,0.0,10.72,-113.35
45,2060.0,134.04,0.0,77.15,396.0,24.47,0.0,10.72,-105.88
46,2061.0,132.72,0.0,75.38,415.75,24.47,0.0,10.72,-108.54
47,2062.0,132.46,0.0,74.76,428.84,24.47,0.0,10.72,-106.55
48,2063.0,132.19,0.0,74.76,442.28,24.47,0.0,10.72,-105.13
49,2064.0,131.92,0.0,74.76,455.07,24.42,0.0,10.72,-102.96
50,2065.0,129.39,0.0,74.76,476.03,24.43,0.0,9.73,-105.09
51,2066.0,124.6,0.0,74.76,498.43,22.82,0.0,10.72,-106.36
52,2067.0,118.02,0.0,74.76,523.4,23.21,0.0,10.72,-108.86
53,2068.0,111.43,0.0,75.68,539.64,22.49,0.0,10.72,-101.5
54,2069.0,109.89,0.0,76.96,556.96,20.93,0.0,10.72,-100.54
55,2070.0,104.56,0.0,74.76,572.36,22.49,0.0,9.73,-91.33
