,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Geba,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Mandaya
17,2032.0,0.098,0.28,0.27,0.645,0.0,0.0,0.0,0.312,0.648,0.086,0.128,0.0,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.0,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
18,2033.0,0.098,0.28,0.27,0.645,0.0,0.0,0.0,0.312,0.648,0.086,0.128,0.0,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
19,2034.0,0.098,0.28,0.27,0.645,0.0,0.0,0.0,0.312,0.648,0.086,0.128,0.0,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
20,2035.0,0.098,0.28,0.27,0.645,0.0,0.0,0.0,0.312,0.648,0.086,0.128,0.0,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
21,2036.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
22,2037.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
23,2038.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
24,2039.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
25,2040.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
26,2041.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.026,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
