,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,27.19,66.41,8269.24,0.0,0.0,0.0,0.0,0.16,105.36,64.49,1.38
1,2016.0,0.0,10.23,67.82,8269.24,0.0,0.0,0.0,1.25,0.15,99.98,62.0,1.39
2,2017.0,0.0,4.05,69.92,8269.24,0.0,0.0,0.0,1.25,0.19,94.46,60.93,1.42
3,2018.0,0.0,2.45,79.3,8388.14,0.0,0.0,0.0,1.25,0.19,98.02,61.57,1.44
4,2019.0,0.0,2.45,82.12,8388.14,0.0,0.0,0.0,1.25,0.21,97.03,60.72,1.67
5,2020.0,0.0,2.45,75.06,8388.14,0.0,0.01,0.0,1.25,0.23,96.03,59.87,1.69
6,2021.0,0.0,2.33,74.49,8388.14,0.0,0.02,0.01,1.75,0.23,97.38,61.02,1.7
7,2022.0,0.0,2.19,74.05,8388.14,0.0,0.03,0.01,2.25,0.23,98.72,62.16,1.71
8,2023.0,0.0,2.08,70.54,8388.14,0.16,0.06,0.01,2.75,0.24,100.06,63.3,1.7
9,2024.0,0.0,1.96,73.7,8388.14,0.3,0.08,0.01,3.25,0.24,101.4,64.44,1.77
10,2025.0,9.56,1.84,69.11,8388.14,0.3,0.09,0.01,3.25,3.21,102.75,65.58,1.73
11,2026.0,19.12,1.71,62.08,8388.14,0.3,0.1,0.01,3.25,1.33,103.05,65.84,1.68
12,2027.0,19.12,1.58,62.09,8388.14,0.3,0.11,0.01,3.25,0.0,94.08,58.21,1.7
13,2028.0,19.12,1.46,61.6,8388.14,0.3,0.11,0.01,3.25,0.0,85.1,50.58,1.71
14,2029.0,19.12,1.35,61.95,8388.14,0.3,0.11,0.01,3.25,0.0,76.12,42.94,1.73
15,2030.0,19.12,1.21,59.97,8388.14,0.3,0.11,0.01,3.25,0.0,54.43,24.5,1.74
16,2031.0,19.12,1.1,62.5,8388.14,0.3,0.13,0.01,3.25,0.0,0.0,0.0,1.79
17,2032.0,19.12,0.98,64.9,8388.14,0.3,0.16,0.02,3.25,0.0,0.0,0.0,1.82
18,2033.0,19.12,5.24,66.26,8388.14,0.3,0.18,0.02,3.25,0.0,0.0,0.0,1.85
19,2034.0,19.12,6.31,68.68,8388.14,0.3,0.21,0.02,3.25,0.0,0.0,0.0,1.89
20,2035.0,22.31,6.14,70.41,8388.14,0.3,0.23,0.02,3.25,0.0,0.0,0.0,1.91
21,2036.0,25.49,5.96,71.95,8388.14,0.3,0.27,0.02,3.25,0.0,0.0,0.0,1.93
22,2037.0,28.68,5.79,73.42,8388.14,0.3,0.3,0.02,3.25,0.0,0.0,0.0,1.53
23,2038.0,31.87,5.59,74.43,8388.14,0.3,0.32,0.03,3.25,0.0,0.0,4.77,1.43
24,2039.0,35.05,5.43,71.89,8388.14,0.3,0.34,0.03,3.25,0.0,0.0,4.77,1.44
25,2040.0,38.24,2.17,70.5,8388.14,0.3,0.37,0.03,3.25,0.0,0.0,4.77,1.34
26,2041.0,43.02,0.0,69.29,8388.14,0.3,0.41,0.03,3.25,0.0,0.0,4.77,1.02
27,2042.0,44.61,0.0,72.81,8388.14,0.3,0.44,0.03,3.25,0.0,0.0,4.77,0.04
28,2043.0,46.21,0.0,74.85,8388.14,0.3,0.48,0.03,3.25,0.0,0.0,4.77,0.0
29,2044.0,47.8,0.0,77.34,8388.14,0.3,0.52,0.04,3.25,0.0,0.0,4.77,0.0
30,2045.0,49.39,0.0,80.25,8388.14,0.3,0.55,0.04,3.25,0.0,0.0,4.77,0.0
31,2046.0,49.39,0.0,85.3,8388.14,0.3,0.57,0.04,3.25,0.0,0.0,4.77,0.0
32,2047.0,49.39,0.0,88.73,8388.14,0.3,0.61,0.04,3.25,0.0,0.0,4.77,0.0
33,2048.0,54.17,0.0,88.43,8388.14,0.15,0.63,0.04,3.25,0.0,0.0,4.77,0.0
34,2049.0,55.77,0.0,91.16,8388.14,0.0,0.65,0.05,3.25,0.0,0.0,4.77,0.0
35,2050.0,57.36,0.0,94.18,8388.14,0.0,0.69,0.05,3.25,0.0,0.0,4.77,0.0
36,2051.0,58.95,0.0,97.64,8388.14,0.0,0.71,0.05,3.25,0.0,0.0,4.77,0.0
37,2052.0,60.55,0.0,101.08,8388.14,0.0,0.75,0.05,3.25,0.0,0.0,4.77,0.0
38,2053.0,62.14,0.0,104.83,8388.14,0.0,0.79,0.05,3.25,0.0,0.0,4.77,0.0
39,2054.0,63.73,0.0,108.73,8388.14,0.0,0.82,0.05,3.25,0.0,0.0,4.77,0.0
