,y,Coal,Oil,Hydro,Solar PV,Solar FPV,Biomass,Geothermal
0,2015.0,0.0,2.256,1.565,0.011,0.0,0.238,0.0
1,2016.0,0.0,2.263,1.565,0.012,0.0,0.238,0.0
2,2017.0,0.0,2.263,1.885,0.013,0.0,0.238,0.0
3,2018.0,0.0,2.263,1.885,0.013,0.0,0.238,0.0
4,2019.0,0.0,2.263,1.885,0.013,0.0,0.238,0.0
5,2020.0,0.0,2.263,1.885,0.013,0.0,0.238,0.0
6,2021.0,0.0,2.151,1.885,0.012,0.0,0.226,0.0
7,2022.0,0.0,2.037,1.885,0.012,0.0,0.214,0.0
8,2023.0,0.0,1.925,1.885,0.011,0.0,0.202,0.0
9,2024.0,0.111,1.812,2.245,0.011,0.0,0.19,0.1
10,2025.0,0.111,1.699,2.665,0.011,0.0,0.119,0.2
11,2026.0,0.111,1.58,2.665,0.01,0.0,0.107,0.3
12,2027.0,0.111,1.466,2.665,0.01,0.0,0.095,0.4
13,2028.0,0.111,1.354,2.977,0.009,0.0,0.083,0.4
14,2029.0,0.111,1.241,2.977,0.009,0.0,0.071,0.4
15,2030.0,0.111,1.128,3.83,0.093,0.0,0.06,0.4
16,2031.0,0.111,1.015,3.83,1.266,0.0,0.048,0.4
17,2032.0,0.111,0.902,3.83,2.77,0.0,0.036,0.4
18,2033.0,0.111,0.79,3.83,4.401,0.0,0.024,0.4
19,2034.0,0.111,0.677,3.83,6.172,0.0,0.012,0.4
20,2035.0,0.111,0.564,3.83,6.215,0.0,0.0,0.4
21,2036.0,0.111,0.451,3.83,7.816,0.0,0.0,0.4
22,2037.0,0.125,0.339,3.83,9.561,0.0,0.0,0.4
23,2038.0,0.458,0.225,3.83,11.525,0.0,0.0,0.4
24,2039.0,0.458,0.113,3.83,13.524,0.0,0.0,0.4
25,2040.0,0.806,0.0,3.83,15.524,0.0,0.0,0.4
26,2041.0,0.806,0.0,3.83,17.411,0.0,0.0,0.4
27,2042.0,0.806,0.0,3.804,19.426,0.0,0.0,0.4
28,2043.0,0.806,0.0,3.804,21.407,0.0,0.0,0.4
29,2044.0,1.063,0.0,3.794,22.721,0.0,0.0,0.4
30,2045.0,1.079,0.0,3.794,24.116,0.088,0.0,0.4
31,2046.0,1.079,0.0,3.524,25.59,0.088,0.0,0.4
32,2047.0,1.079,0.0,3.524,27.154,0.688,0.0,0.4
33,2048.0,4.018,0.0,3.524,30.654,3.185,0.0,0.4
34,2049.0,4.018,0.0,3.524,31.154,3.185,0.0,0.4
35,2050.0,4.018,0.0,3.524,33.668,3.185,0.0,0.4
36,2051.0,4.018,0.0,3.524,35.383,3.185,0.0,0.4
37,2052.0,4.018,0.0,3.524,37.317,3.185,0.0,0.4
38,2053.0,4.018,0.0,3.524,39.185,3.185,0.0,0.4
39,2054.0,3.906,0.0,3.524,41.109,3.534,0.0,0.4
40,2055.0,3.906,0.0,3.524,44.562,3.534,0.0,0.4
41,2056.0,3.906,0.0,3.524,46.731,3.534,0.0,0.4
42,2057.0,3.906,0.0,3.524,51.485,3.534,0.0,0.4
43,2058.0,4.839,0.0,3.524,56.021,3.534,0.0,0.4
44,2059.0,5.177,0.0,3.524,60.001,3.534,0.0,0.4
45,2060.0,5.177,0.0,3.524,61.747,3.534,0.0,0.4
46,2061.0,5.177,0.0,3.524,65.114,3.534,0.0,0.4
47,2062.0,5.177,0.0,3.524,67.329,3.534,0.0,0.4
48,2063.0,5.177,0.0,3.524,69.602,3.534,0.0,0.4
49,2064.0,5.177,0.0,3.524,71.871,3.534,0.0,0.4
50,2065.0,5.177,0.0,3.524,75.573,3.534,0.0,0.4
51,2066.0,5.177,0.0,3.524,79.795,3.534,0.0,0.4
52,2067.0,5.164,0.0,3.524,84.731,3.534,0.0,0.4
53,2068.0,4.831,0.0,3.524,87.731,3.534,0.0,0.4
54,2069.0,4.831,0.0,3.524,90.731,3.534,0.0,0.4
55,2070.0,4.483,0.0,3.524,93.162,3.534,0.0,0.4
