,y,Coal,Hydro,Solar PV,Solar FPV,Wind,Geothermal
7,2023.0,0.0,7.088,0.0,0.0,0.0,0.2
8,2024.0,0.0,0.0,0.0,0.0,0.0,0.25
9,2025.0,0.0,0.38,0.0,0.0,0.0,0.2
10,2026.0,0.0,0.645,0.0,0.0,0.0,0.0
11,2027.0,0.0,0.0,0.0,0.0,0.0,0.187
12,2028.0,0.0,0.55,0.0,0.0,0.0,0.009
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.25
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.25
15,2031.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2032.0,0.0,0.0,0.977,0.0,0.0,0.006
17,2033.0,0.0,0.0,1.5,0.0,0.0,0.037
18,2034.0,0.0,0.0,1.5,0.0,0.0,0.068
19,2035.0,0.0,0.0,1.355,0.0,0.0,0.213
20,2036.0,0.0,0.0,1.5,0.0,0.0,0.145
21,2037.0,0.0,0.0,1.5,0.0,0.0,0.183
22,2038.0,0.0,0.0,1.5,0.0,0.0,0.25
23,2039.0,0.0,0.0,1.5,0.0,0.0,0.25
24,2040.0,0.0,0.0,1.8,0.0,0.0,0.25
25,2041.0,0.0,0.0,3.0,0.0,0.0,0.0
26,2042.0,0.0,0.0,2.42,0.0,0.0,0.149
27,2043.0,0.0,1.6,1.493,0.0,0.0,0.0
28,2044.0,0.0,0.0,1.986,0.0,0.0,0.137
29,2045.0,0.0,0.0,2.529,0.0,0.0,0.25
30,2046.0,0.03,0.0,3.0,0.0,0.0,0.25
31,2047.0,0.0,0.0,3.5,0.0,0.0,0.102
32,2048.0,0.579,0.0,3.5,0.0,0.0,0.25
33,2049.0,1.43,0.0,3.5,0.0,0.0,0.25
34,2050.0,0.236,0.0,3.5,0.0,0.0,0.25
35,2051.0,0.0,0.0,3.321,0.0,0.0,0.0
36,2052.0,0.0,0.0,3.5,0.0,0.0,0.198
37,2053.0,0.0,0.216,3.5,0.0,0.0,0.232
38,2054.0,0.218,0.0,3.5,0.0,0.0,0.25
39,2055.0,0.195,0.0,3.5,0.028,0.0,0.25
40,2056.0,0.0,0.0,3.5,0.14,0.0,0.25
41,2057.0,0.0,0.0,3.5,0.242,0.0,0.25
42,2058.0,0.0,0.0,3.5,0.406,0.0,0.25
43,2059.0,0.0,0.0,3.5,0.784,0.0,0.25
44,2060.0,0.0,0.0,3.5,1.0,0.54,0.25
45,2061.0,0.0,0.467,3.5,0.941,0.0,0.25
46,2062.0,0.0,0.0,3.5,1.0,0.117,0.183
47,2063.0,0.0,0.0,3.5,0.15,0.278,0.25
48,2064.0,0.0,0.0,3.5,0.47,0.413,0.25
49,2065.0,0.0,0.0,3.5,1.0,0.364,0.25
50,2066.0,0.0,0.0,3.5,1.923,0.045,0.0
51,2067.0,0.0,0.25,3.729,2.299,0.0,0.149
52,2068.0,0.0,0.28,5.859,0.28,0.0,0.0
53,2069.0,0.0,0.0,6.5,0.944,0.0,0.137
54,2070.0,0.0,1.7,3.5,1.0,0.0,0.193
