,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass
0,2015.0,0.0,2.92,30.798,2.8,0.0,0.01,0.0,0.791,0.0
1,2016.0,0.0,4.442,31.948,2.8,0.0,0.04,0.0,0.991,0.25
2,2017.0,0.0,4.442,33.028,2.8,0.0,0.04,0.0,0.991,0.25
3,2018.0,0.0,4.442,49.378,2.832,0.0,0.09,0.0,1.331,0.25
4,2019.0,0.0,4.442,49.378,2.832,0.0,0.09,0.0,1.331,0.25
5,2020.0,0.0,4.442,49.378,2.832,0.0,0.19,0.0,1.331,0.25
6,2021.0,0.0,4.364,47.979,2.832,0.0,0.44,0.0,1.553,0.35
7,2022.0,0.0,4.285,46.578,2.832,0.0,0.69,0.0,2.026,0.45
8,2023.0,0.0,4.206,45.179,2.832,0.0,1.34,0.85,2.498,0.55
9,2024.0,0.0,4.128,43.778,2.832,0.5,1.69,1.15,2.971,0.65
10,2025.0,3.0,4.049,42.379,2.832,0.5,2.04,1.15,3.193,0.65
11,2026.0,6.0,3.972,40.98,2.832,0.5,2.382,1.15,3.416,0.65
12,2027.0,6.0,3.893,39.578,2.832,0.5,2.482,1.15,3.638,0.65
13,2028.0,6.0,3.814,38.178,2.832,0.5,2.582,1.15,3.861,0.65
14,2029.0,6.0,3.736,36.778,2.832,0.5,2.655,1.15,4.083,0.65
15,2030.0,6.0,3.656,35.378,2.832,0.5,2.705,1.15,4.306,0.65
16,2031.0,6.0,3.578,33.978,2.832,0.5,2.877,1.15,4.778,0.65
17,2032.0,6.0,3.5,32.578,2.832,0.5,3.482,1.15,5.25,0.65
18,2033.0,6.0,3.421,32.201,2.832,0.5,4.082,1.15,5.723,0.65
19,2034.0,6.0,3.343,32.813,2.832,0.5,4.682,1.15,6.195,0.65
20,2035.0,7.0,3.264,32.441,2.832,0.5,5.282,1.15,6.668,0.65
21,2036.0,8.0,3.185,31.871,2.832,0.5,5.882,1.15,7.14,0.65
22,2037.0,9.0,3.107,31.403,2.832,0.5,6.482,1.15,7.613,0.65
23,2038.0,10.0,3.029,30.597,2.832,0.5,7.082,1.45,8.085,0.65
24,2039.0,11.0,2.951,31.786,2.832,0.5,7.682,1.75,8.558,0.65
25,2040.0,12.0,1.522,31.885,2.832,0.5,8.272,2.05,8.79,0.65
26,2041.0,13.5,0.0,33.455,2.832,0.5,9.092,2.65,9.34,0.65
27,2042.0,14.0,0.0,34.727,2.832,0.5,9.942,2.65,10.09,0.65
28,2043.0,14.5,0.0,36.183,2.832,0.5,10.742,2.65,10.5,0.65
29,2044.0,15.0,0.0,37.443,2.832,0.5,11.592,2.65,11.25,0.65
30,2045.0,15.5,0.0,38.961,2.832,0.5,12.342,2.65,12.0,0.65
31,2046.0,15.5,0.0,41.786,2.832,0.5,12.942,2.65,12.5,0.65
32,2047.0,15.5,0.0,47.036,2.832,0.5,13.542,2.65,12.75,0.65
33,2048.0,17.0,0.0,38.636,2.832,0.5,14.142,2.65,13.0,0.65
34,2049.0,17.5,0.0,42.965,2.832,0.0,14.742,2.65,13.25,0.65
35,2050.0,18.0,0.0,44.582,2.832,0.0,15.342,2.65,13.75,0.65
36,2051.0,18.5,0.0,46.377,2.832,0.0,15.95,2.65,14.25,0.65
37,2052.0,19.0,0.0,48.157,2.832,0.0,16.8,2.65,14.75,0.65
38,2053.0,19.5,0.0,49.658,2.832,0.0,17.65,2.65,15.25,0.65
39,2054.0,20.0,0.0,51.657,2.832,0.0,18.5,2.65,15.75,0.65
40,2055.0,18.5,0.0,55.34,2.832,0.0,19.35,2.65,16.25,0.65
41,2056.0,17.0,0.0,59.774,2.832,0.0,20.2,2.65,16.5,0.4
42,2057.0,18.5,0.0,60.775,2.832,0.0,20.55,2.65,16.75,0.4
43,2058.0,20.0,0.0,61.079,2.832,0.0,20.9,2.65,17.0,0.4
44,2059.0,21.5,0.0,61.957,2.832,0.0,21.25,2.65,17.827,0.4
45,2060.0,23.0,0.0,63.702,2.832,0.175,21.6,2.65,18.827,0.4
46,2061.0,23.5,0.0,65.979,2.832,0.729,22.2,2.65,19.327,0.3
47,2062.0,24.0,0.0,68.61,2.832,1.4,22.8,2.65,19.827,0.2
48,2063.0,24.5,0.0,71.339,2.832,2.116,23.4,2.65,20.327,0.1
49,2064.0,25.0,0.0,74.178,2.832,2.88,24.0,2.65,20.827,0.0
50,2065.0,25.5,0.0,76.01,2.832,4.88,24.6,2.65,21.327,0.0
51,2066.0,26.0,0.0,77.629,2.832,6.88,24.95,2.65,22.577,0.0
52,2067.0,26.5,0.0,79.26,2.832,8.88,25.3,2.65,23.827,0.0
53,2068.0,27.0,0.0,82.241,2.832,9.8,25.65,2.65,25.077,0.0
54,2069.0,27.5,0.0,85.702,2.832,10.0,26.0,2.65,26.327,0.0
55,2070.0,28.0,0.0,88.35,2.832,12.2,26.35,2.65,27.577,0.0
