,y,Coal power plant - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new)
8,2023.0,0.0,0.0,0.8681,18.567899999999998
9,2024.0,0.0,0.0,0.817,18.4123
10,2025.0,0.0,0.0115,0.7659,8.9671
11,2026.0,0.0,0.0115,0.7149,7.4754000000000005
12,2027.0,0.0,0.0115,0.6638,9.2821
13,2028.0,0.0,0.0115,0.6127,9.811800000000002
14,2029.0,0.0,0.0115,0.5617,11.525500000000001
15,2030.0,0.0,0.0104,0.5105999999999999,14.4583
16,2031.0,0.0,0.0048000000000000004,0.4596,12.3924
17,2032.0,0.0,0.0048000000000000004,0.40859999999999996,14.2261
18,2033.0,0.0,0.007299999999999999,0.3575,14.2003
19,2034.0,0.0,0.0063,0.3064,14.3034
20,2035.0,0.0,0.0052,0.2553,15.0485
21,2036.0,0.0,0.0042,0.20429999999999998,15.4993
22,2037.0,0.0,0.0031,0.1532,16.1138
23,2038.0,0.0,0.0021,0.1021,16.6283
24,2039.0,0.0,0.001,0.0511,17.7959
25,2040.0,0.0,0.0,0.0,18.750999999999998
26,2041.0,0.0,0.0,0.0,16.2897
27,2042.0,0.0,0.0036,0.0,14.697099999999999
28,2043.0,0.0,0.0024000000000000002,0.0,9.5975
29,2044.0,0.0,0.0024000000000000002,0.0,10.8249
30,2045.0,0.0,0.0024000000000000002,0.0,11.5469
31,2046.0,0.3039,0.0024000000000000002,0.0,11.3261
32,2047.0,0.3039,0.0024000000000000002,0.0,11.5135
33,2048.0,3.408,0.0024000000000000002,0.0,9.0508
34,2049.0,11.6674,0.0024000000000000002,0.0,1.0138
35,2050.0,13.3414,0.0,0.0,0.1786
36,2051.0,12.7485,0.0,0.0,0.0
37,2052.0,12.7485,0.0,0.0,0.0
38,2053.0,12.7485,0.0,0.0,0.0
39,2054.0,14.3854,0.0,0.0,0.0
40,2055.0,16.1326,0.0,0.0,0.0
41,2056.0,15.8997,0.0,0.0,0.0
42,2057.0,15.7372,0.0,0.0,0.0
43,2058.0,15.7137,0.0,0.0,0.0
44,2059.0,15.7024,0.0,0.0,0.0
45,2060.0,16.2309,0.0,0.0,0.0
46,2061.0,16.9803,0.0,0.0,0.0
47,2062.0,17.5823,0.0,0.0,0.0
48,2063.0,17.6362,0.0,0.0,0.0
49,2064.0,17.8743,0.0,0.0,0.0
50,2065.0,18.8547,0.0,0.0,0.0
51,2066.0,20.661,0.0,0.0,0.0
52,2067.0,22.4194,0.0,0.0,0.0
53,2068.0,23.6059,0.0,0.0,0.0
54,2069.0,23.8257,0.0,0.0,0.0
55,2070.0,22.8496,0.0,0.0,0.0
