,y,Aswan 1,Aswan 2,Esna,High Aswan Dam,New Assiut Barrage,Naga Hamadi
0,2015,1029.6335,1009.3493,204.3471,6595.8736,0.0,187.7328
1,2016,1029.6335,1009.3493,204.3471,6595.8736,0.0,187.7328
2,2017,1029.6335,1009.3493,204.3471,6595.8736,0.0,187.7328
3,2018,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
4,2019,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
5,2020,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
6,2021,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
7,2022,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
8,2023,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
9,2024,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
10,2025,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
11,2026,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
12,2027,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
13,2028,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
14,2029,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
15,2030,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
16,2031,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
17,2032,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
18,2033,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
19,2034,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
20,2035,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
21,2036,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
22,2037,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
23,2038,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
24,2039,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
25,2040,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
26,2041,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
27,2042,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
28,2043,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
29,2044,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
30,2045,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
31,2046,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
32,2047,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
33,2048,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
34,2049,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
35,2050,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
36,2051,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
37,2052,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
38,2053,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
39,2054,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
40,2055,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
41,2056,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
42,2057,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
43,2058,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
44,2059,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
45,2060,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
46,2061,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
47,2062,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
48,2063,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
49,2064,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
50,2065,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
51,2066,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
52,2067,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
53,2068,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
54,2069,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
55,2070,1029.6335,1009.3493,204.3471,6595.8736,106.2406,187.7328
