,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Upper Atbara FPV
0,2045.0,0.0,0.3382,0.0,0.0,0.0,0.2778,0.0,0.0,0.0
1,2046.0,0.0,0.3382,0.0,0.0,0.0,0.2778,0.0,0.0,0.0
2,2047.0,0.0,0.3382,0.0,0.0,0.0,4.4443,0.0,0.0,0.0
3,2048.0,2.1835,4.5653,0.0,2.5264,0.0,8.6109,1.3986,2.9257,0.0
4,2049.0,2.1835,4.5653,0.0,2.5264,0.0,8.6109,1.3986,2.9257,0.0
5,2050.0,2.1835,4.5653,0.0,2.5264,0.0,8.6109,1.3986,2.9257,0.0
6,2051.0,2.1835,4.5653,0.0,2.5264,0.0,8.6109,1.3986,2.9257,0.0
7,2052.0,2.1835,4.5653,0.0,2.5264,0.0,8.6109,1.3986,2.9257,0.0
8,2053.0,2.1835,4.5653,0.0,2.5264,0.0,8.6109,1.3986,2.9257,0.0
9,2054.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
10,2055.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
11,2056.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
12,2057.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
13,2058.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
14,2059.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
15,2060.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
16,2061.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
17,2062.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
18,2063.0,2.1835,4.5653,0.1258,2.5264,0.065,8.6109,1.3986,2.9257,2.051
19,2064.0,2.1835,4.5653,0.1025,2.5264,0.0539,8.6109,1.3986,2.9257,2.051
20,2065.0,2.1835,4.5653,0.1025,2.5264,0.065,8.6109,1.3986,2.9257,2.051
21,2066.0,1.8132,3.7959,0.1025,2.072,0.0539,8.6109,1.3986,2.9257,2.051
22,2067.0,2.1835,4.5653,0.1025,2.072,0.0539,8.6109,1.1478,2.4281,2.051
23,2068.0,1.8132,4.5653,0.1025,2.072,0.0539,8.6109,1.1478,2.4281,1.699
24,2069.0,2.1835,3.7959,0.1025,2.072,0.0539,7.0995,1.1478,2.4281,2.051
25,2070.0,1.8132,4.5653,0.1025,2.072,0.0539,8.6109,1.1478,2.4281,1.699
