,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Upper Atbara FPV
0,2045.0,0.0,0.04800000000003268,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0
1,2046.0,0.0,0.04800000000003268,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0
2,2047.0,0.0,0.04800000000003268,0.0,0.0,0.0,0.64,0.0,0.0,0.0
3,2048.0,0.3120000000000129,0.6480000000000327,0.0,0.3600000000000214,0.0,1.24,0.205,0.42,0.0
4,2049.0,0.3120000000000129,0.6480000000000327,0.0,0.3600000000000214,0.0,1.24,0.205,0.42,0.0
5,2050.0,0.3120000000000129,0.6480000000000327,0.0,0.3600000000000214,0.0,1.24,0.205,0.42,0.0
6,2051.0,0.3120000000000129,0.6480000000000327,0.0,0.3600000000000214,0.0,1.24,0.205,0.42,0.0
7,2052.0,0.3120000000000129,0.6480000000000327,0.0,0.3600000000000214,0.0,1.24,0.205,0.42,0.0
8,2053.0,0.3120000000000129,0.6480000000000327,0.0,0.3600000000000214,0.0,1.24,0.205,0.42,0.0
9,2054.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
10,2055.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
11,2056.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
12,2057.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
13,2058.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
14,2059.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
15,2060.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
16,2061.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
17,2062.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
18,2063.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
19,2064.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
20,2065.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
21,2066.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
22,2067.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
23,2068.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
24,2069.0,0.3120000000000129,0.6480000000000327,0.019,0.3600000000000214,0.01,1.24,0.205,0.42,0.32000000000001944
25,2070.0,0.3120000000000129,0.6480000000000435,0.019,0.3600000000000214,0.01,1.2400000000000562,0.205,0.42,0.32000000000001944
