,y,CO2
0,2015,210.9686
1,2016,208.378
2,2017,207.3096
3,2018,205.1517
4,2019,206.156
5,2020,206.4034
6,2021,209.9867
7,2022,212.8657
8,2023,212.4752
9,2024,221.4394
10,2025,237.4057
11,2026,253.373
12,2027,256.9922
13,2028,260.6054
14,2029,264.1231
15,2030,266.1389
16,2031,271.5082
17,2032,276.5869
18,2033,282.4253
19,2034,288.2653
20,2035,297.7089
21,2036,306.7361
22,2037,316.1232
23,2038,324.4208
24,2039,332.7642
25,2040,325.674
26,2041,306.4351
27,2042,315.2298
28,2043,321.8292
29,2044,327.9845
30,2045,334.636
31,2046,339.9735
32,2047,344.8436
33,2048,348.2677
34,2049,356.7112
35,2050,363.5218
36,2051,370.9004
37,2052,378.24
38,2053,385.6962
39,2054,393.6524
40,2055,393.0377
41,2056,393.9636
42,2057,405.9326
43,2058,416.1255
44,2059,427.6038
45,2060,440.6174
46,2061,449.1891
47,2062,458.3072
48,2063,467.6348
49,2064,477.1816
50,2065,485.1514
51,2066,492.7606
52,2067,500.5192
53,2068,510.6205
54,2069,521.3721
55,2070,530.4604
