,y,Coal,Oil,Hydro,Solar PV,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,7.0,3587.89,0.0,0.0,1.08,12.28,9.22,0.0
1,2016.0,0.0,7.0,3587.89,0.0,0.0,1.08,0.0,10.35,0.0
2,2017.0,0.0,7.0,3834.24,0.0,0.0,1.08,12.49,9.98,0.0
3,2018.0,0.0,7.0,3834.24,0.0,0.0,1.08,24.32,9.79,0.0
4,2019.0,0.0,7.0,3834.24,0.0,0.0,1.08,19.96,9.52,0.0
5,2020.0,0.0,7.0,3834.24,0.0,0.0,1.08,0.0,9.26,0.0
6,2021.0,0.0,6.64,3834.24,0.0,0.0,1.03,0.0,9.55,0.0
7,2022.0,0.0,6.29,3834.24,0.0,0.0,0.97,0.0,9.84,0.0
8,2023.0,0.0,14.42,3834.24,0.0,0.0,0.92,0.0,10.15,0.0
9,2024.0,0.0,23.99,4847.03,0.0,0.03,0.86,0.0,10.69,0.0
10,2025.0,0.0,6.75,6013.26,0.0,0.06,0.54,0.0,10.81,0.43
11,2026.0,0.0,4.89,6013.26,0.0,0.09,0.49,0.0,11.14,0.43
12,2027.0,0.0,4.54,6013.26,0.0,0.13,0.43,0.0,11.5,0.43
13,2028.0,0.0,4.2,6891.01,0.0,0.13,0.38,0.0,11.87,0.43
14,2029.0,0.0,3.85,6891.01,0.0,0.13,0.32,0.0,12.25,0.0
15,2030.0,0.0,3.49,9290.76,0.0,0.13,0.27,0.0,12.04,0.0
16,2031.0,0.0,3.14,9290.76,0.02,0.13,0.22,0.0,1.07,0.0
17,2032.0,0.0,2.79,9728.28,0.07,0.13,0.16,0.0,0.72,0.0
18,2033.0,0.0,2.46,9728.28,0.14,0.13,0.11,0.0,0.36,0.0
19,2034.0,0.0,2.1,9728.28,0.22,0.13,0.05,0.0,0.0,0.0
20,2035.0,0.0,1.75,9728.28,0.23,0.13,0.0,0.0,0.0,0.0
21,2036.0,0.0,1.4,9728.28,0.29,0.13,0.0,0.0,0.0,0.0
22,2037.0,0.0,1.1,9728.28,0.37,0.13,0.0,0.0,0.0,0.0
23,2038.0,0.0,0.72,9728.28,0.46,0.13,0.0,0.0,0.0,0.0
24,2039.0,0.0,0.36,9728.28,0.54,0.13,0.0,0.0,0.0,0.0
25,2040.0,1.2,0.0,9728.28,0.63,0.13,0.0,0.0,0.0,0.0
26,2041.0,1.2,0.0,9728.28,0.71,0.13,0.0,0.0,0.0,0.0
27,2042.0,1.02,0.0,9691.71,0.8,0.13,0.0,0.0,0.0,0.0
28,2043.0,0.98,0.0,9691.71,0.89,0.13,0.0,0.0,0.0,0.0
29,2044.0,1.01,0.0,9671.46,0.98,0.13,0.0,0.0,0.0,0.0
30,2045.0,1.01,0.0,9671.46,1.05,0.13,0.0,0.0,0.0,0.0
31,2046.0,1.2,0.0,9291.66,1.11,0.13,0.0,0.0,0.0,0.0
32,2047.0,1.16,0.0,9291.66,1.18,0.13,0.0,0.0,0.0,0.0
33,2048.0,9.49,0.0,9291.66,1.33,0.13,0.0,0.0,0.0,0.0
34,2049.0,10.05,0.0,9291.66,1.36,0.13,0.0,0.0,0.0,0.0
35,2050.0,10.05,0.0,9291.66,1.47,0.13,0.0,0.0,0.0,0.0
36,2051.0,10.05,0.0,9291.66,1.53,0.13,0.0,0.0,0.0,0.0
37,2052.0,10.05,0.0,9291.66,1.6,0.13,0.0,0.0,0.0,0.0
38,2053.0,10.04,0.0,9291.66,1.67,0.13,0.0,0.0,0.0,0.0
39,2054.0,10.05,0.0,9291.66,1.74,0.13,0.0,0.0,0.0,0.0
40,2055.0,10.05,0.0,9291.66,1.87,0.13,0.0,0.0,0.0,0.0
41,2056.0,10.06,0.0,9291.66,1.94,0.13,0.0,0.0,0.0,0.0
42,2057.0,11.36,0.0,9291.66,2.12,0.13,0.0,0.0,0.0,0.0
43,2058.0,13.97,0.0,9291.66,2.31,0.13,0.0,0.0,0.0,0.0
44,2059.0,13.99,0.0,9291.66,2.4,0.13,0.0,0.0,0.0,0.0
45,2060.0,14.04,0.0,9238.0,2.48,0.13,0.0,0.0,0.0,0.0
46,2061.0,13.92,0.0,9101.42,2.59,0.13,0.0,0.0,0.0,0.0
47,2062.0,13.89,0.0,9031.97,2.68,0.13,0.0,0.0,0.0,0.0
48,2063.0,13.85,0.0,8942.54,2.77,0.13,0.0,0.0,0.0,0.0
49,2064.0,13.79,0.0,8922.86,2.86,0.12,0.0,0.0,0.0,0.0
50,2065.0,13.57,0.0,8922.86,2.98,0.11,0.0,0.0,0.0,0.0
51,2066.0,12.91,0.0,8922.86,3.15,0.13,0.0,0.0,0.0,0.0
52,2067.0,12.15,0.0,8922.86,3.3,0.13,0.0,0.0,0.0,0.0
53,2068.0,12.03,0.0,9237.86,3.39,0.13,0.0,0.0,0.0,0.0
54,2069.0,11.97,0.0,9233.73,3.49,0.13,0.0,0.0,0.0,0.0
55,2070.0,11.39,0.0,8922.86,3.58,0.13,0.0,0.0,0.0,0.0
