,y,Amarti-Neshe FPV,Birbir FPV,Baro FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dabus FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Mandaya FPV
0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027717230061554615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16819968727074167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40976040364093863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8156720812235096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.9409224710865791,0.0,0.0,0.0
7,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.940922471086579,0.0,0.0,0.0
8,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,3.0911839554412697,0.0,0.0,0.0
9,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,3.5607713103792724,0.0,0.0,0.0
10,2065.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,4.560771310379272,0.0,0.0,0.0
11,2066.0,0.0,0.0,0.0,0.0,0.128,0.0,1.6,0.0,0.0,0.11451090170634048,5.560771310379272,0.3,0.38,0.0
12,2067.0,0.098,0.467,0.0,0.0,0.128,0.0,1.6,0.0,0.55,0.45999999999999996,6.4,0.3,0.38,0.0
13,2068.0,0.098,0.467,0.0,0.28,0.128,0.0,1.6,0.0,0.55,0.45999999999999996,6.4,0.3,0.38,0.0
14,2069.0,0.098,0.467,0.47848159005695473,0.28,0.128,0.216,1.6,0.25,0.55,0.45999999999999996,6.4,0.3,0.38,0.0
15,2070.0,0.098,0.467,0.47848159005695473,0.28,0.128,0.216,1.6,0.25,0.55,0.45999999999999996,6.4,0.3,0.38,1.0
