,y,Ethiopia - Sudan EL existing trade link
0,2015.0,4.4065
1,2016.0,4.9615
2,2017.0,-5.052
3,2018.0,-2.4616000000000002
4,2019.0,5.9918
5,2020.0,5.3206
6,2021.0,5.4381
7,2022.0,5.9918
8,2023.0,-5.9918
9,2024.0,-5.9918
10,2025.0,-5.9918
11,2026.0,-5.3616
12,2027.0,-4.47
13,2028.0,0.9413999999999998
14,2029.0,-2.8134
15,2030.0,-0.3685999999999998
16,2031.0,2.1963
17,2032.0,1.3102000000000003
18,2033.0,-3.7134
19,2034.0,-2.3108
20,2035.0,-1.5021
21,2036.0,-3.7222
22,2037.0,-2.7907
23,2038.0,-1.6136000000000001
24,2039.0,-1.3599
25,2040.0,-0.7428000000000003
26,2041.0,-1.4911
27,2042.0,-1.7163
28,2043.0,-2.0265
29,2044.0,-2.3487
30,2045.0,-1.5696
31,2046.0,-1.5023
32,2047.0,-2.2626
33,2048.0,-3.5013000000000005
34,2049.0,-2.0418000000000003
35,2050.0,-2.8193
36,2051.0,-2.8193
37,2052.0,-2.9521
38,2053.0,-5.4671
39,2054.0,-4.859100000000001
40,2055.0,-4.859100000000001
41,2056.0,-4.859100000000001
42,2057.0,-4.859100000000001
43,2058.0,-4.859100000000001
44,2059.0,-4.859100000000001
45,2060.0,-4.6693
46,2061.0,-4.4532
47,2062.0,-4.0832
48,2063.0,-3.1079000000000003
49,2064.0,-2.8151
50,2065.0,-2.6184000000000003
51,2066.0,-3.1724000000000006
52,2067.0,-3.7264
53,2068.0,-4.3055
54,2069.0,-3.5139000000000005
55,2070.0,-3.1724000000000006
