,y,Aswan 1,Aswan 2,Esna,High Aswan Dam,New Assiut Barrage,Naga Hamadi
0,2015.0,8.2346,8.0724,1.6343,52.7513,0.0,1.5014
1,2016.0,8.2346,8.0724,1.6343,52.7513,0.0,1.5014
2,2017.0,8.2346,8.0724,1.6343,52.7513,0.0,1.5014
3,2018.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
4,2019.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
5,2020.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
6,2021.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
7,2022.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
8,2023.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
9,2024.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
10,2025.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
11,2026.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
12,2027.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
13,2028.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
14,2029.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
15,2030.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
16,2031.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
17,2032.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
18,2033.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
19,2034.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
20,2035.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
21,2036.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
22,2037.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
23,2038.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
24,2039.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
25,2040.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
26,2041.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
27,2042.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
28,2043.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
29,2044.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
30,2045.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
31,2046.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
32,2047.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
33,2048.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
34,2049.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
35,2050.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
36,2051.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
37,2052.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
38,2053.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
39,2054.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
40,2055.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
41,2056.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
42,2057.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
43,2058.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
44,2059.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
45,2060.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
46,2061.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
47,2062.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
48,2063.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
49,2064.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
50,2065.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
51,2066.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
52,2067.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
53,2068.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
54,2069.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
55,2070.0,8.2346,8.0724,1.6343,52.7513,0.8497,1.5014
