,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Biomass,Geothermal
0,2015.0,0.0,0.277,0.0,1.791,0.01,0.0,0.322,0.196,0.008
1,2016.0,0.0,0.35,0.0,1.791,0.012,0.0,0.322,0.196,0.008
2,2017.0,0.0,0.35,0.0,3.661,0.013,0.0,0.322,0.196,0.008
3,2018.0,0.0,0.35,0.0,3.661,0.013,0.0,0.322,0.196,0.008
4,2019.0,0.0,0.595,0.0,3.661,0.013,0.0,0.322,0.196,0.008
5,2020.0,0.0,0.595,2.83,3.661,0.013,0.0,0.322,0.196,0.128
6,2021.0,0.0,0.588,2.887,3.661,0.012,0.0,0.314,0.186,0.298
7,2022.0,0.0,0.58,2.887,3.661,0.012,0.0,0.305,0.177,0.398
8,2023.0,0.0,0.573,2.887,10.749,0.011,0.0,0.297,0.167,0.598
9,2024.0,0.0,0.566,2.887,10.749,0.011,0.0,0.288,0.157,0.848
10,2025.0,0.0,0.424,2.887,10.749,0.01,0.0,0.279,0.098,1.048
11,2026.0,0.0,0.343,2.887,10.749,0.01,0.0,0.271,0.088,1.048
12,2027.0,0.0,0.336,2.887,11.394,0.009,0.0,0.262,0.078,1.048
13,2028.0,0.0,0.329,2.887,11.394,0.009,0.0,0.254,0.069,1.047
14,2029.0,0.0,0.078,2.887,12.994,0.009,0.0,0.245,0.059,1.047
15,2030.0,0.0,0.071,2.887,12.994,0.008,0.0,0.237,0.049,1.046
16,2031.0,0.0,0.064,2.887,12.994,0.008,0.0,0.228,0.039,1.046
17,2032.0,0.0,0.057,2.887,13.994,0.007,0.0,0.219,0.029,1.046
18,2033.0,0.0,0.05,2.887,14.544,1.113,0.0,0.211,0.02,1.045
19,2034.0,0.0,0.042,2.887,14.544,2.612,0.0,0.202,0.01,1.045
20,2035.0,0.0,0.035,2.887,14.544,4.038,0.0,0.194,0.0,1.093
21,2036.0,0.0,0.028,2.887,14.916,5.357,0.0,0.185,0.0,1.343
22,2037.0,0.0,0.021,2.887,14.916,6.569,0.0,0.177,0.0,1.592
23,2038.0,0.0,0.014,2.887,14.916,8.068,0.0,0.168,0.0,1.704
24,2039.0,0.0,0.007,2.887,14.916,9.568,0.0,0.16,0.0,1.954
25,2040.0,0.0,0.0,2.887,14.916,11.068,0.0,0.0,0.0,2.203
26,2041.0,0.0,0.0,2.887,14.916,14.032,0.0,0.0,0.0,2.305
27,2042.0,0.0,0.0,2.887,14.916,17.032,0.0,0.0,0.0,2.304
28,2043.0,0.0,0.0,2.887,14.916,20.032,0.0,0.0,0.0,2.304
29,2044.0,0.0,0.0,2.887,14.916,23.032,0.0,0.0,0.0,2.303
30,2045.0,0.0,0.0,2.584,15.132,25.52,0.0,0.0,0.0,2.183
31,2046.0,0.0,0.0,2.526,15.132,28.52,0.0,0.0,0.0,2.263
32,2047.0,0.0,0.0,2.526,15.132,31.679,0.0,0.0,0.0,2.413
33,2048.0,0.0,0.0,2.526,15.132,35.179,0.0,0.0,0.0,2.463
34,2049.0,0.0,0.0,2.526,15.132,38.679,0.0,0.0,0.0,2.463
35,2050.0,2.347,0.0,0.0,15.132,42.179,0.0,0.0,0.0,2.513
36,2051.0,2.347,0.0,0.0,15.132,45.273,0.0,0.0,0.0,2.513
37,2052.0,2.347,0.0,0.0,15.132,48.404,0.0,0.0,0.0,2.513
38,2053.0,2.347,0.0,0.0,16.704,50.495,0.0,0.0,0.0,2.513
39,2054.0,2.347,0.0,0.0,16.704,52.495,0.0,0.0,0.0,2.513
40,2055.0,2.347,0.0,0.0,16.704,54.568,0.0,0.0,0.0,2.763
41,2056.0,2.347,0.0,0.0,16.704,56.747,0.0,0.0,0.0,3.013
42,2057.0,2.347,0.0,0.0,16.704,59.034,0.0,0.0,0.0,3.263
43,2058.0,2.347,0.0,0.0,16.704,61.034,0.314,0.0,0.0,3.513
44,2059.0,2.347,0.0,0.0,16.704,63.034,0.718,0.0,0.0,3.763
45,2060.0,2.347,0.0,0.0,16.704,65.034,1.353,0.0,0.0,3.964
46,2061.0,2.347,0.0,0.0,16.661,65.569,2.907,0.0,0.0,3.964
47,2062.0,2.347,0.0,0.0,16.661,66.069,4.466,0.0,0.0,3.964
48,2063.0,2.347,0.0,0.0,16.661,66.569,5.729,0.0,0.0,4.102
49,2064.0,2.347,0.0,0.0,16.661,67.069,7.428,0.022,0.0,4.102
50,2065.0,2.347,0.0,0.0,16.661,68.082,8.831,0.188,0.0,4.102
51,2066.0,2.347,0.0,0.0,16.941,68.582,9.778,0.188,0.0,4.25
52,2067.0,2.347,0.0,0.0,16.909,68.923,11.516,0.188,0.0,4.5
53,2068.0,2.347,0.0,0.0,17.756,68.923,12.142,0.188,0.0,4.75
54,2069.0,2.347,0.0,0.0,17.756,71.561,12.142,0.188,0.0,5.0
55,2070.0,2.347,0.0,0.0,17.756,74.561,12.593,0.206,0.0,5.0
