,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
43,2058.0,672.5,0.0,1301.1399999999999,356.88000000000005,0.0,928.6700000000001,45.0,213.21,6.34,115.6,0.0
44,2059.0,719.99,0.0,1313.13,354.82,0.0,971.52,47.55,223.75,6.34,122.3,0.0
45,2060.0,760.97,0.0,1343.23,353.07,2.27,1001.22,51.22,236.51,6.34,127.67999999999999,0.0
46,2061.0,773.96,0.0,1394.11,352.78999999999996,9.46,1031.57,60.5,242.79,4.75,127.67999999999999,-1.4210854715202004e-14
47,2062.0,787.99,0.0,1451.05,354.11000000000007,18.17,1055.04,69.81,249.06,3.17,127.67999999999999,0.0
48,2063.0,801.65,0.0,1510.29,354.42999999999995,27.47,1079.0,77.11,255.33,1.58,131.39000000000001,0.0
49,2064.0,815.67,0.0,1571.98,357.6700000000001,37.39,1102.3400000000001,85.69,261.83000000000004,0.0,131.39000000000001,1.4210854715202004e-14
50,2065.0,827.52,0.0,1614.87,356.18,63.35,1137.1000000000001,94.17999999999999,269.81,0.0,130.4,-1.4210854715202004e-14
51,2066.0,836.5999999999999,0.0,1653.04,363.99,89.31,1168.3600000000001,96.32000000000001,285.77,0.0,133.99,0.0
52,2067.0,844.25,0.0,1693.3,379.41,115.28,1200.6999999999998,91.51,301.41,0.0,140.08,0.0
53,2068.0,850.1,0.0,1760.98,397.67999999999995,127.22,1221.06,86.94999999999999,317.29999999999995,0.0,148.55,0.0
54,2069.0,861.7099999999999,0.0,1836.44,407.12999999999994,129.81,1249.7600000000002,84.13,333.02,0.0,155.47,-1.4210854715202004e-14
55,2070.0,870.84,0.0,1890.8,400.27,165.07,1288.1399999999999,90.94999999999999,348.92,0.0,154.48,0.0
