,y,Coal power plant - Air cooling (new),Coal power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old)
0,2015.0,0.0,0.0,0.481674,0.35,0.32779200000000003,0.2644393183824063,0.6,2.205,0.0,0.76076,0.25,10.58078,0.0,2.32805,1.95,12.123019,0.0,0.5451,1.0,1.633386,1.012269
1,2016.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.34467109637993343,0.6,2.205,0.0,0.76076,0.75,10.58078,0.0,2.32805,2.6,12.123019,1.0,0.5451,1.0,1.633386,1.012269
2,2017.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.4078603739198121,0.6,2.205,0.0,0.76076,1.5,10.58078,0.0,2.32805,2.93,12.123019,1.0,0.5451,1.0,1.633386,1.012269
3,2018.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.5198635130589402,0.6,2.205,9.6,0.76076,6.3,10.58078,0.0,2.32805,4.88,12.123019,1.0,0.5451,1.0,1.633386,1.012269
4,2019.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.8763642651252156,0.6,2.205,9.6,0.76076,6.3,10.58078,0.0,2.32805,4.88,12.123019,1.0,0.5451,1.0,1.633386,1.012269
5,2020.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.8763642651252156,0.6,2.205,12.384226086348752,0.76076,6.3,10.58078,0.30385842580276123,2.32805,4.88,12.123019,1.0,0.5451,1.0,1.633386,1.012269
6,2021.0,0.0,0.0,0.4575903,0.872,0.3114024,0.8763642651252156,0.6,2.09475,12.386852259943806,0.722722,6.3,10.051741,0.3674526943057461,2.2116475,4.88,11.51686805,1.0,0.517845,1.0,1.5517167,0.96165555
7,2022.0,0.0,0.0,0.43350659999999996,0.872,0.2950128,0.8763642651252156,0.6,1.9845,12.386852259943806,0.684684,6.3,9.522702,0.38817328720902466,2.095245,4.88,10.9107171,1.0,0.49058999999999997,1.0,1.4700474,0.9110421
8,2023.0,0.0,0.0,0.4094229,0.872,0.2786232,0.8763642651252157,0.6,1.87425,12.386852259943806,0.646646,6.3,8.993663,0.39819482124407923,1.9788425,4.88,10.30456615,1.0,0.463335,1.0,1.3883781,0.86042865
9,2024.0,0.0,0.11149964704561527,0.3853392,0.872,0.2622336,0.8763642651252157,0.6,1.764,12.386852259943806,0.608608,6.3,8.464624,0.39819482124407923,1.86244,4.88,9.6984152,1.0,0.43608,1.0,1.3067088,0.8098152
10,2025.0,0.0,3.111499647045615,0.36125550000000006,0.872,0.245844,0.6119249467428094,0.6,1.65375,12.386852259943806,0.57057,6.3,7.935585,0.39819482124407923,1.7460375,4.88,9.09226425,1.0,0.408825,1.0002146784128778,1.2250394999999998,0.75920175
11,2026.0,0.0,6.1114996470456155,0.3371718,0.872,0.2294544,0.5316931687452823,0.6,1.5435,12.386852259943806,0.532532,6.3,7.406546,0.39819482124407923,1.629635,4.88,8.4861133,1.0,0.38156999999999996,1.0002146784128778,1.1433702,0.7085883
12,2027.0,0.0,6.1114996470456155,0.3130881,0.872,0.2130648,0.4685038912054036,0.6,1.43325,12.386852259943806,0.494494,6.3,6.877507,0.39819482124407923,1.5132325,4.88,7.87996235,1.0,0.354315,1.0002146784128778,1.0617009,0.65797485
13,2028.0,0.0,6.1114996470456155,0.2890044,0.872,0.1966752,0.3565007520662754,0.6,1.323,12.386852259943806,0.456456,6.3,6.348468,0.39819482124407923,1.39683,4.88,7.2738114,1.0,0.32706,1.0002146784128778,0.9800316,0.6073614
14,2029.0,0.0,6.1114996470456155,0.2649207,0.872,0.18028560000000002,0.0,0.6,1.21275,12.386852259943806,0.418418,6.3,5.819429,0.39819482124407923,1.2804275,4.88,6.66766045,1.0,0.299805,1.0002146784128778,0.8983623000000001,0.55674795
15,2030.0,0.0,6.1114996470456155,0.240837,0.872,0.16389600000000001,0.0,0.6,1.1025,12.386852259943806,0.38038,6.3,5.29039,0.39819482124407923,1.164025,4.88,6.0615095,1.0,0.27255,1.0002146784128778,0.816693,0.5061345
16,2031.0,0.0,6.1114996470456155,0.21675329999999998,0.872,0.1475064,0.0,0.6,0.99225,12.386852259943806,0.342342,6.3,4.761351,0.39819482124407923,1.0476225,4.88,5.45535855,1.0,0.24529499999999999,1.0002146784128778,0.7350237,0.45552105
17,2032.0,0.0,6.1114996470456155,0.1926696,0.872,0.1311168,0.0,0.6,0.882,12.386852259943806,0.304304,6.3,4.232312,0.40884388638760605,0.93122,4.88,4.8492076,1.0,0.21804,1.0002146784128778,0.6533544,0.4049076
18,2033.0,0.0,6.1114996470456155,0.1685859,0.872,0.1147272,0.0,1.6,0.77175,12.386852259943806,0.266266,6.322435198031179,3.703273,0.45332752101096063,0.8148175,4.88,4.24305665,1.0,0.19078499999999998,1.0002146784128778,0.5716851,0.35429415
19,2034.0,0.0,6.1114996470456155,0.1445022,0.872,0.0983376,0.0,2.6,0.6615,12.813306193356718,0.228228,6.907603105839823,3.174234,0.5009012735672727,0.698415,4.88,3.6369057,1.0,0.16353,1.0002146784128778,0.4900158,0.3036807
20,2035.0,0.0,7.1114996470456155,0.1204185,0.872,0.08194800000000001,0.0,3.6,0.55125,12.813306193356718,0.19019,6.935826268298583,2.645195,0.5517972005275775,0.5820125,4.88,3.03075475,1.0,0.136275,1.0002146784128778,0.4083465,0.25306725
21,2036.0,0.0,8.111499647045616,0.0963348,0.872,0.0655584,0.0,3.921725262541503,0.441,13.320142032089235,0.152152,6.935826268298583,2.116156,0.5517972005275775,0.46561,4.88,2.4246038,1.0,0.10902,1.0002146784128778,0.3266772,0.2024538
22,2037.0,0.0,9.125014007688627,0.0722511,0.872,0.0491688,0.0,4.693176154414044,0.33075,13.320142032089235,0.114114,7.097880288910275,1.587117,0.5517972005275775,0.3492075,4.88,1.81845285,1.0,0.081765,1.0002146784128778,0.2450079,0.15184035
23,2038.0,0.0,10.458004194991092,0.0481674,0.872,0.0327792,0.0,4.693176154414044,0.2205,13.320142032089235,0.076076,7.690755527812772,1.058078,0.5517972005275775,0.232805,4.88,1.2123019,1.0,0.05451,1.0002146784128778,0.1633386,0.1012269
24,2039.0,0.0,11.458004194991092,0.024083700000000013,0.872,0.0163896,0.0,5.693176154414043,0.11025,14.320142032089235,0.038038,8.28144134070257,0.529039000000001,0.5517972005275775,0.1164025,4.88,0.60615095,1.0,0.027255,1.0002146784128778,0.08166930000000022,0.0506134500000001
25,2040.0,0.0,12.80578365765216,0.0,0.522,0.0,0.0,6.693176154414043,0.0,15.320142032089235,0.0,9.28144134070257,0.0,0.5517972005275775,0.0,3.3781509392757116,0.0,1.0,0.0,0.00021467841287789647,0.0,0.0
26,2041.0,0.0,14.305783657652178,0.0,0.0,0.0,0.0,8.193176154414044,0.0,15.959929063452888,0.0,9.28144134070257,0.0,0.5517972005275775,0.0,2.8084085441060056,0.0,0.0,0.0,0.00021467841287789647,0.0,0.0
27,2042.0,0.0,14.805783657652185,0.0,0.0,0.0,0.0,8.713057226730907,0.0,15.959929063452888,0.0,9.28144134070257,0.0,0.6077846895524881,0.0,3.560275477785531,0.0,0.0,0.0,0.00021467841287789647,0.0,0.0
28,2043.0,0.0,15.305783657652185,0.0,0.0,0.0,0.0,9.119059148805054,0.0,15.959929063452888,0.0,10.78144134070257,0.0,0.675923812032309,0.0,3.110275477785531,0.0,0.0,0.0,0.00021467841287789647,0.0,0.0
29,2044.0,0.0,16.062516585172254,0.0,0.0,0.0,0.0,9.119059148805054,0.0,15.959929063452888,0.0,12.040622797605545,0.0,0.7255428763969056,0.0,3.110275477785531,0.0,0.0,0.0,0.00021467841287789647,0.0,0.0
