Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,Backstop,power_trade,CCC
0.0,7.57,514.08,67.09,0.0,0.0,1.27,0.0,16.69,3.96,0.0,0.0,3.89,EG
0.0,0.81,70.91,59.94,0.0,0.0,0.09,0.0,3.33,2.82,3.43,0.0,0.0,ET
0.0,10.88,0.0,40.83,0.0,0.0,0.08,0.0,0.0,3.42,0.0,0.0,-3.89,SD
0.0,0.06,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS
