,y,Amarti-Neshe,Birbir,Baro,Chemoga Yeda,Finchaa,Geba,Genji,Karadobi,Lower Dedessa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2,Tams,Upper Mandaya
0,2015.0,1.4989,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,5.0293,1.6028,9.0477,0.0,0.0826,0.3296,6.4737,2.1263,0.0,0.0,0.0
1,2016.0,1.4989,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,5.0293,1.6028,9.0477,0.0,0.0826,0.3296,6.4737,2.1263,0.0,0.0,0.0
2,2017.0,1.0238,0.0,0.0,0.0,1.2932,0.0,0.0,0.0,0.0,3.8238,1.6028,37.0595,0.0,0.0326,0.2382,5.7403,2.1263,0.0,0.0,0.0
3,2018.0,1.4989,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,5.0293,1.6028,37.0595,0.0,0.0826,0.3296,6.4737,2.1263,0.0,0.0,0.0
4,2019.0,1.4989,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,5.0293,1.6028,37.0595,0.0,0.0826,0.3296,6.4737,2.1263,0.0,0.0,0.0
5,2020.0,1.4989,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,5.0293,1.6028,37.0595,0.0,0.0826,0.3296,6.4737,2.1263,0.0,0.0,0.0
6,2021.0,1.4989,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,5.0293,1.6028,37.0595,0.0,0.0826,0.3296,6.4737,2.1263,0.0,0.0,0.0
7,2022.0,1.4989,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,5.0293,1.6028,37.0595,0.0,0.0826,0.3296,6.4737,2.1263,0.0,0.0,0.0
8,2023.0,1.0238,0.0,0.0,0.0,1.2932,0.0,0.0,0.0,0.0,3.7885,1.6028,47.3655,69.7767,0.0408,0.2054,5.5014,1.5369,0.0,0.0,0.0
9,2024.0,1.0238,0.0,0.0,0.0,1.7842,0.0,0.0,0.0,0.0,2.3551,1.6028,47.3655,69.7767,0.0408,0.2054,6.1703,1.5369,0.0,0.0,0.0
10,2025.0,1.0238,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,2.6379,1.6028,47.3655,69.7767,0.0408,0.2054,6.1967,1.5369,0.0,0.0,0.0
11,2026.0,1.285,0.0,0.0,0.0,1.9129,0.0,0.0,0.0,0.0,4.0881,1.6028,47.3655,69.7767,0.053,0.2382,6.4737,2.1263,0.0,0.0,0.0
12,2027.0,1.0238,0.0,12.9513,0.0,1.9129,0.0,0.0,0.0,0.0,2.1799,1.6028,46.9151,69.7767,0.053,0.2382,6.4737,2.1263,0.0,0.0,0.0
13,2028.0,1.0238,0.0,12.9513,0.0,1.9129,0.0,0.0,0.0,0.0,4.3371,1.6028,47.3655,69.7767,0.053,0.2382,6.4737,2.1263,0.0,0.0,0.0
14,2029.0,0.8047,0.0,12.9513,0.0,1.6312,0.0,0.0,26.6789,0.0,2.0656,1.6028,43.4969,69.7767,0.0341,0.1835,6.4737,2.1263,0.0,0.0,0.0
15,2030.0,1.0238,0.0,12.9513,0.0,1.6312,0.0,0.0,26.6789,0.0,2.1799,1.6028,47.3256,69.7767,0.0408,0.2382,6.4737,2.1263,0.0,0.0,0.0
16,2031.0,1.0238,0.0,12.9513,0.0,1.6755,0.0,0.0,26.6495,0.0,5.0293,1.6028,47.3655,69.7767,0.053,0.2382,6.4737,2.1263,0.0,0.0,0.0
17,2032.0,1.4989,0.0,12.9513,0.0,1.9129,0.0,0.0,26.6789,0.0,3.7885,1.6028,46.8131,69.7767,0.053,0.2382,6.4737,2.1263,0.0,14.9796,0.0
18,2033.0,1.4989,0.0,12.9513,0.0,1.9129,0.0,0.0,26.6789,8.2388,2.2409,1.6028,47.3655,69.7767,0.053,0.2382,6.4737,2.1263,0.0,14.9796,0.0
19,2034.0,1.0238,0.0,12.4555,0.0,1.6312,0.0,0.0,26.6789,8.2388,5.0293,1.6028,47.3655,69.7767,0.053,0.2382,5.7525,2.1263,0.0,14.9796,0.0
20,2035.0,1.4989,0.0,12.9513,0.0,1.9129,0.0,0.0,26.6789,8.2388,5.0293,1.6028,46.7257,69.7767,0.0826,0.3296,6.4737,2.1263,0.0,14.9796,0.0
21,2036.0,1.0238,0.0,12.9513,0.0,1.9129,6.1456,0.0,26.6789,7.5156,5.0293,1.6028,47.3655,69.7767,0.053,0.2382,4.6788,2.1263,0.0,14.9796,0.0
22,2037.0,1.3166,0.0,12.9513,0.0,1.9129,6.1456,0.0,26.6789,8.2388,2.4645,1.6028,47.3655,69.7767,0.053,0.2382,6.4737,2.1263,0.0,14.9796,0.0
23,2038.0,1.0238,0.0,12.9513,0.0,1.6755,5.3314,0.0,26.6789,8.2388,5.0293,1.6028,47.3655,69.7767,0.053,0.2382,6.4737,2.1263,0.0,14.9796,0.0
24,2039.0,1.3166,0.0,12.9513,0.0,1.9129,6.1456,0.0,26.6789,8.2388,5.0293,1.6028,47.3655,69.7767,0.0515,0.2382,5.1686,2.1263,0.0,14.9796,0.0
25,2040.0,1.4989,0.0,12.9513,0.0,1.9129,6.1456,0.0,26.6789,8.2388,5.0293,1.6028,47.1567,69.7767,0.0826,0.3296,6.4737,2.1263,0.0,14.9796,0.0
26,2041.0,1.3166,0.0,12.4852,0.0,1.9129,6.1456,0.0,26.6789,8.2388,5.0293,1.6028,47.3655,69.7767,0.0515,0.2382,3.6285,2.1263,0.0,14.9796,0.0
27,2042.0,1.1036,0.0,12.9513,0.0,1.9129,6.1456,0.0,26.6789,6.4079,5.0293,1.6028,47.3655,69.7767,0.0515,0.2382,3.6285,1.8894,0.0,14.9796,0.0
28,2043.0,1.4989,0.0,12.9513,0.0,1.9129,6.1456,0.0,23.7642,8.2388,5.0293,1.6028,43.4882,69.7767,0.0826,0.3296,6.4737,2.1263,0.0,14.9796,0.0
29,2044.0,1.1036,0.0,12.9513,0.0,1.7489,5.4479,0.0,26.6789,7.3211,3.7081,1.6028,47.3655,69.7767,0.0515,0.2382,4.6905,1.8894,0.0,12.9445,0.0
30,2045.0,1.1036,0.0,12.9513,0.0,1.4109,6.1456,3.1377,26.6789,8.2388,5.0293,1.6028,47.3655,64.5773,0.0515,0.2382,6.4737,2.1263,0.0,14.9796,0.0
31,2046.0,1.1036,0.0,12.9513,0.0,1.4109,6.1456,3.1377,26.6789,8.2388,5.0293,1.6028,47.3655,63.7286,0.0515,0.2382,6.4737,2.1263,0.0,14.9796,0.0
32,2047.0,1.1036,0.0,12.9513,0.0,1.208,6.1456,3.1377,26.6789,8.2388,5.0293,1.6028,47.3655,61.2232,0.0506,0.2382,6.1843,2.1263,0.0,14.9796,0.0
33,2048.0,0.9758,0.0,12.9513,0.0,1.7489,6.1456,3.1377,26.6789,7.8705,5.0293,1.6028,47.3655,58.3499,0.0424,0.2058,5.6018,2.1263,0.0,14.9796,0.0
34,2049.0,0.9758,0.0,12.5257,0.0,1.7489,6.0585,3.1377,26.6789,8.2388,5.0293,1.6028,47.3655,56.9163,0.0424,0.2604,5.5471,2.1263,0.0,14.9796,0.0
35,2050.0,0.9758,0.0,12.9513,0.0,1.5901,6.1456,3.1377,24.1223,8.2388,5.0293,1.6028,47.3655,57.7181,0.0424,0.2604,5.5471,2.1263,0.0,14.9796,0.0
36,2051.0,0.9758,0.0,12.9513,0.0,1.5901,6.1456,3.1377,25.794,8.2388,5.0293,1.6028,47.3655,51.6634,0.0626,0.2604,5.5471,2.1263,0.0,14.9796,0.0
37,2052.0,0.9758,0.0,12.6497,0.0,1.2521,6.1456,2.9628,24.1426,8.2388,5.0293,1.5312,47.3655,49.981,0.0626,0.2604,5.5471,2.1263,0.0,14.9796,0.0
38,2053.0,0.8191,0.0,12.9513,0.0,0.0,5.7898,2.9202,23.7642,8.2388,4.2621,1.6028,43.3233,49.236,0.0626,0.2283,5.5471,1.1283,0.0,14.31,17.0368
39,2054.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,2.9628,21.8962,8.2388,5.0293,1.6028,47.3655,45.2527,0.0424,0.2604,6.1773,1.3376,0.0,14.9796,17.6669
40,2055.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,23.7642,8.2388,5.0293,1.6028,45.9351,38.3837,0.0424,0.2604,6.1773,1.3376,0.0,14.9796,21.1242
41,2056.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,23.3338,8.2388,5.0293,1.6028,47.3655,37.4734,0.0424,0.2604,5.5471,1.3376,0.0,13.338,20.4312
42,2057.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,21.6154,8.2388,5.0293,1.6028,47.149,37.1721,0.0424,0.2058,5.5471,1.3376,0.0,13.338,19.7686
43,2058.0,0.8191,0.0,12.1794,0.0,0.0,6.1456,3.1377,19.2234,8.2388,5.0293,1.6028,46.8795,37.2482,0.0424,0.2058,5.5471,1.1283,0.0,13.338,21.1242
44,2059.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,19.0794,7.3359,3.7081,1.6028,45.0452,37.632,0.0424,0.2058,6.1773,1.4771,0.0,13.338,21.1242
45,2060.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,16.806,7.3359,4.3103,1.6028,45.1946,39.2793,0.0424,0.2058,6.1773,1.4771,0.0,11.88,21.1242
46,2061.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,17.23,8.2388,5.0293,0.6964,45.6481,39.9052,0.0424,0.2069,5.5471,1.4771,0.0,11.88,21.1242
47,2062.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,19.0975,8.2388,5.0293,0.6031,45.2393,40.6384,0.0424,0.1749,5.5471,1.4771,0.0,11.88,21.1242
48,2063.0,0.8191,0.0,12.7245,0.0,0.0,6.1456,3.1377,18.2643,8.2388,5.0293,0.9148,44.9037,41.8739,0.0424,0.1749,5.5471,1.822,0.0,11.88,21.1242
49,2064.0,0.8191,0.0,12.7245,0.0,0.0,6.1456,3.1377,20.4234,8.2388,5.0293,0.9587,45.3658,42.5725,0.0626,0.1749,5.5471,1.822,0.0,11.88,21.1242
50,2065.0,0.8191,0.0,12.9513,0.0,0.0,6.1456,3.1377,21.1729,8.2388,5.0293,0.9587,42.8909,42.7529,0.0626,0.1749,5.5471,1.822,0.0,11.88,21.1242
51,2066.0,1.3166,0.0,12.9513,2.8842,0.0,5.2705,2.6225,23.7642,6.5192,3.7885,0.9158,38.7323,54.8171,0.0635,0.2289,5.127,1.6863,0.0,10.881,21.1242
52,2067.0,0.9758,0.0,12.9513,3.1778,0.0,6.1456,2.8492,23.7642,6.534,3.7081,0.333,45.2482,66.5756,0.0772,0.2394,5.1223,2.0312,0.0,9.423,19.1327
53,2068.0,1.1036,5.4909,12.7245,3.6679,0.0,6.1456,3.1377,26.6789,6.534,5.0293,0.333,42.1748,63.0815,0.0626,0.2934,6.4737,2.1263,4.6818,14.9796,21.1242
54,2069.0,1.3166,5.4909,12.9513,2.8842,0.0,6.1456,2.2824,26.6789,8.2388,5.0293,0.4107,47.3655,69.7767,0.0626,0.2928,5.7525,1.5445,4.853,11.9971,21.1242
55,2070.0,1.4989,5.4909,12.863,4.2283,0.0,6.1456,2.8492,26.6789,8.2388,3.7081,0.2544,39.645,69.7767,0.0778,0.3296,4.072,2.1263,5.6326,14.9796,21.1242
