,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Geba,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Mandaya
15,2030.0,1.0238,8.2346,8.0724,12.9513,0.0,0.0,0.0,7.7342,16.0634,1.6343,1.6312,0.0,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,2.1799,10.1612,47.3256,0.0,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.0408,0.0,6.4737,0.0,0.2382,2.1263,2.6115,0.0
16,2031.0,1.0238,8.2346,8.0724,12.9513,0.0,0.0,0.0,7.7342,16.0634,1.6343,1.6755,0.0,0.0,52.7513,0.3989,10.4374,26.6495,0.1605,5.0293,10.2788,47.3655,0.0,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.053,0.0,6.4737,0.0,0.2382,2.1263,2.6115,0.0
17,2032.0,1.4989,8.2346,8.0724,12.9513,0.0,0.0,0.0,7.7342,16.0634,1.6343,1.9129,0.0,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,3.7885,10.2788,46.8131,0.0,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.053,14.9796,6.4737,0.0,0.2382,2.1263,2.6115,0.0
18,2033.0,1.4989,8.2346,8.0724,12.9513,0.0,0.0,0.0,7.7342,16.0634,1.6343,1.9129,0.0,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,2.2409,10.2788,47.3655,8.2388,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.053,14.9796,6.4737,0.0,0.2382,2.1263,2.6115,0.0
19,2034.0,1.0238,8.2346,8.0724,12.4555,0.0,0.0,0.0,7.7342,16.0634,1.6343,1.6312,0.0,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,5.0293,10.2788,47.3655,8.2388,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.053,14.9796,5.7525,0.0,0.2382,2.1263,2.6115,0.0
20,2035.0,1.4989,8.2346,8.0724,12.9513,0.0,0.0,0.0,7.7342,16.0634,1.6343,1.9129,0.0,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,5.0293,10.2788,46.7257,8.2388,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.0826,14.9796,6.4737,0.0,0.3296,2.1263,2.6115,0.0
21,2036.0,1.0238,8.2346,8.0724,12.9513,10.7154,0.0,0.0,7.7342,16.0634,1.6343,1.9129,6.1456,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,5.0293,7.6271,47.3655,7.5156,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.053,14.9796,4.6788,0.0,0.2382,2.1263,2.6115,0.0
22,2037.0,1.3166,8.2346,8.0724,12.9513,14.2677,0.0,0.0,7.7342,16.0634,1.6343,1.9129,6.1456,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,2.4645,5.2597,47.3655,8.2388,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.053,14.9796,6.4737,0.0,0.2382,2.1263,2.6115,0.0
23,2038.0,1.0238,8.2346,8.0724,12.9513,13.1089,0.0,0.0,7.7342,16.0634,1.6343,1.6755,5.3314,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,5.0293,7.5304,47.3655,8.2388,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.053,14.9796,6.4737,0.0,0.2382,2.1263,2.6115,0.0
24,2039.0,1.3166,8.2346,8.0724,12.9513,11.8522,0.0,0.0,7.7342,16.0634,1.6343,1.9129,6.1456,0.0,52.7513,0.3989,10.4374,26.6789,0.1605,5.0293,9.8134,47.3655,8.2388,1.6028,23.7739,1.5014,0.8497,69.7767,3.1049,5.3311,0.299,11.0575,0.0515,14.9796,5.1686,0.0,0.2382,2.1263,2.6115,0.0
