,y,Coal extraction (mining),Coal imports (inland transport-maritime freight)
0,2015,10.9308,11.1619
1,2016,10.2901,12.0038
2,2017,13.383,11.2682
3,2018,13.4167,10.5327
4,2019,14.7703,9.7972
5,2020,15.7347,9.0616
6,2021,15.9298,11.6838
7,2022,16.1283,15.0638
8,2023,16.3303,19.4203
9,2024,16.5357,32.6617
10,2025,220.963,39.8958
11,2026,91.5866,383.99609999999996
12,2027,0.0,484.30809999999997
13,2028,0.0,499.9303
14,2029,0.0,519.9772
15,2030,0.0,545.7131
16,2031,0.0,550.8334
17,2032,0.0,556.1728
18,2033,0.0,561.7372
19,2034,0.0,567.5341
20,2035,0.0,643.6143999999999
21,2036,0.0,718.5567
22,2037,0.0,794.6851
23,2038,0.0,892.9418
24,2039,0.0,968.7076000000001
25,2040,0.0,1068.5651
26,2041,0.0,1171.992
27,2042,0.0,1207.0527
28,2043,0.0,1238.4597999999999
29,2044,0.0,1288.257
30,2045,0.0,1327.0858
31,2046,0.0,1331.8229
32,2047,0.0,1333.3673000000001
33,2048,0.0,1624.4886000000001
34,2049,0.0,1673.6253000000002
35,2050,0.0,1745.6492
36,2051,0.0,1780.2857
37,2052,0.0,1815.0882
38,2053,0.0,1845.5010000000002
39,2054,0.0,1877.7498999999998
40,2055,0.0,1776.5375
41,2056,0.0,1675.4488000000001
42,2057,0.0,1772.9875
43,2058,0.0,1940.4222
44,2059,0.0,2064.2153
45,2060,0.0,2171.4161
46,2061,0.0,2206.977
47,2062,0.0,2245.2975
48,2063,0.0,2282.8186
49,2064,0.0,2321.3605000000002
50,2065,0.0,2354.4751
51,2066,0.0,2380.6639999999998
52,2067,0.0,2403.2859
53,2068,0.0,2421.4888
54,2069,0.0,2454.6360999999997
55,2070,0.0,2481.5859
