,y,Amarti-Neshe,Birbir,Baro,Chemoga Yeda,Finchaa,Geba,Genji,Karadobi,Lower Dedessa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2,Tams,Upper Mandaya
0,2015.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,0.604,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
1,2016.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,0.604,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
2,2017.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,2.474,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
3,2018.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,2.474,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
4,2019.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,2.474,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
5,2020.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,2.474,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
6,2021.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,2.474,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
7,2022.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,2.474,0.0,0.005,0.011,0.3,0.078,0.0,0.0,0.0
8,2023.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
9,2024.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
10,2025.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
11,2026.0,0.098,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
12,2027.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
13,2028.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
14,2029.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,1.6,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
15,2030.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,1.6,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
16,2031.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,1.6,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,0.0,0.0
17,2032.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,1.6,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,1.0,0.0
18,2033.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,1.6,0.55,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,1.0,0.0
19,2034.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,1.6,0.55,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,1.0,0.0
20,2035.0,0.098,0.0,0.645,0.0,0.128,0.0,0.0,1.6,0.55,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,1.0,0.0
21,2036.0,0.098,0.0,0.645,0.0,0.128,0.372,0.0,1.6,0.55,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0,1.0,0.0
