,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),New Assiut Barrage,Light Fuel Oil power plant - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),CSP (without storage),CSP (with storage),Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
0,2015.0,0.0,0.0,0.0,1.0,0.0,0.35,0.6,0.0,0.25,1.95,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.24,0.0
1,2016.0,0.25,0.0,1.0,0.0,0.0,0.522,0.0,0.0,0.5,0.65,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.2,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.03174,0.0,0.0,9.6,4.8,1.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.34,0.0
4,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000875,0.0,0.0,0.0,0.0
5,2021.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
6,2022.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
7,2023.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.3,0.25,0.2000000000000001,0.20000000000000015,0.25,0.25
8,2024.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.25,0.049999999999999954,0.050000000000000204,0.25,0.25
9,2025.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05000000000000038,0.05000000000000015,0.25,0.0
10,2026.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24183355775485132,0.05000000000000009,0.05000000000000045,0.25,0.0
11,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000495,0.04999999999999991,0.25,0.0
12,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000064,0.04999999999999911,0.25,0.0
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999976,0.023239306238498972,0.25,0.0
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000044,0.0,0.25,0.0
15,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000094,0.12221188221851559,0.5,0.0
16,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000049,0.054548811542985985,0.5,0.0
17,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022435198031178778,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000087,0.05000000000000156,0.5,0.0
18,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4264539334129123,0.5851679078086444,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000088,0.05000000000000134,0.5,0.0
19,2035.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.028223162458760262,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000114,0.0499999999999998,0.5,0.0
20,2036.0,0.0,1.0,0.0,0.0,0.0,0.0,0.32172526254150285,0.5068358387325164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000166,0.05000000000000239,0.5,0.0
21,2037.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7714508918725402,0.0,0.16205402061169208,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.050000000000001044,0.05000000000000394,0.5,0.0
22,2038.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592875238902497,0.0,0.0,0.0,0.0,0.0,0.30000000000000054,0.5,0.05000000000000125,0.050000000000001085,0.5,0.0
23,2039.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5906858128897969,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.04999999999998994,0.05000000000000111,0.5,0.0
24,2040.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.44815093927571187,0.0,0.0,0.0,0.0,0.3,0.5,0.05000000000000007,0.04999999999999938,0.5,0.0
25,2041.0,0.0,1.5000000000000187,0.0,0.0,0.0,0.0,1.5,0.6397870313636536,0.0,0.08025760483029387,0.0,0.0,0.0,0.0,0.6,0.75,0.0500000000000001,0.05000000000000425,0.75,0.0
