,y,Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Libya - Egypt Historic EL trade link
0,2015.0,-8.9878,0.0,5.5894,-5.0931
1,2016.0,-8.9878,0.0,0.9138,-5.0931
2,2017.0,-8.9878,0.0,9.2142,-5.0931
3,2018.0,-8.9878,0.0,7.2046,-5.0931
4,2019.0,-8.9878,0.0,3.773,-5.0931
5,2020.0,-8.9878,0.0,3.8945,-5.0931
6,2021.0,-8.9878,0.0,4.1605,-5.0931
7,2022.0,-8.9878,0.0,-0.3756,-5.0931
8,2023.0,-8.9878,0.0,11.9837,-5.0931
9,2024.0,-8.9878,-89.8776,31.7027,-5.0931
10,2025.0,-8.9878,-89.8776,18.5639,-5.0931
11,2026.0,-8.9878,-89.8776,7.4933,-5.0931
12,2027.0,-8.9878,-89.8776,3.9240000000000004,-5.0931
13,2028.0,-8.9878,-89.8776,6.354,-5.0931
14,2029.0,-8.9878,-89.8776,-0.6955,-5.0931
15,2030.0,-8.9878,-89.8776,16.4705,-5.0931
16,2031.0,-8.9878,-89.8776,8.5641,-5.0931
17,2032.0,-8.9878,-89.8776,11.8454,-5.0931
18,2033.0,-8.9878,-89.8776,11.7673,-5.0931
19,2034.0,-8.9878,-89.8776,11.7114,-5.0931
20,2035.0,-8.9878,-89.8776,11.0661,-5.0931
21,2036.0,-8.9878,-89.8776,11.1413,-5.0931
22,2037.0,-8.9878,-89.8776,11.2961,-5.0931
23,2038.0,-8.9878,-89.8776,11.7787,-5.0931
24,2039.0,-8.9878,-89.8776,11.4903,-5.0931
25,2040.0,-8.9878,-89.8776,19.758,-5.0931
26,2041.0,-8.9878,-89.8776,20.3736,-5.0931
27,2042.0,-8.9878,-89.8776,19.2142,-5.0931
28,2043.0,-8.9878,-89.8776,19.6385,-5.0931
29,2044.0,-8.9878,-89.8776,19.135,-5.0931
30,2045.0,-8.9878,-89.8776,14.872100000000001,-5.0931
31,2046.0,-8.9878,-89.8776,5.797700000000001,-5.0931
32,2047.0,-8.9878,-89.8776,3.0685000000000002,-5.0931
33,2048.0,-8.9878,-84.6986,93.2047,-5.0931
34,2049.0,-8.9878,-89.8776,82.9551,-5.0931
35,2050.0,-8.9878,-89.8776,78.4226,-5.0931
36,2051.0,-8.9878,-89.8776,75.7138,-5.0931
37,2052.0,-8.9878,-89.8776,72.8125,-5.0931
38,2053.0,-8.9878,-89.8776,69.6328,-5.0931
39,2054.0,-8.9878,-89.8776,66.2364,-5.0931
40,2055.0,-8.9878,-89.8776,71.0704,-5.0931
41,2056.0,-8.9878,-89.8776,67.6163,-5.0931
42,2057.0,-8.9878,-89.8776,89.2053,-5.0931
43,2058.0,-8.9878,-89.8776,118.8914,-5.0931
44,2059.0,-8.9878,-89.8776,116.4355,-5.0931
45,2060.0,-8.9878,-89.8776,110.266,-5.0931
46,2061.0,-8.9878,-89.8776,111.3988,-5.0931
47,2062.0,-8.9878,-89.8776,109.29,-5.0931
48,2063.0,-8.9878,-89.8776,107.1269,-5.0931
49,2064.0,-8.9878,-89.8776,105.394,-5.0931
50,2065.0,-8.9878,-89.8776,105.99600000000001,-5.0931
51,2066.0,-8.9878,-89.8776,108.5513,-5.0931
52,2067.0,-8.9878,-89.8776,111.8258,-5.0931
53,2068.0,-8.9878,-89.8776,109.8497,-5.0931
54,2069.0,-8.9878,-89.8776,107.8309,-5.0931
55,2070.0,-8.9878,-89.8776,97.2156,-5.0931
