,y,Solar PV (roof top),Solar PV with storage
0,2050.0,0.612,0.0
1,2051.0,0.612,1.3413
2,2052.0,0.6334,2.7087
3,2053.0,1.5026,3.3543
4,2054.0,2.4008,4.0216
5,2055.0,3.3291,4.7112
6,2056.0,4.2883,5.4238
7,2057.0,5.8039,5.6844
8,2058.0,7.4982,5.8372
9,2059.0,9.2485,5.9951
10,2060.0,11.1742,6.0338
11,2061.0,12.5726,6.0338
12,2062.0,14.0017,6.0338
13,2063.0,14.0017,7.5818
14,2064.0,14.0017,9.1641
15,2065.0,15.5276,9.1641
16,2066.0,17.0873,9.1641
17,2067.0,18.6816,9.1641
18,2068.0,20.3114,9.1641
19,2069.0,21.9776,9.1641
20,2070.0,23.6812,9.1641
