,y,Backstop,Biofuel and Biomass production,Biomass,Biomass exports,Coal,Coal Production,Coal exports,Crude Oil production,Crude oil Refinery,Crude oil exports,Gas,Geothermal,HFO exports,Hydro,LFO exports,Natural gas extraction,Nuclear,Oil,Solar CSP,Solar FPV,Solar PV,Transmission & Distribution,Uranium extraction,Wind
0,2015.0,0.0,0.0,229.84,0.0,0.0,0.16,0.0,135.12,73.71,0.0,4934.32,0.0,0.0,12296.869999999999,0.0,1.38,0.0,660.45,0.0,0.0,0.0,0.0,0.0,0.01
1,2016.0,0.0,0.0,375.65,0.0,0.0,0.15,0.0,113.84,72.35,0.0,5060.65,0.0,0.0,12296.869999999999,0.0,1.39,0.0,274.68,0.0,0.0,0.0,0.0,0.0,0.01
2,2017.0,0.0,0.0,303.07,0.0,0.0,0.2,0.0,119.76999999999998,70.91,0.0,5250.13,0.0,0.0,13130.04,0.0,1.42,0.0,260.95,0.0,0.0,0.0,0.0,0.0,0.01
3,2018.0,0.0,0.0,358.19,0.0,0.0,0.2,0.0,132.09,71.36,0.0,4888.85,0.0,0.0,13311.45,0.0,1.45,0.0,258.90000000000003,0.0,0.0,0.0,0.0,0.0,0.02
4,2019.0,0.0,0.0,375.65,0.0,0.0,0.22,0.0,126.74000000000001,70.24,0.0,4893.45,0.0,0.0,13311.45,0.0,1.68,0.0,262.39000000000004,0.0,0.0,0.0,0.0,0.0,0.02
5,2020.0,0.0,0.0,375.65,0.0,0.0,0.23,0.0,105.8,69.14,0.0,5701.74,0.06,0.0,13311.45,0.0,1.77,0.0,257.95,0.0,0.0,0.01,0.0,0.0,0.02
6,2021.0,0.0,0.0,422.47,0.0,0.0,0.23,0.0,107.14999999999999,70.58000000000001,0.0,5706.08,0.15,0.0,13311.45,0.0,1.78,0.0,245.20000000000002,0.0,0.0,0.02,0.0,0.0,0.02
7,2022.0,0.0,0.0,469.31,0.0,0.0,0.24,0.0,108.49,72.01,0.0,5650.750000000001,0.2,0.0,13311.45,0.0,1.8,0.0,232.84,0.0,0.0,0.03,0.0,0.0,0.02
8,2023.0,0.0,0.0,484.06999999999994,0.0,0.0,0.24,0.0,109.83,73.46000000000001,0.0,5299.29,0.3,0.0,15111.02,0.0,1.72,0.0,244.48,0.0,0.0,0.06,0.0,0.0,0.04
9,2024.0,0.0,0.0,532.79,0.0,84.73,0.24,0.0,111.17,75.14,0.0,5539.4800000000005,0.48,0.0,16332.67,0.0,1.79,0.0,242.43,0.18,0.0,0.08,0.0,0.0,0.04
10,2025.0,0.0,0.0,475.16,0.0,2364.4900000000002,3.25,0.0,112.67,89.46000000000001,0.0,5241.0,0.63,0.0,17395.59,0.0,2.17,0.0,198.66000000000003,0.18,0.0,0.09,0.0,0.0,0.04
11,2026.0,0.0,0.0,470.3,0.0,4644.25,1.35,0.0,112.82,90.51,0.0,4716.99,0.68,0.0,17470.809999999998,0.0,2.12,0.0,180.58,0.18,0.0,0.1,0.0,0.0,0.05
12,2027.0,0.0,0.0,455.94000000000005,0.0,4644.25,0.0,0.0,103.85,83.7,0.0,4736.4800000000005,0.73,0.0,17727.89,0.0,2.14,0.0,167.68,0.18,0.0,0.12,0.0,0.0,0.05
13,2028.0,0.0,0.0,450.03000000000003,0.0,4644.25,0.0,0.0,94.86999999999999,76.93,0.0,4756.909999999999,0.73,0.0,18525.850000000002,0.0,2.16,0.0,154.76,0.18,0.0,0.12,0.0,0.0,0.05
14,2029.0,0.0,0.0,431.46000000000004,0.0,4644.25,0.0,0.0,85.89,70.17,0.0,4767.709999999999,0.73,0.0,19007.58,0.0,1.75,0.0,141.88,0.18,0.0,0.12,0.0,0.0,0.06
15,2030.0,0.0,0.0,427.13,0.0,4644.25,0.0,0.0,54.43,51.989999999999995,0.0,4665.53,0.73,0.0,21124.38,0.0,1.76,0.0,128.97,0.18,0.0,0.12,0.0,0.0,0.06
16,2031.0,0.0,0.0,419.63,0.0,4644.25,0.0,0.0,0.0,16.990000000000002,0.0,4757.66,0.73,0.0,21197.06,0.0,1.81,0.0,116.08,0.18,0.0,0.2,0.0,0.0,0.07
17,2032.0,0.0,0.0,409.5,0.0,4644.25,0.0,0.0,0.0,17.1,0.0,5061.65,0.73,0.0,21526.760000000002,0.0,1.85,0.0,103.21,0.18,0.0,0.28,0.0,0.0,0.07
18,2033.0,0.0,0.0,399.37,0.0,4644.25,0.0,0.0,0.0,17.220000000000002,0.0,5174.85,0.73,0.0,21698.24,0.0,1.87,0.0,373.81000000000006,0.18,0.0,0.43,0.0,0.0,0.08
19,2034.0,0.0,0.0,389.23,0.0,4644.25,0.0,0.0,0.0,17.35,0.0,5329.22,0.73,0.0,21717.54,0.0,1.92,0.0,537.0799999999999,0.18,0.0,0.6,0.0,0.0,0.09
20,2035.0,0.0,0.0,379.1,0.0,5404.169999999999,0.0,0.0,0.0,18.060000000000002,0.0,5432.3099999999995,0.75,0.0,21751.97,0.0,1.94,0.0,576.75,0.18,0.0,0.68,0.0,0.0,0.09
21,2036.0,0.0,0.0,379.1,0.0,6164.089999999999,0.0,0.0,0.0,18.610000000000003,0.0,5596.990000000001,0.8800000000000001,0.0,22088.62,0.0,1.95,0.0,558.14,0.18,0.0,0.84,0.0,0.0,0.1
22,2037.0,0.0,0.0,379.1,0.0,6934.28,0.0,0.0,0.0,19.17,0.0,5790.430000000001,1.0,0.0,22131.13,0.0,1.43,0.0,539.68,0.18,0.0,0.99,0.0,0.0,0.11
23,2038.0,0.0,0.0,379.1,0.0,7947.25,0.0,0.0,0.0,24.52,0.0,5847.499999999999,1.06,0.0,22194.469999999998,0.0,1.44,0.0,521.48,0.18,0.0,1.1600000000000001,0.0,0.0,0.11
24,2039.0,0.0,0.0,379.1,0.0,8707.17,0.0,0.0,0.0,25.11,0.0,5619.27,1.19,0.0,22227.14,0.0,1.45,0.0,503.26,0.18,0.0,1.33,0.0,0.0,0.12
25,2040.0,0.0,0.0,379.1,0.0,9731.37,0.0,0.0,0.0,25.720000000000002,0.0,5528.0199999999995,1.31,0.0,22290.36,0.0,1.33,0.0,214.43,0.18,0.0,1.5100000000000002,0.0,0.0,0.12
26,2041.0,0.0,0.0,379.1,0.0,10871.25,0.0,0.0,0.0,26.200000000000003,0.0,5425.12,1.3699999999999999,0.0,22227.66,0.0,1.03,0.0,0.0,0.18,0.0,1.7499999999999998,0.0,0.0,0.13
27,2042.0,0.0,0.0,379.1,0.0,11251.21,0.0,0.0,0.0,26.69,0.0,5702.13,1.3699999999999999,0.0,22175.61,0.0,0.01,0.0,0.0,0.18,0.0,1.9999999999999998,0.0,0.0,0.14
28,2043.0,0.0,0.0,379.1,0.0,11590.09,0.0,0.0,0.0,27.200000000000003,0.0,5868.8099999999995,1.3699999999999999,0.0,22158.18,0.0,0.01,0.0,0.0,0.18,0.0,2.26,0.0,0.0,0.15
29,2044.0,0.0,0.0,379.1,0.0,12132.74,0.0,0.0,0.0,27.71,0.0,6057.099999999999,1.38,0.0,22129.670000000002,0.0,0.02,0.0,0.0,0.18,0.0,2.46,0.0,0.0,0.16
30,2045.0,0.0,0.0,379.1,0.0,12552.960000000001,0.0,0.0,0.0,28.23,0.0,6289.04,1.35,0.0,22238.36,0.0,0.02,0.0,0.0,0.18,0.0,2.66,0.0,0.0,0.17
31,2046.0,0.0,0.0,379.1,0.0,12593.86,0.0,0.0,0.0,28.77,0.0,6675.58,1.42,0.0,21926.710000000003,0.0,0.02,0.0,0.0,0.18,0.0,2.88,0.0,0.0,0.17
32,2047.0,0.0,0.0,379.1,0.0,12598.66,0.0,0.0,0.0,29.310000000000002,0.0,6925.84,1.52,0.0,21855.74,0.0,0.02,0.0,0.0,0.18,0.0,3.11,0.0,0.0,0.18
33,2048.0,0.0,0.0,379.1,0.0,15819.67,0.0,0.0,0.0,29.87,0.0,6878.89,1.5899999999999999,0.0,21774.02,0.0,0.02,0.0,0.0,0.18,0.0,3.42,0.0,0.0,0.18
34,2049.0,0.0,0.0,379.1,0.0,16351.79,0.0,0.0,0.0,30.450000000000003,0.0,7112.82,1.6199999999999999,0.0,21736.66,0.0,0.02,0.0,0.0,0.0,0.0,3.6300000000000003,0.0,0.0,0.18
35,2050.0,0.0,0.0,379.1,0.0,16733.02,0.0,0.0,0.0,31.03,0.0,7338.88,1.67,0.0,21703.49,0.0,0.01,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.19
36,2051.0,0.0,0.0,379.1,0.0,17112.95,0.0,0.0,0.0,31.490000000000002,0.0,7608.37,1.67,0.0,21600.210000000003,0.0,0.01,0.0,0.0,0.0,0.0,4.1499999999999995,0.0,0.0,0.2
37,2052.0,0.0,0.0,379.1,0.0,17492.88,0.0,0.0,0.0,31.970000000000002,0.0,7871.46,1.67,0.0,21500.31,0.0,0.01,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.21
38,2053.0,0.0,0.0,379.1,0.0,17870.64,0.0,0.0,0.0,32.44,0.0,8168.01,1.67,0.0,21689.000000000004,0.0,0.01,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.21
39,2054.0,0.0,0.0,379.1,0.0,18168.03,0.0,0.0,0.0,32.93,0.0,8483.08,1.67,0.0,21724.680000000004,0.0,0.01,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.22
40,2055.0,0.0,0.0,379.1,0.0,17028.14,0.0,0.0,0.0,28.65,0.0,9148.33,1.7999999999999998,0.0,21658.420000000002,0.0,0.01,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.23
41,2056.0,0.0,0.0,233.3,0.0,15888.25,0.0,0.0,0.0,29.15,0.0,9932.72,1.93,0.0,21590.360000000004,0.0,0.01,0.0,0.0,0.0,0.0,5.32,0.0,0.0,0.23
42,2057.0,0.0,0.0,233.3,0.0,16953.46,0.0,0.0,0.0,29.66,0.0,10062.43,2.05,0.0,21520.44,0.0,0.01,0.0,0.0,0.0,0.0,5.640000000000001,0.0,0.0,0.23
43,2058.0,0.0,0.0,233.3,0.0,18789.08,0.0,0.0,0.0,30.17,0.0,10033.82,2.18,0.0,21468.110000000004,0.0,0.01,0.0,0.0,0.0,0.0,5.93,0.0,0.0,0.24
44,2059.0,0.0,0.0,233.3,0.0,20136.77,0.0,0.0,0.0,30.7,0.0,10115.96,2.31,0.0,21419.16,0.0,0.01,0.0,0.0,0.0,0.0,6.22,0.0,0.0,0.25
45,2060.0,0.0,0.0,233.3,0.0,21297.14,0.0,0.0,0.0,31.23,0.0,10343.210000000001,2.41,0.0,21359.300000000003,0.0,0.01,0.0,0.0,0.06,0.0,6.4,0.0,0.0,0.26
46,2061.0,0.0,0.0,174.97,0.0,21639.72,0.0,0.0,0.0,31.67,0.0,10719.98,2.41,0.0,21226.679999999997,0.0,0.01,0.0,0.0,0.26,0.0,6.58,0.0,0.0,0.27
47,2062.0,0.0,0.0,116.65,0.0,22012.350000000002,0.0,0.0,0.0,32.1,0.0,11162.8,2.41,0.0,21213.52,0.0,0.01,0.0,0.0,0.49,0.0,6.739999999999999,0.0,0.0,0.28
48,2063.0,0.0,0.0,58.32,0.0,22384.760000000002,0.0,0.0,0.0,32.55,0.0,11623.13,2.4800000000000004,0.0,21220.760000000002,0.0,0.01,0.0,0.0,0.75,0.0,6.89,0.0,0.0,0.28
49,2064.0,0.0,0.0,0.0,0.0,22757.02,0.0,0.0,0.0,32.99,0.0,12102.6,2.4800000000000004,0.0,21296.079999999998,0.0,0.01,0.0,0.0,1.02,0.0,7.040000000000001,0.0,0.0,0.29
50,2065.0,0.0,0.0,0.0,0.0,23064.89,0.0,0.0,0.0,33.45,0.0,12416.56,2.4600000000000004,0.0,21259.43,0.0,0.01,0.0,0.0,1.72,0.0,7.26,0.0,0.0,0.3
51,2066.0,0.0,0.0,0.0,0.0,23308.62,0.0,0.0,0.0,33.9,0.0,12700.69,2.5300000000000002,0.0,21442.91,0.0,0.01,0.0,0.0,2.43,0.0,7.46,0.0,0.0,0.31
52,2067.0,0.0,0.0,0.0,0.0,23501.13,0.0,0.0,0.0,34.36,0.0,12961.88,2.6400000000000006,0.0,21806.43,0.0,0.01,0.0,0.0,3.14,0.0,7.67,0.0,0.0,0.34
53,2068.0,0.0,0.0,0.0,0.0,23693.47,0.0,0.0,0.0,34.83,0.0,13481.57,2.8000000000000003,0.0,22303.95,0.0,0.01,0.0,0.0,3.46,0.0,7.790000000000001,0.0,0.0,0.35
54,2069.0,0.0,0.0,0.0,0.0,24029.32,0.0,0.0,0.0,35.3,0.0,14053.369999999999,2.93,0.0,22615.72,0.0,0.01,0.0,0.0,3.53,0.0,8.0,0.0,0.0,0.37
55,2070.0,0.0,0.0,0.0,0.0,24257.659999999996,0.0,0.0,0.0,35.78,0.0,14510.66,2.91,0.0,22295.89,0.0,0.01,0.0,0.0,4.49,0.0,8.25,0.0,0.0,0.39
