,y,Natural gas extraction
0,2020.0,10.7077
1,2021.0,11.3493
2,2022.0,12.3497
3,2023.0,13.2192
4,2024.0,0.2742
5,2025.0,0.466
6,2026.0,0.7805
7,2027.0,1.1975
8,2028.0,1.8279
9,2029.0,2.5797
10,2030.0,3.4834
11,2031.0,4.8803
12,2032.0,6.5622
13,2033.0,8.4571
14,2034.0,10.5187
15,2035.0,12.8636
16,2036.0,0.5877
17,2037.0,0.8787
18,2038.0,1.4544
19,2039.0,2.4564
20,2040.0,3.7794
21,2041.0,5.3614
22,2042.0,7.153
23,2043.0,9.3228
24,2044.0,10.8511
25,2045.0,11.3474
26,2046.0,11.8415
27,2047.0,12.3649
28,2048.0,12.9146
29,2049.0,13.506
30,2050.0,13.8857
31,2051.0,13.9251
32,2052.0,13.9636
33,2053.0,13.862
34,2054.0,13.7588
35,2055.0,13.6539
36,2056.0,13.5473
37,2057.0,13.337
38,2058.0,13.0972
39,2059.0,12.8521
40,2060.0,12.7873
41,2061.0,12.7927
42,2062.0,12.7994
43,2063.0,12.7103
44,2064.0,12.6475
45,2065.0,12.811
46,2066.0,12.9774
47,2067.0,12.9306
48,2068.0,13.0369
49,2069.0,13.1465
50,2070.0,13.3036
