,y,Amarti-Neshe FPV,Aswan 1 FPV,Aswan 2 FPV,Baro FPV,Birbir FPV,Chemoga Yeda FPV,Dagash FPV,Dal FPV,Finchaa FPV,Genji FPV,High Aswan Dam FPV,Jebel Aulia FPV,Kajbar FPV,Karadobi FPV,Kashm El Girba  FPV,Lake Tana - Beles FPV,Lower Dedessa FPV,Merowe FPV,Renaissance FPV,Sabaloka FPV,Shereik FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Atbara FPV,Upper Mandaya FPV
27,2042.0,0.0,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2043.0,0.0,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2044.0,0.0,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2045.0,0.0,0.28,0.27,0.0,0.0,0.0,0.0,0.04800000000003268,0.0,0.0,2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2046.0,0.0,0.28,0.27,0.0,0.0,0.0,0.0,0.04800000000003268,0.0,0.0,2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2047.0,0.0,0.28,0.27,0.0,0.0,0.0,0.0,0.04800000000003268,0.0,0.0,2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2048.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.1000000000000187,0.0,0.3600000000000214,0.0,0.0,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.0,0.0
34,2049.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.0,0.3600000000000214,0.0,0.0,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.0,0.0
35,2050.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.0,0.3600000000000214,0.0,0.0,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.0,0.0
36,2051.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.0,0.3600000000000214,0.0,0.0,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.0,0.0
37,2052.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.0,0.3600000000000214,0.0,0.0,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.0,0.0
38,2053.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.0,0.3600000000000214,0.0,0.0,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.0,0.0
39,2054.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,0.0,0.01,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
