,y,Coal imports (inland transport-maritime freight)
0,2040.0,25.8193
1,2041.0,25.7514
2,2042.0,21.8326
3,2043.0,21.1272
4,2044.0,21.6143
5,2045.0,21.732
6,2046.0,25.7926
7,2047.0,24.8932
8,2048.0,203.8034
9,2049.0,215.7723
10,2050.0,215.7723
11,2051.0,215.7723
12,2052.0,215.7723
13,2053.0,215.5774
14,2054.0,215.7723
15,2055.0,215.7723
16,2056.0,215.9699
17,2057.0,243.843
18,2058.0,299.8169
19,2059.0,300.2885
20,2060.0,301.4242
21,2061.0,298.7578
22,2062.0,298.091
23,2063.0,297.4071
24,2064.0,296.039
25,2065.0,291.3347
26,2066.0,277.1315
27,2067.0,260.8307
28,2068.0,258.2591
29,2069.0,256.9863
30,2070.0,244.5685
