,y,Amarti-Neshe FPV,Aswan 1 FPV,Aswan 2 FPV,Baro FPV,Birbir FPV,Chemoga Yeda FPV,Dagash FPV,Dal FPV,Finchaa FPV,Genji FPV,High Aswan Dam FPV,Jebel Aulia FPV,Kajbar FPV,Karadobi FPV,Kashm El Girba  FPV,Lake Tana - Beles FPV,Lower Dabus FPV,Lower Dedessa FPV,Merowe FPV,Mograt FPV,Renaissance FPV,Sabaloka FPV,Shereik FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Atbara FPV,Upper Mandaya FPV
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2026.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2027.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2028.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2029.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2030.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2031.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2032.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2033.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2034.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2035.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2036.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2037.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2038.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2039.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2040.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2041.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2042.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2043.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2044.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2045.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2046.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2047.0,0.0,1.9639,1.8937,0.0,0.0,0.0,0.0,0.3382,0.0,0.0,14.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2048.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.0,2.5264,0.0,0.0,0.0,0.0,0.0,8.3331,2.1957,0.0,1.3986,2.9257,0.0,0.0,0.0,0.0
34,2049.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.0,2.5264,0.0,0.0,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,0.0,0.0
35,2050.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.0,2.5264,0.0,0.0,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,0.0,0.0
36,2051.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.0,2.5264,0.0,0.0,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,0.0,0.0
37,2052.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.0,2.5264,0.0,0.0,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,0.0,0.0
38,2053.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.0,2.5264,0.0,0.0,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,0.0,0.0
39,2054.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.1258,2.5264,0.0,0.065,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,1.3794,0.0
40,2055.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.1258,2.5264,0.1749,0.065,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,1.3794,0.0
41,2056.0,0.0,1.9639,1.8937,0.0,0.0,0.0,2.1835,4.5653,0.0,0.0,14.7028,0.1258,2.5264,1.0613,0.065,0.0,0.0,0.0,8.6109,2.1957,0.0,1.3986,2.9257,0.0,0.0,1.3794,0.0
