Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,Backstop,power_trade,CCC
160.08,3.79,458.57,67.09,128.67,0.0,17.29,6.3,44.59,0.0,0.0,0.0,3.65,EG
0.0,0.34,6.71,148.81,0.0,0.0,12.97,1.88,12.41,0.7,28.04,0.0,2.4,ET
0.0,5.45,0.0,98.94,0.0,0.0,0.05,4.61,0.0,0.86,0.0,0.0,-6.05,SD
0.0,0.03,2.17,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS
