,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Biomass,Geothermal
8,2023.0,0.0,0.12,0.0,10.749,0.011,0.0,0.297,0.167,0.598
9,2024.0,0.0,0.113,0.0,10.749,0.011,0.0,0.288,0.157,0.848
10,2025.0,0.0,0.113,0.0,11.774,0.01,0.0,0.279,0.098,1.048
11,2026.0,0.0,0.106,0.0,11.774,0.01,0.0,0.271,0.088,1.048
12,2027.0,0.0,0.099,0.0,11.774,0.009,0.0,0.262,0.078,1.048
13,2028.0,0.0,0.094,0.0,11.774,0.009,0.0,0.254,0.069,1.047
14,2029.0,0.0,0.087,0.0,11.774,0.009,0.0,0.245,0.059,1.047
15,2030.0,0.0,0.08,0.87,12.324,0.008,0.0,0.237,0.049,1.158
16,2031.0,0.0,0.073,0.87,13.324,0.008,0.0,0.228,0.039,1.158
17,2032.0,0.0,0.066,0.942,13.324,0.261,0.0,0.219,0.029,1.408
18,2033.0,0.0,0.06,0.949,13.324,0.896,0.0,0.211,0.02,1.584
19,2034.0,0.0,0.052,1.012,13.324,1.45,0.0,0.202,0.01,1.805
20,2035.0,0.0,0.045,1.145,13.324,2.425,0.0,0.194,0.0,2.019
21,2036.0,0.0,0.038,1.234,13.324,3.091,0.0,0.185,0.0,2.269
22,2037.0,0.0,0.031,1.352,13.324,3.87,0.0,0.177,0.0,2.518
23,2038.0,0.0,0.024,1.474,13.324,4.767,0.0,0.168,0.0,2.768
24,2039.0,0.0,0.017,1.597,13.324,5.792,0.0,0.16,0.0,3.018
25,2040.0,0.0,0.01,1.841,13.324,7.19,0.0,0.0,0.0,3.267
26,2041.0,0.0,0.019,1.987,13.324,8.307,0.0,0.0,0.0,3.517
27,2042.0,0.0,0.019,2.134,13.324,9.531,0.0,0.0,0.0,3.766
28,2043.0,0.0,0.019,2.195,13.324,11.848,0.0,0.0,0.0,3.787
29,2044.0,0.0,0.019,2.279,13.324,14.311,0.0,0.0,0.0,3.786
30,2045.0,0.0,0.028,2.29,14.924,15.991,0.0,0.0,0.0,3.666
31,2046.0,0.0,0.031,2.471,14.924,18.991,0.0,0.0,0.0,3.496
32,2047.0,0.0,0.035,2.645,14.924,21.991,0.0,0.0,0.0,3.396
33,2048.0,0.0,0.038,2.645,14.924,25.491,0.0,0.0,0.0,3.326
34,2049.0,0.0,0.041,2.646,14.924,28.991,0.0,0.0,0.0,3.326
35,2050.0,0.0,0.072,2.646,14.924,32.491,0.0,0.0,0.0,3.235
36,2051.0,0.0,0.072,2.646,14.924,35.371,0.0,0.0,0.0,3.235
37,2052.0,0.0,0.073,2.646,14.924,38.117,0.0,0.0,0.0,3.235
38,2053.0,0.0,0.071,2.646,14.796,40.961,0.0,0.0,0.0,3.235
39,2054.0,0.0,0.071,2.646,14.796,43.906,0.0,0.0,0.0,3.235
40,2055.0,0.0,0.071,2.646,14.796,46.43,0.0,0.0,0.0,3.333
41,2056.0,0.0,0.071,2.646,14.796,49.26,0.0,0.0,0.0,3.583
42,2057.0,0.0,0.071,2.646,14.796,51.981,0.0,0.0,0.0,3.583
43,2058.0,0.0,0.07,2.646,14.796,54.583,0.0,0.0,0.0,3.656
44,2059.0,0.0,0.07,2.646,15.012,57.057,0.0,0.0,0.0,3.685
45,2060.0,0.084,0.07,1.776,15.297,59.159,2.182,0.0,0.0,3.72
46,2061.0,0.084,0.07,1.776,15.254,61.543,2.383,0.0,0.0,3.72
47,2062.0,0.084,0.07,1.704,15.254,63.819,2.889,0.0,0.0,3.72
48,2063.0,0.084,0.07,1.698,15.254,65.002,4.09,0.0,0.0,3.72
49,2064.0,0.084,0.07,1.635,15.254,66.039,5.718,0.0,0.0,3.72
50,2065.0,0.084,0.07,1.501,15.254,67.859,7.187,0.0,0.0,3.72
51,2066.0,0.084,0.061,1.412,15.254,69.886,9.006,0.0,0.0,3.72
52,2067.0,0.124,0.061,1.221,15.222,72.227,10.006,0.0,0.0,3.72
53,2068.0,0.212,0.061,1.039,15.222,74.124,10.412,0.0,0.0,3.95
54,2069.0,0.212,0.061,0.831,17.389,74.124,11.086,0.0,0.0,3.95
55,2070.0,0.212,0.052,0.576,17.389,74.925,12.553,0.0,0.0,4.2
