,y,Amarti-Neshe FPV,Birbir FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Mandaya FPV
0,2060.0,0.0,0.0,1.3658,0.0,0.0,6.3099,0.0,0.0,5.2167,0.0,0.0,0.0
1,2061.0,0.0,0.0,1.2578,0.0,0.0,7.5784,0.0,0.0,5.2167,0.0,0.0,0.0
2,2062.0,0.0,0.0,1.0699,0.0,0.0,8.8247,0.0,0.0,6.9998,0.0,0.0,0.0
3,2063.0,0.0,0.0,0.7984,0.0,0.0,10.0959,0.0,0.0,12.7827,0.0,0.0,0.0
4,2064.0,0.0,0.0,1.0699,0.0,0.0,10.0959,0.0,0.707,18.5656,0.0,1.1129,0.0
5,2065.0,0.0,0.0,0.7984,0.0,0.0,10.0959,0.0,1.3094,19.7031,0.9242,1.1129,0.0
6,2066.0,0.2628,0.0,0.7984,0.3484,0.0,8.1665,1.7231,1.3094,30.1313,0.8686,1.3975,0.0
7,2067.0,0.2628,0.0,0.7984,0.3484,0.0,8.3338,1.435,1.3094,22.3074,1.0867,1.1129,0.0
8,2068.0,0.2628,0.0,0.7984,0.3484,0.5216,7.321,1.7231,1.3094,29.9494,1.0867,1.1129,0.0
9,2069.0,0.2628,0.0,1.0699,0.3484,0.5216,8.0919,1.435,1.738,26.4223,0.9332,1.1129,2.8511
10,2070.0,0.2628,1.1759,0.7984,0.3484,0.5216,9.1047,1.435,1.6287,26.4223,1.4874,1.1129,8.666
