,y,Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link
8,2023.0,-5.3927,-5.6679,-5.9918
9,2024.0,-5.3927,-19.0364,-5.9918
10,2025.0,-3.7028,-55.7993,-5.9918
11,2026.0,-5.3927,-54.8953,-5.9918
12,2027.0,-5.3927,-51.8012,-5.9918
13,2028.0,-5.3927,-46.5894,-5.9918
14,2029.0,-5.3927,-39.0109,-5.9918
15,2030.0,-4.4039,-59.5184,-2.1002
16,2031.0,-4.7938,-59.9184,-2.9771
17,2032.0,-4.6955,-59.9184,-2.8584000000000005
18,2033.0,-4.4796,-59.9184,-2.4992
19,2034.0,-4.4651,-59.9184,-2.376
20,2035.0,-4.9306,-59.9184,-2.6245
21,2036.0,-4.8829,-59.9184,-2.7056999999999998
22,2037.0,-4.8829,-59.9184,-3.0742000000000003
23,2038.0,-4.7053,-59.9184,-3.6635
24,2039.0,-4.6177,-59.9184,-4.1908
25,2040.0,-5.2457,-59.9184,-4.1974
26,2041.0,-5.3414,-59.9184,-4.1974
27,2042.0,-5.3927,-59.9184,-4.1389
28,2043.0,-5.3927,-59.9184,-3.8713999999999995
29,2044.0,-4.8829,-59.9184,-2.6589
30,2045.0,-4.8829,-59.9184,-3.0468
31,2046.0,-4.8829,-59.9184,-2.8009000000000004
32,2047.0,-4.8829,-59.9184,-2.8009000000000004
33,2048.0,-4.8829,-59.9184,-2.8009000000000004
34,2049.0,-4.8829,-59.9184,-1.5062000000000002
35,2050.0,-4.8829,-59.5889,-0.8816999999999999
36,2051.0,-4.8829,-59.9184,-1.7523000000000002
37,2052.0,-5.0411,-59.9184,-2.1667
38,2053.0,-5.2143,-59.9184,-2.7312000000000003
39,2054.0,-5.3927,-59.9184,-3.0657
40,2055.0,-5.3927,-59.9184,-3.2981000000000003
41,2056.0,-5.3927,-59.9184,-3.9038000000000004
42,2057.0,-5.3927,-59.9184,-3.4384
43,2058.0,-5.3778,-59.9184,-3.0842
44,2059.0,-5.3656,-59.9184,-2.8757
45,2060.0,-4.8036,-59.9184,-3.6194000000000006
46,2061.0,-4.8829,-59.9184,-3.7264
47,2062.0,-4.7813,-59.9184,-3.7264
48,2063.0,-4.8829,-59.9184,-3.7264
49,2064.0,-4.8829,-59.9184,-3.4615
50,2065.0,-4.8829,-59.9184,-3.7264
51,2066.0,-4.8829,-59.9184,-3.7111
52,2067.0,-4.3956,-59.9184,-3.5078000000000005
53,2068.0,-4.6775,-59.9184,-3.1148
54,2069.0,-4.8829,-59.9184,-2.9103000000000003
55,2070.0,-4.8829,-59.9184,-2.5145
