,y,CO2
8,2023,19.0565
9,2024,20.0451
10,2025,21.7233
11,2026,23.0277
12,2027,24.5458
13,2028,26.3305
14,2029,28.4195
15,2030,32.102
16,2031,31.4852
17,2032,31.358
18,2033,31.2242
19,2034,31.1633
20,2035,31.5435
21,2036,31.616
22,2037,31.7496
23,2038,31.9175
24,2039,32.1189
25,2040,32.3469
26,2041,31.3789
27,2042,30.5219
28,2043,29.6292
29,2044,28.7289
30,2045,27.684
31,2046,27.1307
32,2047,26.6296
33,2048,25.9393
34,2049,25.173
35,2050,24.6926
36,2051,24.1801
37,2052,23.6417
38,2053,23.144
39,2054,22.6064
40,2055,22.0814
41,2056,21.4366
42,2057,20.9514
43,2058,20.4728
44,2059,20.0157
45,2060,19.3998
46,2061,18.9272
47,2062,18.3528
48,2063,18.0063
49,2064,17.6177
50,2065,17.1574
51,2066,16.5466
52,2067,16.132
53,2068,15.9675
54,2069,15.4569
55,2070,15.0846
