,y,Amarti-Neshe,Birbir,Baro,Chemoga Yeda,Finchaa,Genji,Karadobi,Lower Dedessa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor 2,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2,Tams,Upper Mandaya
8,2023.0,1.3901,0.0,0.0,0.0,1.7675,0.0,0.0,0.0,6.3945,1.6028,47.3655,13.3734,0.0,0.0714,0.3296,8.9878,2.3368,0.0,0.0,0.0
9,2024.0,1.3901,0.0,0.0,0.0,1.7675,0.0,0.0,0.0,6.3945,1.6028,47.3655,26.7468,0.0,0.0714,0.3296,8.9878,2.3368,0.0,0.0,0.0
10,2025.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,0.0,6.3945,1.6028,47.3655,40.1202,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,0.0,0.0
11,2026.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,0.0,6.3945,1.6028,43.0969,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,10.5605,0.0,0.0
12,2027.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,0.0,6.3945,1.6028,46.0327,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,0.0,0.0
13,2028.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,0.0,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,0.0,0.0
14,2029.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,0.0,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,0.0,0.0
15,2030.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,0.0,0.0
16,2031.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
17,2032.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
18,2033.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
19,2034.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
20,2035.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
21,2036.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
22,2037.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
23,2038.0,1.3901,0.0,13.6907,0.0,1.7675,0.0,0.0,8.2388,6.3945,1.6028,47.3655,53.4936,0.0,0.0714,0.3296,8.9878,2.3368,11.3845,14.9796,0.0
