,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2023.0,0.0,0.45,0.0,1979.47,0.0,0.18,0.76,0.0,0.0,0.0
1,2024.0,0.0,0.42,0.0,2296.05,0.0,0.26,0.71,0.0,0.0,0.0
2,2025.0,0.0,0.53,0.0,3206.22,0.0,0.33,0.44,0.15,12.78,0.0
3,2026.0,0.0,0.51,0.0,3402.25,0.0,0.33,0.16,0.0,13.16,0.0
4,2027.0,0.0,0.48,0.0,3491.26,0.0,0.33,0.14,0.0,13.56,0.0
5,2028.0,0.0,0.49,0.0,3522.81,0.0,0.33,0.31,0.0,13.96,0.0
6,2029.0,0.0,0.46,0.0,3522.81,0.0,0.33,0.27,0.0,13.96,0.0
7,2030.0,0.0,0.4,3.04,3717.84,0.0,0.36,0.22,0.0,13.96,0.01
8,2031.0,0.0,0.37,2.14,4072.44,0.0,0.36,0.18,0.0,13.96,0.01
9,2032.0,0.0,0.37,2.31,4072.44,0.01,0.44,0.13,0.0,14.25,0.01
10,2033.0,0.0,0.37,2.33,4072.44,0.04,0.49,0.09,0.0,14.66,0.01
11,2034.0,0.0,0.35,2.48,4072.44,0.06,0.56,0.04,0.0,14.73,0.01
12,2035.0,0.0,0.3,2.81,4072.44,0.1,0.63,0.0,0.0,14.73,0.01
13,2036.0,0.0,0.26,3.03,4072.44,0.13,0.71,0.0,0.0,14.73,0.01
14,2037.0,0.0,0.23,3.32,4072.44,0.16,0.79,0.0,0.0,14.73,0.02
15,2038.0,0.0,0.19,3.62,4072.44,0.2,0.86,0.0,0.0,14.73,0.02
16,2039.0,0.0,0.16,3.92,4072.44,0.24,0.94,0.0,0.0,14.73,0.02
17,2040.0,0.0,0.12,4.22,4072.44,0.3,1.02,0.0,0.0,14.73,0.02
18,2041.0,0.0,0.16,4.41,4072.44,0.34,1.1,0.0,0.0,14.73,0.02
19,2042.0,0.0,0.2,4.56,4072.44,0.39,1.18,0.0,0.0,14.73,0.02
20,2043.0,0.0,0.25,4.43,4072.44,0.49,1.18,0.0,0.0,14.73,0.02
21,2044.0,0.0,0.29,4.06,4072.44,0.59,1.18,0.0,0.0,14.73,0.02
22,2045.0,0.0,0.33,3.38,4417.11,0.66,1.15,0.0,0.0,14.73,0.01
23,2046.0,0.0,0.36,3.73,4453.21,0.78,1.09,0.0,0.0,14.73,0.02
24,2047.0,0.0,0.4,4.1,4481.39,0.91,1.06,0.0,0.0,14.73,0.02
25,2048.0,0.0,0.44,3.86,4457.47,1.06,1.04,0.0,0.0,14.73,0.02
26,2049.0,0.0,0.48,3.31,4427.42,1.21,1.04,0.0,0.0,14.73,0.01
27,2050.0,0.0,0.51,3.44,4427.97,1.37,1.01,0.0,0.0,14.73,0.01
28,2051.0,0.0,0.55,3.31,4350.08,1.49,1.01,0.0,0.0,14.73,0.01
29,2052.0,0.0,0.55,3.3,4293.05,1.6,1.01,0.0,0.0,14.45,0.01
30,2053.0,0.0,0.56,3.34,4188.88,1.73,1.01,0.0,0.0,14.17,0.01
31,2054.0,0.0,0.56,3.31,4086.02,1.86,1.01,0.0,0.0,13.9,0.01
32,2055.0,0.0,0.56,3.3,4003.28,1.97,1.04,0.0,0.0,13.63,0.01
33,2056.0,0.0,0.57,2.97,3831.3,2.1,1.12,0.0,0.0,13.36,0.01
34,2057.0,0.0,0.57,2.99,3786.89,2.22,1.12,0.0,0.0,13.1,0.01
35,2058.0,0.0,0.57,3.0,3737.22,2.34,1.14,0.0,0.0,12.85,0.01
36,2059.0,0.0,0.57,3.06,3754.35,2.46,1.15,0.0,0.0,12.6,0.01
37,2060.0,0.08,0.56,2.04,3642.49,2.55,1.16,0.0,0.0,11.95,0.01
38,2061.0,0.07,0.56,2.02,3554.38,2.66,1.16,0.0,0.0,11.56,0.01
39,2062.0,0.04,0.55,1.9,3467.62,2.76,1.16,0.0,0.0,11.17,0.01
40,2063.0,0.08,0.52,1.86,3461.97,2.82,1.16,0.0,0.0,10.76,0.01
41,2064.0,0.09,0.57,1.69,3471.45,2.88,1.16,0.0,0.0,10.76,0.01
42,2065.0,0.11,0.6,1.38,3543.39,2.96,1.15,0.0,0.0,10.76,0.01
43,2066.0,0.08,0.59,1.0,3440.0,3.04,1.16,0.0,0.0,10.73,0.0
44,2067.0,0.11,0.59,0.66,3991.33,3.08,1.12,0.0,0.0,10.48,0.0
45,2068.0,0.19,0.58,0.61,3831.71,3.14,1.22,0.0,0.0,10.07,0.0
46,2069.0,0.19,0.58,0.22,4337.39,3.13,1.24,0.0,0.0,10.0,0.0
47,2070.0,0.19,0.55,0.17,4494.27,3.13,1.29,0.0,0.0,9.76,0.0
