,y,CO2
0,2015,1.8822
1,2016,1.6839
2,2017,2.1383
3,2018,2.5928
4,2019,3.0472
5,2020,1.7843
6,2021,1.8237
7,2022,1.8684
8,2023,1.9297
9,2024,1.2623
10,2025,1.2741
11,2026,1.2865
12,2027,1.3009
13,2028,1.3262
14,2029,1.3588
15,2030,1.3984
16,2031,1.4532
17,2032,1.5214
18,2033,1.597
19,2034,1.6767
20,2035,1.7665
21,2036,1.8649
22,2037,1.9756
23,2038,2.0918
24,2039,1.3279
25,2040,1.3541
26,2041,1.3844
27,2042,1.4351
28,2043,1.5136
29,2044,1.6121
30,2045,1.7132
31,2046,1.7318
32,2047,1.7492
33,2048,1.77
34,2049,1.7924
35,2050,1.8151
36,2051,1.8297
37,2052,1.814
38,2053,1.8013
39,2054,1.7925
40,2055,1.6707
41,2056,1.6566
42,2057,1.6443
43,2058,1.6357
44,2059,1.6298
45,2060,1.6204
46,2061,1.6133
47,2062,1.6051
48,2063,1.5972
49,2064,1.6049
50,2065,1.6128
51,2066,1.6197
52,2067,1.6191
53,2068,1.6212
54,2069,1.6234
55,2070,1.6311
