,y,Solar PV (roof top),Solar PV with storage
0,2050.0,0.6133,0.0
1,2051.0,0.6349,0.0
2,2052.0,1.9362,0.0
3,2053.0,3.2825,0.0
4,2054.0,4.6752,0.0
5,2055.0,6.1156,0.0
6,2056.0,7.6413,0.0
7,2057.0,8.8805,0.4275
8,2058.0,10.5789,0.4275
9,2059.0,12.3349,0.4275
10,2060.0,14.1506,0.4275
11,2061.0,15.4378,0.4275
12,2062.0,16.7539,0.4275
13,2063.0,18.0883,0.4275
14,2064.0,19.3117,0.4275
15,2065.0,20.5627,0.4275
16,2066.0,21.8709,0.4275
17,2067.0,23.3424,0.4275
18,2068.0,24.8264,0.4275
19,2069.0,26.3865,0.3624
20,2070.0,27.9609,0.4275
