id;Country;Unit Name;Latitude ;Longitude;Status;Type;Reservoir area (km2);First Year;Capacity (MW);CF_H1D1;CF_H1D2;CF_S1D1;CF_S1D2;CF_H2D1;CF_H2D2;CF_S2D1;CF_S2D2;CF_H3D1;CF_H3D2;CF_S3D1;CF_S3D2;CF_H4D1;CF_H4D2;CF_S4D1;CF_S4D2
21;EGYPT;Naga Hamadi;26.05;32.25;Existing;ROR;;2010;64;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;
22;EGYPT;New Assiut Barrage;30.00;31.25;Existing;ROR;;2018;31.74;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;
42;ETHIOPIA;Sor;8.223506;35.4934144;Existing;RoR;;2014;5;0.176050862;0.176050862;;;0.971626734;0.971626734;;;0.698297604;0.698297604;;;0.053270282;0.053270282;;
24;ETHIOPIA;Tis Abay 1;11.49;37.59;Existing;ROR;;2000;11;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;
23;ETHIOPIA;Tis Abay 2;11.49;37.6;Existing;ROR;;2010;78;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;;1.000;1.000;;
29;SOUTH SUDAN;Bedden;4.562483333;31.50418333;Candidate;RoR;;2024;570;1;1;;;0.670263074;0.670263074;;;0.915257908;0.915257908;;;0.67857773;0.67857773;;
32;SOUTH SUDAN;Fula;3.954004;31.708496;Candidate;RoR;;2024;890;0.808909948;0.808909948;;;0.234683379;0.234683379;;;0.340127968;0.340127968;;;0.253638812;0.253638812;;
33;SOUTH SUDAN;Fula Small;3.670833336;31.97291667;Committed;RoR;;2025;42;0.808909948;0.808909948;;;0.234683379;0.234683379;;;0.340127968;0.340127968;;;0.253638812;0.253638812;;
30;SOUTH SUDAN;Lakki;4.128655;31.58125;Candidate;RoR;;2024;410;1;1;;;0.662219787;0.662219787;;;0.916078605;0.916078605;;;0.690546351;0.690546351;;
31;SOUTH SUDAN;Shukoli;4.036405666;31.63442767;Candidate;RoR;;2024;235;0.803466447;0.803466447;;;0.231950889;0.231950889;;;0.339396058;0.339396058;;;0.241872627;0.241872627;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Tot TEMBA all;Egypt;6124.48;MW;;;;;;;;;;;;;;;;;;;;;
;;Ethiopia;45000;;;;;;;;;;;;;;;;;;;;;;
;;Sudan;4900;;;;;;;;;;;;;;;;;;;;;;
;;South Sudan ;3100;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;tot here Nile;Egypt;12311.00;;;;;;;;;;;;;;;;;;;;;;
;;Ethiopia;9715.73516;;;;;;;;;;;;;;;;;;;;;;
;;Sudan;6905;;;;;;;;;;;;;;;;;;;;;;
;;South Sudan;1479.4;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;tot aha all;EG;2831.73516;;;;;;;;;;;;;;;;;;;;;;
;;ET;22834;;;;;;;;;;;;;;;;;;;;;;
;;SD;4142;;;;;;;;;;;;;;;;;;;;;;
;;SS;2157.4;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;tot out nile ;EG;0;;;;;;;;;;;;;;;;;;;;;;
;;ET;13118.26484;;;;;;;;;;;;;;;;;;;;;;
;;SD;0;;;;;;;;;;;;;;;;;;;;;;
;;SS;0;;;;;;;;;;;;;;;;;;;;;;
