,y,Solar PV (roof top),Solar PV with storage
0,2042.0,0.0,0.16970287113236904
1,2043.0,0.0,0.35831728130373963
2,2044.0,0.0,0.5579996638471063
3,2045.0,0.0,0.7694147149250781
4,2046.0,0.0,0.9949598229459246
5,2047.0,0.0,1.2414940251681825
6,2048.0,0.0,1.5024857739232893
7,2049.0,0.0,1.7787620449846786
8,2050.0,0.0,2.071188266623282
9,2051.0,0.0,2.2528115516329734
10,2052.0,0.0,2.440606031477108
11,2053.0,0.0,2.634745219089407
12,2054.0,0.0,2.8353987349720158
13,2055.0,0.0,3.0427516074439485
14,2056.0,0.0,3.2570092769129433
15,2057.0,0.0,3.4783894990981192
16,2058.0,0.0,3.7071138224822326
17,2059.0,0.0,3.9434077591208396
18,2060.0,0.0,4.187515918434987
19,2061.0,0.0,4.361486117032865
20,2062.0,0.0,4.539275990969526
21,2063.0,0.0,4.72098078054078
22,2064.0,0.5773082326487835,4.521298397997414
23,2065.0,1.1783563097883254,4.309883346919443
24,2066.0,1.806872751185124,4.084338238898596
25,2067.0,2.473272979629381,3.8378040366763377
26,2068.0,3.1679399179854126,3.576812287921231
27,2069.0,3.89229104547338,3.300536016859842
28,2070.0,4.634911238456812,3.016709705498329
