,y,Medium hydropower plant (Run-of river),Large hydropower plant (Dam)
0,2015.0,0.9069,0.7767
1,2016.0,0.9069,0.6249
2,2017.0,1.6948,0.7767
3,2018.0,1.8376,1.8137
4,2019.0,1.8376,2.9935
5,2020.0,1.8376,3.4267
6,2021.0,1.8376,3.4267
7,2022.0,1.8376,3.4267
8,2023.0,1.8376,3.4267
9,2024.0,1.8376,3.4267
10,2025.0,1.8376,3.4267
11,2026.0,1.8376,3.4267
12,2027.0,1.8376,3.4267
13,2028.0,1.8376,3.4267
14,2029.0,1.8376,3.4267
15,2030.0,1.8376,3.4267
16,2031.0,1.8376,3.4267
17,2032.0,1.8376,3.4267
18,2033.0,1.8376,3.4267
19,2034.0,1.8376,3.4267
20,2035.0,1.8376,3.4267
21,2036.0,1.8376,3.4267
22,2037.0,1.8376,3.4267
23,2038.0,1.8376,3.4267
24,2039.0,1.8376,3.4267
25,2040.0,1.8376,3.4267
26,2041.0,1.8376,3.4267
27,2042.0,1.8376,3.4267
28,2043.0,1.8376,3.4267
29,2044.0,1.8376,3.4267
30,2045.0,1.8376,3.4267
31,2046.0,1.8376,3.4267
32,2047.0,1.8376,3.4267
33,2048.0,1.8376,3.4267
34,2049.0,1.8376,3.4267
35,2050.0,1.8376,3.4267
36,2051.0,1.8376,3.4267
37,2052.0,1.8376,3.4267
38,2053.0,1.8376,3.4267
39,2054.0,1.8376,3.4267
40,2055.0,1.8376,3.4267
41,2056.0,1.8376,3.4267
42,2057.0,1.826,3.4267
43,2058.0,1.8376,3.225
44,2059.0,1.5467,3.4267
45,2060.0,1.5851,3.0784
46,2061.0,1.8014,2.7176
47,2062.0,1.6914,2.7176
48,2063.0,1.6634,2.7176
49,2064.0,1.6368,2.7176
50,2065.0,1.6103,2.7176
51,2066.0,1.5841,2.7176
52,2067.0,1.6665,2.7176
53,2068.0,1.5337,2.7176
54,2069.0,1.7555,2.7176
55,2070.0,1.486,2.7176
