,y,Solar PV (roof top),Solar PV with storage
0,2043.0,0.0,0.17711957982547652
1,2044.0,0.0,0.3768019623688441
2,2045.0,0.0,0.5882170134468144
3,2046.0,0.0,0.8120538853229379
4,2047.0,0.0,1.0507102244900757
5,2048.0,0.0,1.311701973245181
6,2049.0,0.0,1.5879782443065706
7,2050.0,0.0,1.880404465945175
8,2051.0,0.0,2.062027750954865
9,2052.0,0.0,2.2498222307989995
10,2053.0,0.0,2.4439614184112997
11,2054.0,0.0,2.6446149342939083
12,2055.0,0.0,2.851967806765842
13,2056.0,0.0,3.0662254762348353
14,2057.0,0.0,3.287605698420012
15,2058.0,0.0,3.5163300218041247
16,2059.0,0.0,3.752623958442732
17,2060.0,0.0,3.99673211775688
18,2061.0,0.0,4.170702316354756
19,2062.0,0.0,4.348492190291418
20,2063.0,0.5374937168624265,4.1713726104659425
21,2064.0,1.1148019495112107,3.9716902279225743
22,2065.0,1.7158500266507521,3.7602751768446043
23,2066.0,2.341807650216281,3.536438304968481
24,2067.0,2.996407392808509,3.2977819658013434
25,2068.0,3.691074331164538,3.036790217046238
26,2069.0,4.415425458652507,2.7605139459848482
27,2070.0,5.170927713540729,2.468087724346244
