,y,Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new)
0,2015.0,0.0013122400364533335,0.0,0.0
1,2020.0,0.0,0.07110034882990636,0.0
2,2021.0,0.0,0.018960026401037285,0.0
3,2022.0,0.0,0.020178039711789105,0.0
4,2023.0,0.0,0.012046786706450196,0.0
5,2029.0,0.0,0.009530675637007912,0.0
6,2030.0,0.0,0.011778368136850487,0.0
7,2031.0,0.0,0.012936021490810351,0.0
8,2032.0,0.0,0.013333942874231175,0.0
9,2033.0,0.0,0.014595400954909252,0.0
10,2034.0,0.0,0.01562200707517079,0.0
11,2035.0,0.0,0.017094099939475756,0.0
12,2036.0,0.0,0.026703209506192732,0.0
13,2037.0,0.0,0.058080761963706894,0.0
14,2038.0,0.0,0.0512151966531654,0.010617620266530951
15,2039.0,0.0,0.06671227141086565,0.0010089439599374978
16,2040.0,0.0,0.07256768542135904,0.0
17,2041.0,0.0,0.061720219476617606,0.0
18,2042.0,0.0,0.06532896072476979,0.0
19,2043.0,0.0,0.0009223564585395135,0.0
20,2050.0,0.0,0.0,0.0711003488299068
21,2051.0,0.0,0.00834912538453389,0.010610901016503376
22,2052.0,0.0,0.01007377846002516,0.010104261251763976
23,2053.0,0.0,0.0,0.012046786706450253
24,2059.0,0.0,0.0,0.009530675637007668
25,2060.0,0.0,0.0,0.011778368136850811
26,2061.0,0.0,0.01293602149080983,0.0
27,2062.0,0.0,0.01333394287423097,0.0
28,2063.0,0.0,0.02521302122144012,0.0
29,2064.0,0.0,0.01663095103510837,0.0
30,2065.0,0.0,0.01709409993947577,0.0
31,2066.0,0.0,0.026703209506192708,0.0
32,2067.0,0.0,0.058080761963706866,0.0
33,2068.0,0.0,0.05121519665316543,0.0
34,2069.0,0.0,0.06671227141086566,0.0
35,2070.0,0.0,0.07256768542135904,0.0
