,y,Geothermal power plant - MDT cooling (new),Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.06054556258807046,0.051848776075183414,0.0013122400364533335,0.0,0.0,0.0,0.0
1,2017.0,0.0,0.05259300851770757,0.0,0.0,0.0,0.0,0.0,0.0
2,2018.0,0.0,0.009536648534917098,0.08368457949758641,0.0,0.0,0.0,0.0,0.0
3,2019.0,0.0,0.0,0.09322122803250361,0.0,0.0,0.0,0.0,0.0
4,2020.0,0.0,0.0,0.0,0.0,0.07110034882990636,0.0,0.0,0.0
5,2021.0,0.0,0.0,0.0,0.0,0.018960026401037285,0.0,0.0,0.0
6,2022.0,0.0,0.0,0.0,0.0,0.020178039711789105,0.0,0.0,0.0
7,2023.0,0.0,0.0,0.0,0.0,0.012046786706450196,0.0,0.0,0.0
8,2024.0,0.036087312429008825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2025.0,0.02697472973220676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026.0,0.028742641520896096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2027.0,0.03063072961742397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2028.0,0.032643376743519435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2029.0,0.023680044038890805,0.0,0.0,0.0,0.009530675637007912,0.0,0.0,0.0
14,2030.0,0.02525234922660032,0.0,0.0,0.0,0.011778368136850487,0.0,0.0,0.0
15,2031.0,0.029891848437071624,0.0,0.0,0.0,0.012936021490810351,0.0,0.0,0.0
16,2032.0,0.030849808900747504,0.0,0.0,0.0,0.013333942874231175,0.0,0.0,0.0
17,2033.0,0.032675182960260216,0.0,0.0,0.0,0.014595400954909252,0.0,0.0,0.0
18,2034.0,0.035003303385986645,0.0,0.0,0.0,0.01562200707517079,0.0,0.0,0.0
19,2035.0,0.03709885841571964,0.0,0.0,0.0,0.017094099939475756,0.0,0.0,0.0
20,2036.0,0.03046981459166813,0.0,0.0,0.0,0.026703209506192732,0.0,0.0,0.0
21,2037.0,0.0,0.0,0.0,0.0,0.058080761963706894,0.0,0.0,0.0
22,2038.0,0.0,0.0,0.0,0.0,0.0512151966531654,0.010617620266530951,0.0,0.0
23,2039.0,0.0,0.0,0.0,0.0,0.06671227141086565,0.0010089439599374978,0.0,0.0
24,2040.0,0.0,0.0,0.0,0.0,0.07256768542135904,0.0,0.0,0.0
25,2041.0,0.0,0.0,0.0,0.0,0.061720219476617606,0.0,0.0,0.0
26,2042.0,0.0,0.0,0.0,0.0,0.06532896072476979,0.0,0.0,0.0
27,2043.0,0.0,0.0,0.0,0.0,0.0009223564585395135,0.0,0.0,0.17711957982547652
28,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1996823825433676
29,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2114150510779703
30,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22383687187612342
31,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23865633916713788
32,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609917487551053
33,2049.0,0.03608731242900885,0.0,0.0,0.0,0.0,0.0,0.0,0.27627627106138986
34,2050.0,0.026974729732206826,0.0,0.0,0.0,0.0,0.0711003488299068,0.0,0.2924262216386045
35,2051.0,0.028742641520896117,0.0,0.0,0.0,0.00834912538453389,0.010610901016503376,0.0,0.18162328500969013
36,2052.0,0.03063072961742397,0.0,0.0,0.0,0.01007377846002516,0.010104261251763976,0.0,0.18779447984413428
37,2053.0,0.03264337674351943,0.0,0.0,0.0,0.0,0.012046786706450253,0.0,0.19413918761230023
38,2054.0,0.023680044038890777,0.0,0.0,0.0,0.0,0.0,0.0,0.20065351588260869
39,2055.0,0.0252523492266003,0.0,0.0,0.0,0.0,0.0,0.0,0.20735287247193376
40,2056.0,0.0298918484370716,0.0,0.0,0.0,0.0,0.0,0.0,0.2142576694689937
41,2057.0,0.03084980890074751,0.0,0.0,0.0,0.0,0.0,0.0,0.22138022218517697
42,2058.0,0.03267518296026019,0.0,0.0,0.0,0.0,0.0,0.0,0.2287243233841125
43,2059.0,0.03500330338598666,0.0,0.0,0.0,0.0,0.009530675637007668,0.0,0.23629393663860732
44,2060.0,0.03709885841571964,0.0,0.0,0.0,0.0,0.011778368136850811,0.0,0.24410815931414767
45,2061.0,0.030469814591668917,0.0,0.0,0.0,0.01293602149080983,0.0,0.0,0.1739701985978765
46,2062.0,0.0,0.0,0.0,0.0,0.01333394287423097,0.0,0.0,0.177789873936662
47,2063.0,0.0,0.0,0.0,0.0,0.02521302122144012,0.0,0.5374937168624265,0.0
48,2064.0,0.0,0.0,0.0,0.0,0.01663095103510837,0.0,0.5773082326487842,0.0
49,2065.0,0.0,0.0,0.0,0.0,0.01709409993947577,0.0,0.6010480771395414,0.0
50,2066.0,0.0,0.0,0.0,0.0,0.026703209506192708,0.0,0.6259576235655291,0.0
51,2067.0,0.0,0.0,0.0,0.0,0.058080761963706866,0.0,0.6545997425922276,0.0
52,2068.0,0.0,0.0,0.0,0.0,0.05121519665316543,0.0,0.6946669383560291,0.0
53,2069.0,0.0,0.0,0.0,0.0,0.06671227141086566,0.0,0.7243511274879693,0.0
54,2070.0,0.0,0.0,0.0,0.0,0.07256768542135904,0.0,0.7555022548882229,0.0
