,y,Solar PV (roof top),Solar PV with storage
0,2042.0,0.0,1.4458
1,2043.0,0.0,3.0527
2,2044.0,0.0,4.754
3,2045.0,0.0,6.5552
4,2046.0,0.0,8.4767
5,2047.0,0.0,10.5771
6,2048.0,0.0,12.8007
7,2049.0,0.0,15.1545
8,2050.0,0.0,17.6458
9,2051.0,0.0,19.1932
10,2052.0,0.0,20.7931
11,2053.0,0.0,22.4471
12,2054.0,0.0,24.1566
13,2055.0,0.0,25.9232
14,2056.0,0.0,27.7486
15,2057.0,0.0,29.6347
16,2058.0,0.0,31.5834
17,2059.0,0.0,33.5822
18,2060.0,0.0,35.5561
19,2061.0,0.0,36.9629
20,2062.0,0.0,38.4005
21,2063.0,0.0,39.8698
22,2064.0,3.0979,38.3293
23,2065.0,6.3231,36.2178
24,2066.0,9.6958,33.9773
25,2067.0,13.2717,32.6229
26,2068.0,16.9994,30.2262
27,2069.0,20.8863,27.6937
28,2070.0,24.8712,25.0926
