,y,Natural gas extraction
0,2020.0,10.7077
1,2021.0,11.4523
2,2022.0,12.2438
3,2023.0,12.7763
4,2024.0,11.7305
5,2025.0,11.4513
6,2026.0,11.1566
7,2027.0,10.8456
8,2028.0,10.517
9,2029.0,10.1569
10,2030.0,9.7737
11,2031.0,9.3286
12,2032.0,8.872
13,2033.0,8.3869
14,2034.0,9.293
15,2035.0,11.2651
16,2036.0,13.3735
17,2037.0,15.6272
18,2038.0,18.0801
19,2039.0,20.6584
20,2040.0,23.4142
21,2041.0,25.7885
22,2042.0,25.6896
23,2043.0,25.4409
24,2044.0,25.1975
25,2045.0,24.9429
26,2046.0,24.648
27,2047.0,24.2102
28,2048.0,23.7508
29,2049.0,23.2697
30,2050.0,23.0841
31,2051.0,22.7899
32,2052.0,22.5439
33,2053.0,22.176
34,2054.0,21.8168
35,2055.0,21.4482
36,2056.0,21.0701
37,2057.0,20.6821
38,2058.0,20.2838
39,2059.0,19.9002
40,2060.0,19.6658
41,2061.0,19.4893
42,2062.0,19.3563
43,2063.0,19.245
44,2064.0,19.5426
45,2065.0,19.8556
46,2066.0,20.1846
47,2067.0,20.5722
48,2068.0,21.0234
49,2069.0,21.4931
50,2070.0,21.9726
