,y,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (roof top),Solar PV with storage
23,2038.0,10.7222,0.0029,1.8376,3.4267,0.0,0.0058,5.4604,0.0592,0.0,0.0
24,2039.0,10.7222,0.0015,1.8376,3.4267,0.0,0.0029,7.0223,0.0608,0.0,0.0
25,2040.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,8.7028,0.0566,0.0,0.0
26,2041.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,10.1542,0.0561,0.0,0.0
27,2042.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,11.6904,0.0556,0.0,0.0
28,2043.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,11.6797,0.0545,0.0,1.509
29,2044.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,11.5689,0.0404,0.0,3.2102
30,2045.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,11.4283,0.0487,0.0,5.0114
31,2046.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,11.2795,0.0575,0.0,6.9184
32,2047.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,11.1097,0.0634,0.0,8.9517
33,2048.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,10.8696,0.0531,0.0,11.1753
34,2049.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,10.6154,0.0421,0.0,13.529
35,2050.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,9.948,0.4289,0.0,16.0204
36,2051.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,9.7214,0.4812,0.0,17.5678
37,2052.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,9.492,0.5303,0.0,19.1677
38,2053.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,9.2414,0.5946,0.0,20.8217
39,2054.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,9.0613,0.5822,0.0,22.5312
40,2055.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,8.8705,0.5739,0.0,24.2978
41,2056.0,10.7222,0.0,1.8376,3.4267,0.0,0.0,8.6734,0.5654,0.0,26.1232
42,2057.0,10.7222,0.0,1.826,3.4267,0.0,0.0,8.4814,0.5566,0.0,28.0093
43,2058.0,10.7222,0.0,1.8376,3.225,0.0,0.0,8.461,0.5476,0.0,29.9579
44,2059.0,10.7222,0.0,1.5467,3.4267,0.0,0.0,8.3865,0.5916,0.0,31.8724
45,2060.0,10.7222,0.0,1.5851,3.0784,0.0,0.0,8.2987,0.6479,0.0,34.0508
46,2061.0,10.7222,0.0,1.8014,2.7176,0.0,0.0,8.2831,0.641,0.0,35.533
47,2062.0,10.7222,0.0,1.6914,2.7176,0.0,0.0,8.2673,0.6339,0.0,37.0129
48,2063.0,10.7222,0.0,1.6634,2.7176,0.0,0.0,8.5413,0.558,2.7047,35.5387
49,2064.0,10.3836,0.0,1.6368,2.7176,0.0,0.0,8.7783,0.5351,5.9821,33.8187
50,2065.0,10.5511,0.0,1.6103,2.7176,0.0,0.0,9.0194,0.5173,9.2074,31.7072
51,2066.0,10.7222,0.0,1.5841,2.7176,0.0,0.0,9.2708,0.4989,12.5663,29.4815
52,2067.0,9.7308,0.0,1.6665,2.7176,0.0,0.0,9.4273,0.5866,16.0789,28.096
53,2068.0,9.7308,0.0,1.5337,2.7176,0.0,0.0,9.5567,0.7174,19.8065,25.799
54,2069.0,9.4849,0.0,1.7555,2.7176,0.0,0.0,9.6924,0.8536,23.4413,23.5186
55,2070.0,9.7308,0.0,1.486,2.7176,0.0,0.0,9.8348,0.9953,27.7475,20.5906
