,y,Biomass extraction/production/refining
0,2015,2038.4671
1,2016,2086.2477
2,2017,2127.1378999999997
3,2018,2170.7922000000003
4,2019,2215.6717
5,2020,2261.7262
6,2021,2295.3826
7,2022,2329.1171
8,2023,2360.4608
9,2024,2391.8239
10,2025,2417.2712
11,2026,2447.2936999999997
12,2027,2477.3007000000002
13,2028,2507.2498
14,2029,2537.0957000000003
15,2030,2610.8853000000004
16,2031,2637.9516999999996
17,2032,2664.5061000000005
18,2033,2690.5928
19,2034,2716.2576000000004
20,2035,2759.6477000000004
21,2036,2783.7603
22,2037,2807.7107
23,2038,2831.5309
24,2039,2855.2583999999997
25,2040,2878.9227
26,2041,2875.519
27,2042,2872.2576999999997
28,2043,2864.5786
29,2044,2852.5031999999997
30,2045,2840.628
31,2046,2828.8529
32,2047,2817.287
33,2048,2805.9280000000003
34,2049,2794.7717000000002
35,2050,2783.8121
36,2051,2781.0705000000003
37,2052,2778.7983
38,2053,2772.4064
39,2054,2761.8872
40,2055,2751.8190000000004
41,2056,2736.1141000000002
42,2057,2726.9547000000002
43,2058,2718.25
44,2059,2709.9985
45,2060,2702.2025000000003
46,2061,2690.9809
47,2062,2680.2636
48,2063,2672.4946
49,2064,2665.2475
50,2065,2658.5322
