,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
1,2016.0,0.0,17.27,0.0,3587.89,0.0,0.0,126.0,0.0,10.35,0.0
2,2017.0,0.0,16.99,0.0,3834.24,0.0,0.0,13.95,12.49,9.98,0.0
3,2018.0,0.0,16.99,0.0,3834.24,0.0,0.0,108.65,24.32,9.79,0.0
4,2019.0,0.0,16.99,0.0,3834.24,0.0,0.0,126.0,19.96,9.52,0.0
5,2020.0,0.0,16.99,0.0,3834.24,0.0,0.0,126.0,0.0,9.26,0.0
6,2021.0,0.0,16.14,0.0,3834.24,0.0,0.0,119.7,0.0,9.55,0.0
7,2022.0,0.0,15.3,0.0,3834.24,0.0,0.0,113.4,0.0,9.84,0.0
8,2023.0,0.0,23.96,0.0,3834.24,0.0,0.0,107.1,0.0,10.15,0.0
9,2024.0,0.0,16.7,0.0,4847.03,0.0,0.0,100.8,0.0,10.47,0.0
10,2025.0,0.0,12.74,0.0,6013.26,0.02,0.0,63.0,0.0,10.81,0.43
11,2026.0,0.0,11.9,0.0,6013.26,0.04,0.0,56.7,0.0,11.14,0.43
12,2027.0,0.0,11.05,0.0,6013.26,0.04,0.0,50.4,0.0,11.5,0.43
13,2028.0,0.0,10.19,0.0,6891.01,0.04,0.0,44.1,0.0,11.87,0.43
14,2029.0,0.0,9.35,0.0,6891.01,0.05,0.0,37.8,0.0,12.25,0.0
15,2030.0,0.0,8.5,0.0,9290.76,0.07,0.0,31.5,0.0,12.04,0.0
16,2031.0,0.0,7.65,0.0,9290.76,0.13,0.0,25.2,0.0,1.07,0.0
17,2032.0,0.0,6.8,0.0,9290.76,0.19,0.0,18.9,0.0,0.72,0.0
18,2033.0,0.0,5.95,0.0,9290.76,0.24,0.0,12.6,0.0,0.36,0.0
19,2034.0,0.0,5.1,0.0,9290.76,0.3,0.0,6.3,0.0,0.0,0.0
20,2035.0,0.0,4.25,0.0,9067.73,0.36,0.0,0.0,0.0,0.0,0.0
21,2036.0,0.0,3.4,0.0,9164.71,0.41,0.0,0.0,0.0,0.0,0.0
22,2037.0,0.0,2.62,0.0,9244.86,0.47,0.0,0.0,0.0,0.0,0.0
23,2038.0,0.0,1.75,0.14,9265.56,0.53,0.05,0.0,0.0,0.0,0.0
24,2039.0,0.0,0.88,0.25,9594.64,0.58,0.1,0.0,0.0,0.0,0.0
25,2040.0,0.0,0.0,1.6,9663.61,0.64,0.15,0.0,0.0,0.0,0.0
26,2041.0,0.0,0.0,1.49,9419.09,0.75,0.15,0.0,0.0,0.0,0.0
27,2042.0,0.0,0.0,1.53,9029.35,0.87,0.15,0.0,0.0,0.0,0.0
28,2043.0,0.0,0.0,1.45,8738.16,0.98,0.15,0.0,0.0,0.0,0.0
29,2044.0,0.0,0.0,1.42,8495.11,1.1,0.18,0.0,0.0,0.0,0.0
30,2045.0,0.0,0.0,1.58,8377.37,1.21,0.19,0.0,0.0,0.0,0.0
31,2046.0,0.0,0.0,2.62,8049.57,1.32,0.18,0.0,0.0,0.0,0.0
32,2047.0,12.8,0.0,3.03,8010.25,1.42,0.18,0.0,0.0,0.0,0.0
33,2048.0,15.06,0.0,4.12,7997.11,1.53,0.18,0.0,0.0,0.0,0.0
34,2049.0,15.06,0.0,5.17,8011.74,1.64,0.18,0.0,0.0,0.0,0.0
35,2050.0,15.06,0.0,7.59,8122.93,1.74,0.18,0.0,0.0,0.0,0.0
36,2051.0,15.06,0.0,8.02,8060.88,1.82,0.18,0.0,0.0,0.0,0.0
37,2052.0,13.93,0.0,8.04,7933.11,1.93,0.18,0.0,0.0,0.0,0.0
38,2053.0,12.9,0.0,8.28,7771.8,2.03,0.18,0.0,0.0,0.0,0.0
39,2054.0,12.9,0.0,8.92,7741.37,2.12,0.18,0.0,0.0,0.0,0.0
40,2055.0,12.9,0.0,46.55,7705.71,2.21,0.18,0.0,0.0,0.0,0.0
41,2056.0,12.9,0.0,88.88,7764.39,2.3,0.18,0.0,0.0,0.0,0.0
42,2057.0,12.9,0.0,134.45,7844.56,2.38,0.18,0.0,0.0,0.0,0.0
43,2058.0,38.2,0.0,139.23,7859.94,2.47,0.18,0.0,0.0,0.0,0.0
44,2059.0,32.73,0.0,151.73,7799.31,2.58,0.18,0.0,0.0,0.0,0.0
45,2060.0,114.18,0.0,162.66,7753.34,2.69,0.18,0.0,0.0,0.0,0.0
46,2061.0,156.47,0.0,175.28,7650.08,2.77,0.18,0.0,0.0,0.0,0.0
47,2062.0,156.47,0.0,175.79,7274.16,2.9,0.18,0.0,0.0,0.0,0.0
48,2063.0,156.47,0.0,175.4,6984.45,3.03,0.18,0.0,0.0,0.0,0.0
49,2064.0,156.47,0.0,174.81,6723.39,3.17,0.16,0.0,0.0,0.0,0.0
50,2065.0,156.47,0.0,173.93,6457.98,3.28,0.15,0.0,0.0,0.0,0.0
51,2066.0,206.74,0.0,175.02,6375.13,3.37,0.16,0.0,0.0,0.0,0.0
52,2067.0,277.75,0.0,176.08,7836.81,3.37,0.18,0.0,0.0,0.0,0.0
53,2068.0,354.78,0.0,181.04,7686.68,3.47,0.18,0.0,0.0,0.0,0.0
54,2069.0,436.05,0.0,188.12,7494.33,3.57,0.2,0.0,0.0,0.0,0.0
55,2070.0,532.33,0.0,258.4,7928.01,3.64,0.16,0.0,0.0,0.0,0.0
