,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage
1,2016.0,0.0,0.0717,0.0
2,2017.0,0.0,0.0776,0.0
3,2018.0,0.0,0.0776,0.0
4,2019.0,0.0,0.0776,0.0
5,2020.0,0.0,0.0752,0.0
6,2021.0,0.0,0.0728,0.0
7,2022.0,0.0,0.0704,0.0
8,2023.0,0.0,0.068,0.0
9,2024.0,0.0,0.0656,0.0
10,2025.0,2.5545,0.0632,0.0
11,2026.0,5.5174,0.0608,0.0
12,2027.0,5.5174,0.0584,0.0
13,2028.0,5.5174,0.056,0.0
14,2029.0,8.4802,0.0536,0.0
15,2030.0,11.443,0.0512,0.0
16,2031.0,20.3314,0.0488,0.0
17,2032.0,29.2199,0.0464,0.0
18,2033.0,38.1083,0.044,0.0
19,2034.0,46.9968,0.0416,0.0
20,2035.0,55.8852,0.0215,0.0
21,2036.0,64.7737,0.0131,0.0
22,2037.0,73.6621,0.0048,0.0
23,2038.0,82.5506,0.0024,0.0
24,2039.0,91.4391,0.0,0.0
25,2040.0,100.3275,0.0,0.0
26,2041.0,118.1044,0.0,0.0
27,2042.0,135.8813,0.0,0.0
28,2043.0,153.6582,0.0,0.0
29,2044.0,171.4351,0.0,0.0
30,2045.0,189.212,0.0,0.0
31,2046.0,206.0174,0.0,0.0
32,2047.0,222.7697,0.0,0.0
33,2048.0,239.6453,0.0,0.0
34,2049.0,256.652,0.0,0.0
35,2050.0,271.6798,0.0,0.0
36,2051.0,285.5021,0.0,0.0
37,2052.0,301.8375,0.0,0.0
38,2053.0,318.2317,0.0,0.0
39,2054.0,332.2306,0.0,0.0
40,2055.0,346.2926,0.0,0.5412
41,2056.0,354.6927,0.0,5.1717
42,2057.0,362.7793,0.0,9.7113
43,2058.0,371.0105,1.6224,14.2509
44,2059.0,378.8214,6.4209,18.7905
45,2060.0,385.9361,10.4809,23.3301
46,2061.0,395.0731,10.4809,27.8697
47,2062.0,401.7932,18.7387,32.4094
48,2063.0,408.4096,27.7707,36.949
49,2064.0,414.11,38.4589,41.4886
50,2065.0,418.6403,49.5301,46.0282
51,2066.0,417.061,60.9938,50.5678
52,2067.0,399.766,72.8601,55.1074
53,2068.0,398.493,85.1393,59.6471
54,2069.0,395.6783,97.8421,64.1867
55,2070.0,390.0884,110.9796,68.7263
