,y,Coal imports (inland transport-maritime freight)
0,2047.0,1.1526
1,2048.0,1.3556
2,2049.0,1.3556
3,2050.0,1.3556
4,2051.0,1.3556
5,2052.0,1.2541
6,2053.0,1.1614
7,2054.0,1.1614
8,2055.0,1.1614
9,2056.0,1.1614
10,2057.0,1.1614
11,2058.0,3.439
12,2059.0,2.9464
13,2060.0,10.2781
14,2061.0,14.0853
15,2062.0,14.0853
16,2063.0,14.0853
17,2064.0,14.0853
18,2065.0,14.0853
19,2066.0,18.6105
20,2067.0,25.0025
21,2068.0,31.936
22,2069.0,39.2523
23,2070.0,47.9191
