id;Country;Unit Name;loc_codes;Latitude ;Longitude;Status;Type;Reservoir area (km2);First Year;Capacity (MW);CF_H1D1;CF_H1D2;CF_S1D1;CF_S1D2;CF_H2D1;CF_H2D2;CF_S2D1;CF_S2D2;CF_H3D1;CF_H3D2;CF_S3D1;CF_S3D2;CF_H4D1;CF_H4D2;CF_S4D1;CF_S4D2
2;EGYPT;Aswan 1;A1;24.03;32.87;Existing;Reservoir;8.24;2010;280;1.000;1.000;0.40949003;0.126185898;1.00;1.00;0.381810733;0.117441182;1.00;1.00;0.371004084;0.128847811;1.00;1.00;0.401260756;0.112682677
3;EGYPT;Aswan 2;A2;24.03;32.87;Existing;Reservoir;8.24;2010;270;1.000;1.000;0.40949003;0.126185898;1.00;1.00;0.381810733;0.117441182;1.00;1.00;0.371004084;0.128847811;1.00;1.00;0.401260756;0.112682677
1;EGYPT;High Aswan Dam;HA;23.97;32.88;Existing;Reservoir;6500;2010;2100;0.723;0.723;0.405868485;0.126038612;0.72;0.72;0.383855205;0.118164896;0.72;0.72;0.374238526;0.129793918;0.72;0.72;0.394260572;0.111777413
45;ETHIOPIA;Aleltu East;AE;9.78;38.83;Candidate;Reservoir;;2031;189;0.034335502;0.034335502;0.289754843;0.136676124;0.57473682;0.57473682;0.264199568;0.094938511;0.457623858;0.457623858;0.291612542;0.133338089;0.026200931;0.026200931;0.350880098;0.146350896
46;ETHIOPIA;Aleltu West;AW;9.78;38.83;Candidate;Reservoir;;2031;265;0.034335502;0.034335502;0.289754843;0.136676124;0.57473682;0.57473682;0.264199568;0.094938511;0.457623858;0.457623858;0.291612542;0.133338089;0.026200931;0.026200931;0.350880098;0.146350896
41;ETHIOPIA;Amarti-Neshe;AN;9.5941701;37.2329979;Existing;Reservoir;;2013;98;0.473463141;0.473463141;0.32822894;0.112132001;0.473463141;0.473463141;0.253947592;0.078348712;0.473463141;0.473463141;0.300302671;0.118919937;0.473463141;0.473463141;0.381996727;0.132589596
44;ETHIOPIA;Baro;BR;7.21667;35.63334;Candidate;Reservoir;;2025;645;0.716489262;0.716489262;0.282820563;0.092343709;0.989915966;0.989915966;0.226572069;0.071754364;0.878132586;0.878132586;0.257433797;0.104603795;0.241124183;0.241124183;0.330275481;0.102904033
7;ETHIOPIA;Beko Abo;BA;10.34;36.65;Candidate;Reservoir;;2028;935;0.048;0.048;0.318664734;0.109795564;0.73;0.73;0.270008863;0.074062143;0.48;0.48;0.32375007;0.114583002;0.03;0.03;0.38074566;0.124251176
50;ETHIOPIA;Birbir;BB;8.543;35.195;Candidate;Reservoir;;2025;467;0.043201199;0.043201199;0.308724695;0.087997689;0.823414327;0.823414327;0.270460712;0.071315784;0.473818424;0.473818424;0.298849369;0.100828681;0.025322466;0.025322466;0.351547412;0.10596294
8;ETHIOPIA;Chemoga Yeda;CY;9.86;37.67;Candidate;Reservoir;;2025;280;0.031;0.031;0.340927193;0.107118022;0.87;0.87;0.307695311;0.077633565;0.58;0.58;0.328891102;0.107293066;0.03;0.03;0.362443251;0.09809929
