id;Country;Unit Name;loc_codes;Latitude ;Longitude;Status;Type;Reservoir area (km2);First Year;Capacity (MW);CF_H1D1;CF_H1D2;CF_S1D1;CF_S1D2;CF_H2D1;CF_H2D2;CF_S2D1;CF_S2D2;CF_H3D1;CF_H3D2;CF_S3D1;CF_S3D2;CF_H4D1;CF_H4D2;CF_S4D1;CF_S4D2
33;SUDAN;Shereik;SH;19.23;33.48;Candidate;Reservoir;;2025;420;0.91;0.91;0.403671191;0.132951123;0.8664619;0.8664619;0.350340399;0.113667978;0.844366519;0.844366519;0.355961047;0.132739617;0.894230536;0.894230536;0.406304001;0.124821917
34;SUDAN;Dagash;DG;19.34;33.41;Candidate;Reservoir;;2028;312;0.76;0.76;0.406585023;0.133054681;0.898340946;0.898340946;0.354513442;0.114087073;0.931131113;0.931131113;0.360849304;0.132151495;0.719032819;0.719032819;0.406953132;0.123824632
35;SUDAN;Dal;DL;21.37;30.93;Candidate;Reservoir;;2030;648;0.76;0.76;0.425218208;0.12446067;0.898340946;0.898340946;0.377714983;0.110272129;0.931131113;0.931131113;0.38316936;0.125991419;0.719032819;0.719032819;0.407165177;0.113076009
36;SUDAN;Mograt;MG;19.29;32.69;Candidate;Reservoir;;2030;312;0.34;0.34;0.411173067;0.131514969;0.403863974;0.403863974;0.357714899;0.112749776;0.429615621;0.429615621;0.363487725;0.129727411;0.290943826;0.290943826;0.417260917;0.124711865
37;SUDAN;Sabaloka;SB;16.36;32.71;Candidate;Reservoir;;2030;205;0.87;0.87;0.402528299;0.12766212;0.855697719;0.855697719;0.339049765;0.101291637;0.851292548;0.851292548;0.350108687;0.125026723;0.895555429;0.895555429;0.419564643;0.124365051
38;EGYPT;Esna;ES;25.32;32.56;Existing;RoR;;2010;86;0.67;0.67;;;0.65320895;0.65320895;;;0.641702019;0.641702019;;;0.571029561;0.571029561;;
39;EGYPT;Naga Hamadi;NH;26.05;32.25;Existing;RoR;;2010;64;0.84;0.84;;;0.783026191;0.783026191;;;0.790434219;0.790434219;;;0.717404512;0.717404512;;
40;EGYPT;New Assiut Barrage;NB;30.00;31.25;Existing;RoR;;2018;31.74;0.94;0.94;;;0.88026973;0.88026973;;;0.904746927;0.904746927;;;0.848285423;0.848285423;;
41;ETHIOPIA;Tis Abay 1;T1;11.49;37.59;Existing;RoR;;2000;11;1.00;1.00;;;1;1;;;1;1;;;1;1;;
42;ETHIOPIA;Tis Abay 2;T2;11.49;37.6;Existing;RoR;;2010;78;0.91;0.91;;;0.909862413;0.909862413;;;0.909862413;0.909862413;;;0.909862413;0.909862413;;
43;ETHIOPIA;Sor;SR;8.39;35.44;Existing;RoR;;2014;5;0.76;0.76;;;0.815198309;0.815198309;;;0.558600026;0.558600026;;;0.061334034;0.061334034;;
44;SOUTH SUDAN;Bedden;BD;4.562483333;31.50418333;Candidate;RoR;;2024;570;1.00;1.00;;;0.631053514;0.631053514;;;0.812131487;0.812131487;;;0.899970767;0.899970767;;
45;SOUTH SUDAN;Fula;FL;3.954004;31.708496;Candidate;RoR;;2024;890;0.89;0.89;;;0.240517456;0.240517456;;;0.367661367;0.367661367;;;0.394381186;0.394381186;;
46;SOUTH SUDAN;Lakki;LK;4.128655;31.58125;Candidate;RoR;;2024;410;1.00;1.00;;;0.625333198;0.625333198;;;0.816203545;0.816203545;;;0.907009081;0.907009081;;
47;SOUTH SUDAN;Shukoli;SL;4.036405666;31.63442767;Candidate;RoR;;2024;235;0.89;0.89;;;0.242526311;0.242526311;;;0.368778742;0.368778742;;;0.376252307;0.376252307;;
48;SOUTH SUDAN;Fula Small;FS;3.670833336;31.97291667;Candidate;RoR;;2025;42;0.89;0.89;;;0.240517456;0.240517456;;;0.367661367;0.367661367;;;0.394381186;0.394381186;;
