,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage
1,2016.0,0.0,0.0,0.2681,0.0,0.0
2,2017.0,0.0,0.0,0.2681,0.0,0.0
3,2018.0,0.0,0.0,0.6018,0.0,0.0
4,2019.0,0.0,0.0,0.6018,0.0,0.0
5,2020.0,0.0,0.0,1.2693,0.0,0.0
6,2021.0,0.0,0.0,2.9378,0.0,0.0
7,2022.0,3.8944,2.4168,4.6063,0.0,0.0
8,2023.0,10.3851,10.5828,6.2748,1.3348,1.9656
9,2024.0,12.4315,10.5828,7.9432,1.6686,2.457
10,2025.0,15.5777,16.8472,9.6117,2.0023,2.9483
11,2026.0,15.5777,16.8472,11.2802,2.336,3.4397
12,2027.0,15.5777,16.8472,12.9487,2.336,3.4397
13,2028.0,15.5777,16.8472,14.6172,2.336,3.4397
14,2029.0,15.5777,16.8472,16.2857,2.336,3.4397
15,2030.0,15.5777,16.8472,17.9542,3.6708,3.4397
16,2031.0,15.5777,16.8472,21.2913,4.0045,3.4397
17,2032.0,15.5777,16.8472,24.6283,4.3382,6.3881
18,2033.0,15.5777,16.8472,27.9654,4.6719,6.8795
19,2034.0,15.5777,16.8472,31.3024,5.0057,7.3709
20,2035.0,15.5777,16.8472,34.6395,5.3394,7.8623
21,2036.0,15.5777,16.8472,37.9765,5.6731,8.3536
22,2037.0,15.5777,16.8472,41.3136,6.0068,8.845
23,2038.0,15.5777,16.8472,44.6506,6.3405,9.3364
24,2039.0,15.5777,16.8472,47.9877,6.6742,9.8278
25,2040.0,15.5777,16.8472,51.258,7.0079,10.3192
26,2041.0,15.5777,16.8472,56.0635,7.3416,10.8106
27,2042.0,15.5777,16.8472,61.0691,7.6753,11.302
28,2043.0,15.5777,16.8472,65.7411,8.0091,11.7934
29,2044.0,15.5777,16.8472,70.7467,8.3428,12.2848
30,2045.0,15.5777,16.8472,75.0849,8.6765,12.7762
31,2046.0,15.5777,16.8472,78.422,9.0102,13.2675
32,2047.0,11.6833,14.4305,81.7591,9.3439,13.7589
33,2048.0,5.1926,6.2644,85.0962,9.6776,14.2503
34,2049.0,3.1462,6.2644,88.4333,10.0113,14.7417
35,2050.0,0.0,0.0,91.7704,10.345,15.2331
36,2051.0,0.0,0.0,95.1076,10.6787,15.7245
37,2052.0,0.0,0.0,98.4447,11.0125,16.2159
38,2053.0,0.0,0.0,101.7818,11.3462,16.7073
39,2054.0,0.0,0.0,105.1189,11.6799,17.1987
40,2055.0,0.0,0.0,108.456,12.0136,17.6901
41,2056.0,0.0,0.0,110.1245,12.3473,18.1815
42,2057.0,0.0,0.0,111.7931,12.681,18.6728
43,2058.0,0.0,0.0,113.4616,13.0147,19.1642
44,2059.0,0.0,0.0,115.1302,13.3484,19.6556
45,2060.0,0.9409,0.0,116.7987,13.6821,20.147
46,2061.0,7.0384,0.0,120.1359,14.0158,20.6384
47,2062.0,13.6971,0.0,123.473,14.3496,21.1298
48,2063.0,20.936,0.0,126.8101,14.6833,21.6212
49,2064.0,30.3585,0.0,130.1472,15.017,22.1126
50,2065.0,56.3213,0.0,133.4843,15.3507,22.604
51,2066.0,82.2842,0.0,135.1528,15.6844,23.0954
52,2067.0,108.247,0.0,136.8214,16.0181,23.5868
53,2068.0,127.2179,0.0,138.4899,16.3518,24.0781
54,2069.0,129.8141,0.0,140.1585,16.6855,24.5695
55,2070.0,132.4104,32.6642,141.827,17.0192,25.0609
