,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass
1,2016.0,0.0,4.442,31.948,2.8,0.0,0.04,0.991,0.0
2,2017.0,0.0,4.442,33.028,2.8,0.0,0.04,0.991,0.0
3,2018.0,0.0,4.442,49.378,2.832,0.0,0.09,1.331,0.0
4,2019.0,0.0,4.442,49.378,2.832,0.0,0.09,1.331,0.0
5,2020.0,0.0,4.442,49.378,2.832,0.0,0.19,1.331,0.0
6,2021.0,0.0,4.364,47.979,2.832,0.0,0.44,1.553,0.0
7,2022.0,0.0,4.285,46.578,2.832,0.448,0.69,2.026,0.0
8,2023.0,0.0,4.206,45.179,2.832,1.448,1.34,2.498,0.0
9,2024.0,0.0,4.128,43.778,2.832,1.606,1.69,2.971,0.1
10,2025.0,3.0,4.049,42.379,2.832,2.232,2.04,3.443,0.2
11,2026.0,6.0,3.972,40.98,2.832,2.232,2.39,3.666,0.2
12,2027.0,6.0,3.893,39.578,2.832,2.232,2.64,3.888,0.2
13,2028.0,6.0,3.814,38.178,2.832,2.232,2.89,4.111,0.2
14,2029.0,6.0,3.736,36.778,2.832,2.232,3.14,4.333,0.2
15,2030.0,6.0,3.656,35.378,2.832,2.232,3.59,4.556,0.2
16,2031.0,6.0,3.578,33.978,2.832,2.232,4.14,5.028,0.2
17,2032.0,6.0,3.5,32.584,2.832,2.232,4.99,5.5,0.2
18,2033.0,6.0,3.421,33.176,2.832,2.232,5.59,5.973,0.2
19,2034.0,6.675,3.343,33.133,2.832,2.232,6.19,6.445,0.2
20,2035.0,7.675,3.264,32.637,2.832,2.232,6.79,6.918,0.2
21,2036.0,8.675,3.185,32.239,2.832,2.232,7.39,7.39,0.2
22,2037.0,9.675,3.107,31.889,2.832,2.232,7.99,7.863,0.2
23,2038.0,10.675,3.029,31.499,2.832,2.232,8.59,8.335,0.2
24,2039.0,11.675,2.951,32.304,2.832,2.232,9.19,8.808,0.2
25,2040.0,12.675,1.522,32.548,2.832,2.232,9.78,9.04,0.2
26,2041.0,13.5,0.0,34.863,2.832,2.232,10.6,9.59,0.2
27,2042.0,14.0,0.0,36.008,2.832,2.232,11.45,10.34,0.2
28,2043.0,14.5,0.0,37.329,2.832,2.232,12.25,10.75,0.2
29,2044.0,15.0,0.0,38.483,2.832,2.232,13.1,11.5,0.2
30,2045.0,15.342,0.0,39.915,2.832,2.232,13.85,12.25,0.2
31,2046.0,15.342,0.0,45.415,2.832,2.232,14.45,12.75,0.2
32,2047.0,15.5,0.0,50.665,2.832,1.784,15.05,13.0,0.2
33,2048.0,17.0,0.0,42.265,2.832,0.784,15.65,13.264,0.2
34,2049.0,17.5,0.0,46.462,2.832,0.626,16.25,14.264,0.2
35,2050.0,18.0,0.0,48.077,2.832,0.0,16.85,15.264,0.2
36,2051.0,18.5,0.0,49.682,2.832,0.0,17.45,15.874,0.2
37,2052.0,19.0,0.0,51.361,2.832,0.0,18.05,16.515,0.2
38,2053.0,19.5,0.0,53.116,2.832,0.0,18.65,17.188,0.2
39,2054.0,20.0,0.0,54.949,2.832,0.0,19.25,17.894,0.2
40,2055.0,18.5,0.0,58.864,2.832,0.0,19.85,18.636,0.2
41,2056.0,17.0,0.0,62.887,2.832,0.0,20.2,19.537,0.2
42,2057.0,18.5,0.0,63.988,2.832,0.0,20.55,20.496,0.2
43,2058.0,20.0,0.0,65.177,2.832,0.0,20.9,21.496,0.2
44,2059.0,21.5,0.0,66.477,2.832,0.0,21.25,22.496,0.2
45,2060.0,23.0,0.0,67.85,2.832,0.072,21.6,23.496,0.2
46,2061.0,23.5,0.0,70.263,2.832,0.542,22.2,23.996,0.2
47,2062.0,24.0,0.0,72.775,2.832,1.055,22.8,24.496,0.2
48,2063.0,24.5,0.0,75.388,2.832,1.613,23.4,24.996,0.2
49,2064.0,25.0,0.0,78.095,2.832,2.339,24.0,25.496,0.1
50,2065.0,25.5,0.0,80.231,2.832,4.339,24.6,25.996,0.0
51,2066.0,26.0,0.0,82.195,2.832,6.339,24.95,27.246,0.0
52,2067.0,26.5,0.0,84.304,2.832,8.339,25.3,28.496,0.0
53,2068.0,27.0,0.0,86.86,2.832,9.8,25.65,29.746,0.0
54,2069.0,27.5,0.0,90.271,2.832,10.0,26.0,30.996,0.0
55,2070.0,28.0,0.0,92.306,2.832,12.2,26.35,32.246,0.0
